dataset,dropout_rate,mean_accuracy,std_accuracy,success_rate
Heart Disease,0.0,0.8833333333333332,1.1102230246251565e-16,1.0
Heart Disease,0.1,0.8166666666666668,0.010540925533894595,1.0
Heart Disease,0.2,0.85,0.010540925533894595,1.0
Heart Disease,0.3,0.8100000000000002,0.02000000000000001,1.0
Heart Disease,0.4,0.8233333333333333,0.008164965809277286,1.0
Heart Disease,0.5,0.8200000000000001,0.032317865716108854,1.0
Heart Disease,0.6,0.8166666666666668,0.03496029493900506,1.0
Heart Disease,0.7,0.8266666666666668,0.013333333333333336,1.0
Heart Disease,0.8,0.8033333333333333,0.022110831935702655,1.0
Breast Cancer,0.0,0.9614035087719298,0.004297350425935414,1.0
Breast Cancer,0.1,0.9614035087719298,0.007017543859649145,1.0
Breast Cancer,0.2,0.9614035087719298,0.004297350425935414,1.0
Breast Cancer,0.3,0.9596491228070174,0.004297350425935414,1.0
Breast Cancer,0.4,0.9578947368421054,0.006564311204866584,1.0
Breast Cancer,0.5,0.9578947368421054,0.008594700851870828,1.0
Breast Cancer,0.6,0.956140350877193,0.00960916767552926,1.0
Breast Cancer,0.7,0.9666666666666666,0.006564311204866584,1.0
Breast Cancer,0.8,0.956140350877193,0.012405382126079788,1.0
Pima Diabetes,0.0,0.7142857142857143,0.0,1.0
Pima Diabetes,0.1,0.7233766233766233,0.011321815437768003,1.0
Pima Diabetes,0.2,0.7116883116883117,0.008808220757305557,1.0
Pima Diabetes,0.3,0.7272727272727273,0.021731429260625348,1.0
Pima Diabetes,0.4,0.722077922077922,0.010389610389610384,1.0
Pima Diabetes,0.5,0.7363636363636363,0.013370948235048032,1.0
Pima Diabetes,0.6,0.7389610389610389,0.013866335392248451,1.0
Pima Diabetes,0.7,0.7324675324675324,0.008614609845078957,1.0
Pima Diabetes,0.8,0.7337662337662338,0.007113279967599582,1.0
