split_id,n_trees,accuracy,auc_roc,f1
0,1,0.628319,0.873910,0.771739
0,2,0.893805,0.944333,0.922078
0,3,0.893805,0.956070,0.922078
0,4,0.920354,0.980718,0.940397
0,5,0.920354,0.983065,0.940397
0,6,0.938053,0.982394,0.953020
0,7,0.920354,0.982730,0.940397
0,8,0.946903,0.984742,0.959459
0,9,0.946903,0.994467,0.959459
0,10,0.964602,0.995137,0.972222
0,11,0.946903,0.994467,0.959459
0,12,0.964602,0.993461,0.972222
0,13,0.964602,0.994131,0.972222
0,14,0.964602,0.993964,0.972222
0,15,0.964602,0.993964,0.972222
1,1,0.628319,0.914990,0.771739
1,2,0.920354,0.985412,0.940397
1,3,0.902655,0.988095,0.928105
1,4,0.929204,0.988431,0.946667
1,5,0.929204,0.987760,0.946667
1,6,0.920354,0.989437,0.939597
1,7,0.929204,0.990443,0.946667
1,8,0.911504,0.991616,0.932432
1,9,0.920354,0.992119,0.939597
1,10,0.920354,0.990778,0.939597
1,11,0.920354,0.991784,0.939597
1,12,0.938053,0.991784,0.952381
1,13,0.929204,0.991113,0.945205
1,14,0.920354,0.991449,0.937931
1,15,0.938053,0.992287,0.951724
2,1,0.628319,0.891180,0.771739
2,2,0.902655,0.958920,0.928105
2,3,0.876106,0.963783,0.910256
2,4,0.920354,0.968310,0.940397
2,5,0.920354,0.963615,0.940397
2,6,0.929204,0.968142,0.945946
2,7,0.929204,0.967639,0.945946
2,8,0.929204,0.966968,0.945946
2,9,0.938053,0.967304,0.953020
2,10,0.929204,0.966968,0.945946
2,11,0.929204,0.967975,0.945946
2,12,0.929204,0.966968,0.945946
2,13,0.920354,0.966968,0.938776
2,14,0.920354,0.966968,0.938776
2,15,0.920354,0.967136,0.938776
3,1,0.628319,0.877096,0.771739
3,2,0.893805,0.943159,0.922078
3,3,0.876106,0.949195,0.910256
3,4,0.929204,0.973005,0.946667
3,5,0.920354,0.970993,0.940397
3,6,0.911504,0.971663,0.930556
3,7,0.929204,0.971999,0.945946
3,8,0.929204,0.974346,0.945946
3,9,0.929204,0.974681,0.945946
3,10,0.911504,0.974011,0.930556
3,11,0.929204,0.974681,0.945946
3,12,0.920354,0.973675,0.937931
3,13,0.920354,0.975017,0.937931
3,14,0.920354,0.973675,0.937931
3,15,0.920354,0.975352,0.937931
4,1,0.628319,0.888498,0.771739
4,2,0.884956,0.946512,0.915033
4,3,0.893805,0.964621,0.922078
4,4,0.911504,0.964789,0.934211
4,5,0.911504,0.968142,0.934211
4,6,0.911504,0.967807,0.934211
4,7,0.911504,0.967807,0.934211
4,8,0.902655,0.974178,0.927152
4,9,0.911504,0.975520,0.934211
4,10,0.911504,0.975520,0.934211
4,11,0.911504,0.976861,0.934211
4,12,0.902655,0.976861,0.927152
4,13,0.938053,0.977867,0.953020
4,14,0.938053,0.977867,0.953020
4,15,0.938053,0.977867,0.953020
