split_id,n_trees,accuracy,auc_roc,f1
0,1,0.628319,0.938129,0.771739
0,2,0.902655,0.957914,0.928105
0,3,0.946903,0.980718,0.958904
0,4,0.964602,0.981221,0.972222
0,5,0.964602,0.981891,0.972222
0,6,0.964602,0.983568,0.972222
0,7,0.964602,0.981724,0.972222
0,8,0.964602,0.982730,0.972222
0,9,0.964602,0.981724,0.972222
0,10,0.964602,0.980047,0.972222
0,11,0.964602,0.980718,0.972222
0,12,0.964602,0.989437,0.972222
0,13,0.964602,0.988598,0.972222
0,14,0.964602,0.990107,0.972222
0,15,0.964602,0.989437,0.972222
1,1,0.628319,0.977364,0.771739
1,2,0.893805,0.992287,0.922078
1,3,0.929204,0.992287,0.945946
1,4,0.929204,0.991449,0.945946
1,5,0.938053,0.991616,0.952381
1,6,0.946903,0.992119,0.958904
1,7,0.946903,0.993628,0.958904
1,8,0.946903,0.993628,0.958904
1,9,0.946903,0.992958,0.958904
1,10,0.955752,0.992287,0.965517
1,11,0.955752,0.993628,0.965517
1,12,0.938053,0.993964,0.952381
1,13,0.946903,0.993964,0.958904
1,14,0.946903,0.994634,0.958904
1,15,0.946903,0.994970,0.958904
2,1,0.628319,0.961268,0.771739
2,2,0.902655,0.968981,0.928105
2,3,0.929204,0.969484,0.945946
2,4,0.964602,0.971496,0.972603
2,5,0.964602,0.970490,0.972222
2,6,0.964602,0.980718,0.972222
2,7,0.973451,0.980885,0.979310
2,8,0.964602,0.980885,0.972222
2,9,0.964602,0.980885,0.972222
2,10,0.955752,0.981221,0.965035
2,11,0.955752,0.981891,0.965035
2,12,0.973451,0.981053,0.979310
2,13,0.973451,0.979879,0.979310
2,14,0.982301,0.979544,0.986111
2,15,0.982301,0.979879,0.986111
3,1,0.628319,0.935614,0.771739
3,2,0.902655,0.946009,0.923077
3,3,0.920354,0.968142,0.939597
3,4,0.920354,0.969148,0.937931
3,5,0.920354,0.974011,0.939597
3,6,0.938053,0.977364,0.951724
3,7,0.946903,0.979712,0.958904
3,8,0.946903,0.979376,0.958904
3,9,0.955752,0.979209,0.965517
3,10,0.946903,0.980047,0.958904
3,11,0.955752,0.980382,0.965517
3,12,0.946903,0.987928,0.958333
3,13,0.955752,0.989604,0.965517
3,14,0.946903,0.989101,0.958333
3,15,0.946903,0.988095,0.958333
4,1,0.628319,0.950872,0.771739
4,2,0.884956,0.959256,0.916129
4,3,0.938053,0.969819,0.953020
4,4,0.955752,0.970490,0.965517
4,5,0.955752,0.971160,0.965517
4,6,0.964602,0.971160,0.972222
4,7,0.955752,0.970993,0.965035
4,8,0.955752,0.970993,0.965035
4,9,0.946903,0.980718,0.957746
4,10,0.946903,0.980718,0.957746
4,11,0.955752,0.979879,0.965035
4,12,0.955752,0.986251,0.965035
4,13,0.955752,0.989269,0.965517
4,14,0.946903,0.988934,0.957746
4,15,0.955752,0.988263,0.965035
