split_id,method,n_trees,accuracy,auc_roc,f1
0,xgb_matched,1,0.628319,0.959088,0.771739
0,xgb_matched,2,0.902655,0.977197,0.928105
0,xgb_matched,3,0.929204,0.977364,0.945205
0,xgb_matched,4,0.938053,0.977532,0.951724
0,xgb_matched,5,0.955752,0.976526,0.965035
0,xgb_matched,6,0.955752,0.979376,0.965035
0,xgb_matched,7,0.955752,0.980047,0.965035
0,xgb_matched,8,0.955752,0.980047,0.965035
0,xgb_matched,9,0.955752,0.979712,0.965035
0,xgb_matched,10,0.955752,0.986922,0.965035
0,xgb_matched,11,0.955752,0.987257,0.965035
0,xgb_matched,12,0.955752,0.986922,0.965035
0,xgb_matched,13,0.964602,0.986251,0.971831
0,xgb_matched,14,0.964602,0.986251,0.971831
0,xgb_matched,15,0.964602,0.986754,0.971831
0,xgb_default,1,0.929204,0.960094,0.945205
0,xgb_default,2,0.946903,0.981556,0.958904
0,xgb_default,3,0.946903,0.983233,0.958333
0,xgb_default,4,0.946903,0.981724,0.958333
0,xgb_default,5,0.946903,0.979712,0.958333
0,xgb_default,6,0.946903,0.979376,0.958333
0,xgb_default,7,0.946903,0.988263,0.958333
0,xgb_default,8,0.955752,0.988263,0.965517
0,xgb_default,9,0.946903,0.988263,0.958333
0,xgb_default,10,0.946903,0.988095,0.958333
0,xgb_default,11,0.946903,0.987760,0.958333
0,xgb_default,12,0.955752,0.987760,0.965517
0,xgb_default,13,0.955752,0.987089,0.965517
0,xgb_default,14,0.955752,0.986419,0.965517
0,xgb_default,15,0.955752,0.985412,0.965517
1,xgb_matched,1,0.628319,0.958920,0.771739
1,xgb_matched,2,0.946903,0.958753,0.959459
1,xgb_matched,3,0.946903,0.971328,0.959459
1,xgb_matched,4,0.955752,0.992287,0.965986
1,xgb_matched,5,0.964602,0.991952,0.972603
1,xgb_matched,6,0.964602,0.992622,0.972603
1,xgb_matched,7,0.955752,0.991616,0.965986
1,xgb_matched,8,0.964602,0.992622,0.972603
1,xgb_matched,9,0.964602,0.993293,0.972603
1,xgb_matched,10,0.964602,0.994970,0.972603
1,xgb_matched,11,0.964602,0.994970,0.972603
1,xgb_matched,12,0.964602,0.995976,0.972603
1,xgb_matched,13,0.964602,0.996647,0.972603
1,xgb_matched,14,0.964602,0.996647,0.972603
1,xgb_matched,15,0.964602,0.996647,0.972603
1,xgb_default,1,0.911504,0.946177,0.931507
1,xgb_default,2,0.955752,0.977029,0.965986
1,xgb_default,3,0.938053,0.980047,0.952381
1,xgb_default,4,0.938053,0.978706,0.951724
1,xgb_default,5,0.929204,0.978370,0.945205
1,xgb_default,6,0.955752,0.989940,0.965035
1,xgb_default,7,0.938053,0.990610,0.951049
1,xgb_default,8,0.955752,0.991952,0.965035
1,xgb_default,9,0.946903,0.991616,0.958333
1,xgb_default,10,0.955752,0.993628,0.964539
1,xgb_default,11,0.955752,0.994634,0.964539
1,xgb_default,12,0.955752,0.995305,0.964539
1,xgb_default,13,0.955752,0.994634,0.964539
1,xgb_default,14,0.955752,0.994634,0.964539
1,xgb_default,15,0.946903,0.995305,0.957746
