split_id,method,accuracy,auc_roc,f1,n_train,n_test,n_features
0,xgb_matched,0.964602,0.986754,0.971831,456,113,30
0,xgb_default,0.955752,0.985412,0.965517,456,113,30
1,xgb_matched,0.964602,0.996647,0.972603,456,113,30
1,xgb_default,0.946903,0.995305,0.957746,456,113,30
2,xgb_matched,0.973451,0.976526,0.979310,456,113,30
2,xgb_default,0.973451,0.964286,0.979310,456,113,30
3,xgb_matched,0.955752,0.983903,0.965035,456,113,30
3,xgb_default,0.946903,0.988934,0.957143,456,113,30
4,xgb_matched,0.946903,0.978203,0.958904,456,113,30
4,xgb_default,0.938053,0.987257,0.951724,456,113,30
