dropout_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.744801,0.820653,0.755556
0.00,1,0.739355,0.816465,0.752202
0.00,2,0.746074,0.822991,0.758217
0.00,3,0.739992,0.816433,0.750881
0.00,4,0.739072,0.814154,0.751532
0.10,0,0.743740,0.821299,0.756175
0.10,1,0.740274,0.816566,0.752227
0.10,2,0.743387,0.821991,0.756934
0.10,3,0.740133,0.816022,0.750949
0.10,4,0.740345,0.814541,0.753044
0.20,0,0.742891,0.820243,0.755004
0.20,1,0.739992,0.815934,0.751016
0.20,2,0.744094,0.822728,0.756429
0.20,3,0.741689,0.815781,0.751936
0.20,4,0.739355,0.813297,0.753627
0.30,0,0.744448,0.821630,0.754668
0.30,1,0.739213,0.815934,0.753295
0.30,2,0.746145,0.823136,0.758625
0.30,3,0.739284,0.816030,0.750879
0.30,4,0.739992,0.814252,0.753949
0.40,0,0.740770,0.820485,0.750731
0.40,1,0.740274,0.816733,0.750814
0.40,2,0.744943,0.822837,0.757335
0.40,3,0.739001,0.816469,0.752581
0.40,4,0.739709,0.814402,0.753879
0.50,0,0.740982,0.819064,0.753666
0.50,1,0.736031,0.815109,0.746433
0.50,2,0.746570,0.821600,0.759514
0.50,3,0.740204,0.815463,0.752376
0.50,4,0.739567,0.813809,0.752454
0.60,0,0.745367,0.820630,0.756098
0.60,1,0.736243,0.816444,0.748804
0.60,2,0.745721,0.823126,0.758092
0.60,3,0.738860,0.815862,0.752015
0.60,4,0.741194,0.813757,0.754083
0.70,0,0.742891,0.819803,0.753910
0.70,1,0.738860,0.816888,0.752148
0.70,2,0.747065,0.823739,0.758737
0.70,3,0.740274,0.816955,0.749966
0.70,4,0.737870,0.814034,0.747582
0.80,0,0.742750,0.820012,0.753641
0.80,1,0.737728,0.815509,0.747377
0.80,2,0.745226,0.822668,0.756753
0.80,3,0.740062,0.816465,0.751269
0.80,4,0.736455,0.813221,0.748005
0.90,0,0.742043,0.820707,0.754229
0.90,1,0.739143,0.815786,0.752051
0.90,2,0.746074,0.823783,0.758086
0.90,3,0.739426,0.815760,0.748601
0.90,4,0.737587,0.813307,0.750538
