split_id,n_trees,accuracy,auc_roc,f1
0,1,0.710921,0.778728,0.746291
0,2,0.722521,0.784450,0.744779
0,3,0.727755,0.795175,0.732875
0,4,0.730018,0.800292,0.746631
0,5,0.732211,0.804109,0.746959
0,6,0.733484,0.805642,0.749967
0,7,0.735748,0.807179,0.750367
0,8,0.737162,0.811465,0.752002
0,9,0.738931,0.813732,0.750793
0,10,0.739638,0.814312,0.752837
0,11,0.740204,0.816190,0.752810
0,12,0.740628,0.817236,0.753247
0,13,0.743528,0.818411,0.756448
0,14,0.744165,0.819785,0.755062
0,15,0.744801,0.820653,0.755556
1,1,0.713114,0.779101,0.744970
1,2,0.719267,0.782822,0.741450
1,3,0.724926,0.790846,0.736357
1,4,0.726553,0.797411,0.744582
1,5,0.728321,0.801849,0.745579
1,6,0.729948,0.803830,0.743586
1,7,0.735818,0.807997,0.748231
1,8,0.736384,0.809150,0.750084
1,9,0.738011,0.810226,0.749459
1,10,0.737940,0.811404,0.750084
1,11,0.738011,0.812306,0.750975
1,12,0.738223,0.813866,0.752392
1,13,0.738789,0.814855,0.750085
1,14,0.739143,0.815903,0.750372
1,15,0.739355,0.816465,0.752202
2,1,0.721743,0.779620,0.743713
2,2,0.721743,0.785787,0.743713
2,3,0.728038,0.794694,0.734186
2,4,0.727472,0.798568,0.740801
2,5,0.731362,0.802623,0.745783
2,6,0.735465,0.805688,0.753558
2,7,0.738648,0.811474,0.751797
2,8,0.738223,0.811830,0.750657
2,9,0.739638,0.814663,0.754125
2,10,0.741194,0.816735,0.755920
2,11,0.741901,0.818120,0.756685
2,12,0.742043,0.819335,0.756265
2,13,0.743599,0.821013,0.756923
2,14,0.745155,0.821835,0.758172
2,15,0.746074,0.822991,0.758217
3,1,0.718631,0.778048,0.749085
3,2,0.721389,0.783165,0.733257
3,3,0.718136,0.789418,0.722203
3,4,0.731079,0.795436,0.741922
3,5,0.727543,0.796665,0.730742
3,6,0.732211,0.802015,0.739579
3,7,0.733767,0.804159,0.744744
3,8,0.734616,0.805924,0.747849
3,9,0.737021,0.808535,0.750938
3,10,0.736809,0.809668,0.748666
3,11,0.737516,0.811008,0.749375
3,12,0.738577,0.812327,0.750977
3,13,0.739001,0.813581,0.751012
3,14,0.739496,0.814751,0.750153
3,15,0.739992,0.816433,0.750881
4,1,0.711487,0.776938,0.743443
4,2,0.716367,0.782886,0.738864
4,3,0.722379,0.788946,0.735886
4,4,0.722379,0.792986,0.735886
4,5,0.724289,0.795707,0.728929
4,6,0.728179,0.799462,0.738731
4,7,0.731292,0.802767,0.744261
4,8,0.733838,0.804344,0.748345
4,9,0.730938,0.805949,0.744458
4,10,0.735253,0.807658,0.750782
4,11,0.736031,0.809348,0.751233
4,12,0.736950,0.810733,0.751719
4,13,0.737162,0.811806,0.752333
4,14,0.739426,0.812949,0.753215
4,15,0.739072,0.814154,0.751532
