split_id,n_trees,accuracy,auc_roc,f1
0,1,0.710921,0.778728,0.746291
0,2,0.722521,0.784450,0.744779
0,3,0.727755,0.795175,0.732875
0,4,0.730018,0.800292,0.746631
0,5,0.732211,0.804109,0.746959
0,6,0.733484,0.805642,0.749967
0,7,0.735748,0.807179,0.750367
0,8,0.737162,0.811465,0.752002
0,9,0.738931,0.813732,0.750793
0,10,0.739638,0.814312,0.752837
0,11,0.740204,0.816190,0.752810
0,12,0.740628,0.817236,0.753247
0,13,0.743528,0.818411,0.756448
0,14,0.744165,0.819785,0.755062
0,15,0.744801,0.820653,0.755556
1,1,0.702858,0.700505,0.718564
1,2,0.701301,0.693273,0.715719
1,3,0.701301,0.693957,0.715719
1,4,0.703494,0.698315,0.715642
1,5,0.703919,0.699705,0.715161
1,6,0.703565,0.701510,0.713083
1,7,0.702716,0.701544,0.710398
1,8,0.701726,0.702903,0.708227
1,9,0.703423,0.702853,0.711524
1,10,0.702716,0.703650,0.707006
1,11,0.702292,0.705001,0.707281
1,12,0.702999,0.706065,0.711389
1,13,0.704484,0.707488,0.711902
1,14,0.702645,0.704587,0.712252
1,15,0.702858,0.704843,0.712004
2,1,0.721743,0.779620,0.743713
2,2,0.721743,0.785787,0.743713
2,3,0.728038,0.794694,0.734186
2,4,0.727472,0.798568,0.740801
2,5,0.731362,0.802623,0.745783
2,6,0.735465,0.805688,0.753558
2,7,0.738648,0.811474,0.751797
2,8,0.738223,0.811830,0.750657
2,9,0.739638,0.814663,0.754125
2,10,0.741194,0.816735,0.755920
2,11,0.741901,0.818120,0.756685
2,12,0.742043,0.819335,0.756265
2,13,0.743599,0.821013,0.756923
2,14,0.745155,0.821835,0.758172
2,15,0.746074,0.822991,0.758217
3,1,0.718631,0.778048,0.749085
3,2,0.721389,0.783165,0.733257
3,3,0.718136,0.789418,0.722203
3,4,0.731079,0.795436,0.741922
3,5,0.727543,0.796665,0.730742
3,6,0.732211,0.802015,0.739579
3,7,0.733767,0.804159,0.744744
3,8,0.734616,0.805924,0.747849
3,9,0.737021,0.808535,0.750938
3,10,0.736809,0.809668,0.748666
3,11,0.737516,0.811008,0.749375
3,12,0.738577,0.812327,0.750977
3,13,0.737657,0.810086,0.749409
3,14,0.738152,0.811246,0.748540
3,15,0.592375,0.616840,0.692853
4,1,0.703989,0.749657,0.732468
4,2,0.698543,0.733571,0.700239
4,3,0.705121,0.708479,0.694153
4,4,0.686943,0.740707,0.654219
4,5,0.686943,0.721239,0.654219
4,6,0.686872,0.707030,0.654599
4,7,0.683760,0.729924,0.653545
4,8,0.616141,0.588988,0.509889
4,9,0.616070,0.601281,0.535115
4,10,0.615151,0.595119,0.536818
4,11,0.614373,0.589677,0.541232
4,12,0.614373,0.600030,0.541618
4,13,0.615009,0.592464,0.542643
4,14,0.614938,0.600689,0.543135
4,15,0.614443,0.593210,0.541123
