split_id,n_trees,accuracy,auc_roc,f1
0,1,0.696138,0.753378,0.666149
0,2,0.696138,0.753378,0.666149
0,3,0.696138,0.753378,0.666149
0,4,0.710567,0.767302,0.705654
0,5,0.724926,0.791565,0.727183
0,6,0.726977,0.796683,0.737629
0,7,0.731999,0.803467,0.744073
0,8,0.732918,0.805411,0.743548
0,9,0.732070,0.805740,0.740512
0,10,0.735535,0.808326,0.749313
0,11,0.736384,0.810823,0.747613
0,12,0.738860,0.812889,0.752845
0,13,0.739992,0.814201,0.753421
0,14,0.740274,0.814455,0.752827
0,15,0.740487,0.815773,0.751977
1,1,0.696775,0.753736,0.667752
1,2,0.696775,0.753736,0.667752
1,3,0.706111,0.766421,0.701873
1,4,0.721106,0.785756,0.732732
1,5,0.720328,0.787588,0.722915
1,6,0.724218,0.793124,0.738129
1,7,0.730514,0.799952,0.742428
1,8,0.732140,0.803663,0.743827
1,9,0.731221,0.805501,0.742687
1,10,0.731999,0.807734,0.744177
1,11,0.735182,0.809648,0.747300
1,12,0.735818,0.810488,0.748332
1,13,0.736172,0.811868,0.748720
1,14,0.737940,0.812588,0.750017
1,15,0.737021,0.813078,0.751138
2,1,0.699462,0.753922,0.670952
2,2,0.699462,0.753922,0.670952
2,3,0.708728,0.766896,0.704718
2,4,0.725492,0.788482,0.736399
2,5,0.721884,0.792435,0.720103
2,6,0.732635,0.801340,0.749137
2,7,0.734121,0.804602,0.746954
2,8,0.737021,0.807476,0.752793
2,9,0.737799,0.809760,0.750219
2,10,0.738648,0.811431,0.750186
2,11,0.739001,0.813277,0.751482
2,12,0.740699,0.814514,0.752331
2,13,0.740982,0.816254,0.752300
2,14,0.741335,0.816773,0.752085
2,15,0.743104,0.818121,0.752925
3,1,0.692884,0.750180,0.660781
3,2,0.692884,0.750180,0.660781
3,3,0.705050,0.761976,0.699308
3,4,0.721743,0.784246,0.732817
3,5,0.720753,0.787787,0.717718
3,6,0.731504,0.797617,0.746765
3,7,0.734616,0.801047,0.746418
3,8,0.737657,0.803061,0.752254
3,9,0.738294,0.804454,0.749628
3,10,0.735748,0.806019,0.744669
3,11,0.737516,0.807607,0.747293
3,12,0.738648,0.808909,0.749644
3,13,0.738152,0.810474,0.748437
3,14,0.737870,0.810797,0.747925
3,15,0.738294,0.811592,0.748094
4,1,0.696350,0.749261,0.667029
4,2,0.696350,0.749261,0.667029
4,3,0.704343,0.763138,0.701087
4,4,0.719055,0.781530,0.731222
4,5,0.717287,0.785612,0.716464
4,6,0.725845,0.795097,0.737185
4,7,0.725138,0.796037,0.731704
4,8,0.730584,0.800111,0.744242
4,9,0.733979,0.802940,0.749350
4,10,0.734616,0.805281,0.746555
4,11,0.734262,0.805600,0.746577
4,12,0.735677,0.806765,0.746696
4,13,0.736809,0.808542,0.747643
4,14,0.735677,0.809855,0.746661
4,15,0.736738,0.810606,0.748412
