index,set
25742,train
18593,train
5868,train
38975,train
8148,train
29457,train
19877,train
3823,train
1871,train
44240,train
49440,train
14127,train
33280,train
31740,train
13311,train
43695,train
60660,train
45266,train
15956,train
61683,train
29978,train
46307,train
25506,train
7662,train
17358,train
30146,train
7346,train
2722,train
45832,train
42452,train
6340,train
46640,train
58103,train
36888,train
68970,train
25590,train
27290,train
60094,train
47831,train
31616,train
35817,train
6924,train
21975,train
8455,train
68282,train
17064,train
42448,train
49611,train
15431,train
13115,train
5540,train
30555,train
7290,train
67787,train
20588,train
70298,train
18675,train
25615,train
56101,train
5703,train
34134,train
27382,train
19789,train
63032,train
48256,train
54063,train
24859,train
9195,train
20178,train
34227,train
35623,train
34820,train
3432,train
11994,train
65198,train
57936,train
13183,train
38912,train
50792,train
12664,train
60516,train
11842,train
6767,train
69162,train
27851,train
48243,train
67193,train
34830,train
14265,train
9076,train
59075,train
69304,train
2096,train
2885,train
16614,train
1321,train
19750,train
28390,train
17985,train
68624,train
55648,train
36521,train
36243,train
28491,train
45228,train
60838,train
27728,train
64598,train
7254,train
12463,train
49714,train
6142,train
45049,train
60729,train
61532,train
3291,train
67804,train
66646,train
42260,train
42144,train
56271,train
362,train
37304,train
4086,train
38892,train
12466,train
596,train
62309,train
223,train
54892,train
22765,train
60289,train
52781,train
42097,train
19043,train
6261,train
64308,train
59784,train
21430,train
21080,train
47553,train
69019,train
45457,train
10873,train
55344,train
19408,train
34931,train
22485,train
49484,train
18527,train
21006,train
48392,train
21476,train
32407,train
37565,train
39571,train
66558,train
16942,train
955,train
32628,train
30017,train
51138,train
52285,train
56502,train
7650,train
47544,train
30766,train
15685,train
57234,train
976,train
46852,train
4764,train
16747,train
40187,train
61173,train
69099,train
33876,train
1802,train
41416,train
19973,train
5257,train
28837,train
11247,train
68620,train
27347,train
46377,train
60019,train
23628,train
29135,train
54952,train
54896,train
22725,train
14133,train
66025,train
735,train
3252,train
535,train
3231,train
8310,train
4145,train
68502,train
5501,train
41489,train
26399,train
28255,train
39751,train
53550,train
18626,train
36786,train
37505,train
66668,train
61081,train
29157,train
23564,train
49723,train
58025,train
35418,train
11811,train
18448,train
35433,train
29505,train
36726,train
59459,train
43119,train
22731,train
65778,train
24283,train
64387,train
59907,train
46207,train
39718,train
55394,train
43207,train
3751,train
34394,train
1482,train
44642,train
60999,train
60744,train
60895,train
14526,train
61687,train
871,train
59768,train
10238,train
51887,train
67482,train
55556,train
16499,train
15789,train
52217,train
67583,train
52758,train
63860,train
69951,train
38534,train
13829,train
62450,train
31047,train
13218,train
23561,train
13092,train
14392,train
26028,train
12928,train
43069,train
29653,train
53562,train
67297,train
28391,train
67463,train
14197,train
13249,train
38054,train
5188,train
12699,train
15425,train
31577,train
38387,train
24236,train
64269,train
5582,train
36437,train
63435,train
66623,train
27405,train
31202,train
44704,train
6831,train
47805,train
42167,train
29078,train
48824,train
27387,train
32001,train
44386,train
20809,train
2498,train
7778,train
63590,train
6219,train
9793,train
36282,train
52042,train
44582,train
4153,train
67294,train
22024,train
61856,train
9131,train
48250,train
49623,train
13006,train
53893,train
69639,train
31521,train
44260,train
21637,train
22866,train
27176,train
53682,train
2717,train
70156,train
36857,train
66806,train
788,train
67124,train
40223,train
41108,train
32400,train
5240,train
15759,train
7666,train
16617,train
21882,train
65141,train
46010,train
58870,train
14515,train
55514,train
41154,train
6674,train
41791,train
47669,train
58076,train
50428,train
25763,train
34211,train
9912,train
56240,train
1897,train
8356,train
887,train
56098,train
70148,train
38354,train
51465,train
63063,train
49352,train
26653,train
26449,train
58268,train
2539,train
35978,train
62585,train
48003,train
50796,train
5714,train
42511,train
19708,train
8259,train
31742,train
34774,train
33652,train
14560,train
26047,train
21974,train
26859,train
1733,train
39257,train
11100,train
18819,train
17669,train
48629,train
2650,train
63443,train
22926,train
45069,train
67536,train
29368,train
44417,train
50210,train
8098,train
29912,train
22930,train
33192,train
42309,train
30763,train
70609,train
11805,train
63807,train
57135,train
33689,train
57757,train
28047,train
3858,train
67163,train
9741,train
28882,train
25260,train
5451,train
59132,train
1508,train
39043,train
70504,train
29026,train
18741,train
38835,train
11834,train
11703,train
30853,train
23876,train
36698,train
27172,train
21959,train
18342,train
44543,train
59617,train
66974,train
48294,train
21394,train
13951,train
58092,train
12222,train
53237,train
41109,train
1186,train
3541,train
26365,train
33759,train
13162,train
42356,train
54472,train
63015,train
70582,train
131,train
39349,train
8848,train
12221,train
34657,train
6313,train
46654,train
33881,train
68561,train
49650,train
65001,train
38022,train
57405,train
1159,train
9717,train
15456,train
5610,train
20691,train
8820,train
10182,train
57901,train
38408,train
15973,train
32579,train
29239,train
13767,train
41613,train
4042,train
70480,train
61438,train
34121,train
59648,train
65044,train
5811,train
33285,train
13351,train
4902,train
35101,train
8645,train
5609,train
69262,train
52887,train
6709,train
10126,train
51918,train
3082,train
28303,train
66936,train
34877,train
2570,train
57886,train
32472,train
42374,train
11463,train
49027,train
33557,train
17335,train
41707,train
52858,train
13196,train
34574,train
37879,train
17682,train
