split_id,method,n_trees,accuracy,auc_roc,f1
0,xgb_matched,1,0.710921,0.778728,0.746291
0,xgb_matched,2,0.722521,0.784450,0.744779
0,xgb_matched,3,0.727755,0.795175,0.732875
0,xgb_matched,4,0.730018,0.800292,0.746631
0,xgb_matched,5,0.732211,0.804109,0.746959
0,xgb_matched,6,0.733484,0.805890,0.749967
0,xgb_matched,7,0.735748,0.807289,0.750367
0,xgb_matched,8,0.736738,0.811345,0.751900
0,xgb_matched,9,0.737940,0.813601,0.751292
0,xgb_matched,10,0.739567,0.815625,0.752521
0,xgb_matched,11,0.740557,0.817101,0.753561
0,xgb_matched,12,0.742609,0.818535,0.754503
0,xgb_matched,13,0.742962,0.819397,0.754127
0,xgb_matched,14,0.743174,0.820150,0.755208
0,xgb_matched,15,0.744023,0.821367,0.755754
0,xgb_default,1,0.735394,0.812044,0.751379
0,xgb_default,2,0.739709,0.816329,0.751687
0,xgb_default,3,0.741972,0.819249,0.754839
0,xgb_default,4,0.742396,0.821605,0.754781
0,xgb_default,5,0.744023,0.823360,0.755852
0,xgb_default,6,0.745438,0.824550,0.756578
0,xgb_default,7,0.746923,0.825428,0.758472
0,xgb_default,8,0.747418,0.826487,0.759123
0,xgb_default,9,0.747984,0.827393,0.760503
0,xgb_default,10,0.747630,0.828198,0.760215
0,xgb_default,11,0.749328,0.828501,0.761539
0,xgb_default,12,0.749328,0.828923,0.761186
0,xgb_default,13,0.749045,0.829191,0.761142
0,xgb_default,14,0.749470,0.829205,0.761449
0,xgb_default,15,0.749682,0.829202,0.761635
1,xgb_matched,1,0.713114,0.779101,0.744970
1,xgb_matched,2,0.719267,0.782822,0.741450
1,xgb_matched,3,0.724926,0.790846,0.736357
1,xgb_matched,4,0.726553,0.797375,0.744582
1,xgb_matched,5,0.728321,0.801813,0.745579
1,xgb_matched,6,0.729948,0.804531,0.743586
1,xgb_matched,7,0.735818,0.808548,0.748231
1,xgb_matched,8,0.736596,0.809903,0.749933
1,xgb_matched,9,0.737657,0.810720,0.749205
1,xgb_matched,10,0.737516,0.812093,0.749747
1,xgb_matched,11,0.737233,0.813033,0.749983
1,xgb_matched,12,0.737445,0.814534,0.751672
