split_id,method,accuracy,auc_roc,f1,n_train,n_test,n_features
0,xgb_matched,0.744023,0.821367,0.755754,56554,14138,21
0,xgb_default,0.749682,0.829202,0.761635,56554,14138,21
1,xgb_matched,0.738435,0.817066,0.750607,56554,14138,21
1,xgb_default,0.745650,0.822955,0.757943,56554,14138,21
2,xgb_matched,0.746640,0.823243,0.758625,56554,14138,21
2,xgb_default,0.755411,0.832817,0.767389,56554,14138,21
3,xgb_matched,0.740416,0.815585,0.752161,56554,14138,21
3,xgb_default,0.748196,0.825200,0.760656,56554,14138,21
4,xgb_matched,0.740770,0.813453,0.753779,56554,14138,21
4,xgb_default,0.748267,0.822222,0.760804,56554,14138,21
