ts,deviceModel,sessionId,triggerSource,batchId,batchCount,datasetId,roundId,nRecords,treeIdx,depth,roundKind,outcome,lastError,nPeersAttempted,nPeersAccepted,networkType,batteryState,batteryLevel,wallMs,clientTsMs,pollUs,computeUs,submitUs,txBytes,rxBytes,rssBytes,wakeLatencyMs
2026-07-24 22:05:53.808000+00:00,iPhone iPhone,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,3,4,pima_diabetes,1,154,,,stats,submitted,,3,3,wifi,full,100,0,1784930753295,19347,54,109672,5832,5382,101302272,
2026-07-24 22:05:54.461000+00:00,iPhone iPhone,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,3,4,breast_cancer,1,114,,,stats,submitted,,3,3,wifi,full,100,0,1784930754349,22743,78,97505,7013,5404,103579648,
2026-07-24 22:05:55.046000+00:00,iPhone iPhone,b379008f-f450-4987-bba4-51517776290a,push,3,4,heart_disease,1,60,,,stats,submitted,,3,3,wifi,full,100,0,1784930754942,20151,41,102318,6124,5382,103841792,
2026-07-24 22:06:54.470000+00:00,Google Pixel 9 Pro,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,0,4,pima_diabetes,1,153,,,stats,submitted,,3,3,wifi,discharging,70,0,1784930814361,32897,472,159462,5896,5360,260644864,1057
2026-07-24 22:06:54.756000+00:00,Lenovo TB328FU,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,2,4,pima_diabetes,1,153,,,stats,submitted,,3,3,wifi,full,100,0,1784930806694,34299,219,116514,5839,5382,223817728,-6337
2026-07-24 22:06:55.124000+00:00,Google Pixel 9 Pro,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,0,4,breast_cancer,1,113,,,stats,submitted,,3,3,wifi,discharging,70,0,1784930815377,23905,322,161551,7059,5360,263180288,
2026-07-24 22:06:55.356000+00:00,Lenovo TB328FU,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,2,4,breast_cancer,1,114,,,stats,submitted,,3,3,wifi,full,100,0,1784930808312,41751,135,118522,7041,5404,287895552,
2026-07-24 22:06:55.742000+00:00,Google Pixel 9 Pro,b379008f-f450-4987-bba4-51517776290a,push,0,4,heart_disease,1,59,,,stats,submitted,,3,3,wifi,discharging,70,0,1784930816005,24281,266,144343,6138,5360,263593984,
2026-07-24 22:06:55.906000+00:00,Lenovo TB328FU,b379008f-f450-4987-bba4-51517776290a,push,2,4,heart_disease,1,59,,,stats,submitted,,3,3,wifi,full,100,0,1784930808866,22746,63,106799,6173,5360,287834112,
2026-07-24 22:20:50.218000+00:00,Lenovo TB328FU,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,workmanager,2,4,pima_diabetes,,,,,,idle,,,,wifi,full,100,836228,1784931642922,44300,,,,,226578432,
2026-07-24 22:20:50.836000+00:00,Lenovo TB328FU,8290562d-2ac2-4701-a08f-14f98f73dfa7,workmanager,2,4,breast_cancer,,,,,,idle,,,,wifi,full,100,835485,1784931643797,96374,,,,,226123776,
2026-07-24 22:20:51.308000+00:00,Lenovo TB328FU,b379008f-f450-4987-bba4-51517776290a,workmanager,2,4,heart_disease,,,,,,idle,,,,wifi,full,100,835403,1784931644269,21568,,,,,227475456,
2026-07-24 22:20:54.395000+00:00,iPhone iPhone,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,3,4,pima_diabetes,,,,,,idle,,,,wifi,full,100,900491,1784931653786,22547,,,,,98795520,511
2026-07-24 22:20:54.739000+00:00,iPhone iPhone,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,3,4,breast_cancer,,,,,,idle,,,,wifi,full,100,900282,1784931654631,21570,,,,,99549184,
2026-07-24 22:20:55.112000+00:00,iPhone iPhone,b379008f-f450-4987-bba4-51517776290a,push,3,4,heart_disease,,,,,,idle,,,,wifi,full,100,900066,1784931655008,19961,,,,,99811328,
2026-07-24 22:21:54.399000+00:00,Google Pixel 9 Pro,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,0,4,pima_diabetes,,,,,,idle,,,,wifi,discharging,68,900094,1784931714455,22637,,,,,237629440,724
2026-07-24 22:21:54.857000+00:00,Google Pixel 9 Pro,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,0,4,breast_cancer,,,,,,idle,,,,wifi,discharging,68,899760,1784931715137,24919,,,,,239448064,
2026-07-24 22:21:54.996000+00:00,samsung SM-X200,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,1,4,pima_diabetes,1,154,,,stats,submitted,,3,3,wifi,charging,98,0,1784931712904,29753,408,178336,5843,5382,176607232,-1118
2026-07-24 22:21:55.295000+00:00,Google Pixel 9 Pro,b379008f-f450-4987-bba4-51517776290a,push,0,4,heart_disease,,,,,,idle,,,,wifi,discharging,68,899574,1784931715579,21198,,,,,239722496,
2026-07-24 22:21:55.609000+00:00,samsung SM-X200,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,1,4,breast_cancer,1,114,,,stats,submitted,,3,3,wifi,charging,98,0,1784931714021,18216,182,170565,7097,5360,179953664,
2026-07-24 22:21:55.912000+00:00,Lenovo TB328FU,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,2,4,pima_diabetes,4294967296,153,0,0,gradient,submitted,,3,3,wifi,full,100,65676,1784931708598,289719,578,430626,11014,6282,221196288,-6681
2026-07-24 22:21:56.230000+00:00,samsung SM-X200,b379008f-f450-4987-bba4-51517776290a,push,1,4,heart_disease,1,59,,,stats,submitted,,3,3,wifi,charging,98,0,1784931714641,41596,104,154579,6181,5360,179953664,
2026-07-24 22:21:56.734000+00:00,Lenovo TB328FU,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,2,4,breast_cancer,4294967296,114,0,0,gradient,submitted,,3,3,wifi,full,100,65912,1784931709709,106642,1176,249228,26433,8702,221380608,
2026-07-24 22:21:57.604000+00:00,Lenovo TB328FU,b379008f-f450-4987-bba4-51517776290a,push,2,4,heart_disease,4294967296,59,0,0,gradient,submitted,,3,3,wifi,full,100,66275,1784931710544,154615,553,164723,14532,6832,221560832,
2026-07-24 22:35:54.964000+00:00,iPhone iPhone,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,3,4,pima_diabetes,4294967296,154,0,0,gradient,submitted,,3,3,wifi,full,100,900801,1784932554587,42602,164,116543,10977,6326,100696064,593
2026-07-24 22:35:55.446000+00:00,Lenovo TB328FU,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,workmanager,2,4,pima_diabetes,,,,,,idle,,,,wifi,full,100,838066,1784932546664,55105,,,,,151986176,
2026-07-24 22:35:55.486000+00:00,iPhone iPhone,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,3,4,breast_cancer,4294967296,114,0,0,gradient,submitted,,3,3,wifi,full,100,900746,1784932555377,42006,371,132252,26365,8702,104824832,
2026-07-24 22:35:55.963000+00:00,iPhone iPhone,b379008f-f450-4987-bba4-51517776290a,push,3,4,heart_disease,4294967296,60,0,0,gradient,submitted,,3,3,wifi,full,100,900861,1784932555869,29068,147,115115,14473,6832,104841216,
2026-07-24 22:35:56.157000+00:00,Lenovo TB328FU,8290562d-2ac2-4701-a08f-14f98f73dfa7,workmanager,2,4,breast_cancer,,,,,,idle,,,,wifi,full,100,839414,1784932549123,55692,,,,,153591808,
2026-07-24 22:35:56.771000+00:00,Lenovo TB328FU,b379008f-f450-4987-bba4-51517776290a,workmanager,2,4,heart_disease,,,,,,idle,,,,wifi,full,100,839192,1784932549736,58329,,,,,153341952,
2026-07-24 22:36:55.960000+00:00,samsung SM-X200,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,1,4,pima_diabetes,4294967296,154,0,0,gradient,submitted,,3,3,wifi,charging,99,901192,1784932614096,91265,492,170731,11012,6326,171958272,-593
2026-07-24 22:36:56.477000+00:00,Lenovo TB328FU,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,2,4,pima_diabetes,,,,,,idle,,,,wifi,full,100,62413,1784932609077,99604,,,,,149733376,-6336
2026-07-24 22:36:56.549000+00:00,samsung SM-X200,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,1,4,breast_cancer,4294967296,114,0,0,gradient,submitted,,3,3,wifi,charging,99,900887,1784932614908,87557,1426,140749,26403,8724,172302336,
2026-07-24 22:36:57.102000+00:00,samsung SM-X200,b379008f-f450-4987-bba4-51517776290a,push,1,4,heart_disease,4294967296,59,0,0,gradient,submitted,,3,3,wifi,charging,99,900820,1784932615461,40755,733,150333,14506,6832,173002752,
2026-07-24 22:36:57.500000+00:00,Lenovo TB328FU,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,2,4,breast_cancer,,,,,,idle,,,,wifi,full,100,61293,1784932610416,107490,,,,,150048768,
2026-07-24 22:36:57.993000+00:00,Google Pixel 9 Pro,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,0,4,pima_diabetes,4294967296,153,0,0,gradient,submitted,,3,3,wifi,discharging,66,901451,1784932615906,88717,575,144859,11029,6282,241762304,959
2026-07-24 22:36:58.423000+00:00,Lenovo TB328FU,b379008f-f450-4987-bba4-51517776290a,push,2,4,heart_disease,,,,,,idle,,,,wifi,full,100,61602,1784932611338,108624,,,,,150237184,
2026-07-24 22:36:58.830000+00:00,Google Pixel 9 Pro,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,0,4,breast_cancer,4294967296,113,0,0,gradient,submitted,,3,3,wifi,discharging,66,903998,1784932619135,97512,1390,161745,26421,8702,242462720,
2026-07-24 22:36:59.580000+00:00,Google Pixel 9 Pro,b379008f-f450-4987-bba4-51517776290a,push,0,4,heart_disease,4294967296,59,0,0,gradient,submitted,,3,3,wifi,discharging,66,904306,1784932619885,47798,715,149595,14533,6832,242700288,
2026-07-24 22:50:55.690000+00:00,iPhone iPhone,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,3,4,pima_diabetes,4294967297,154,0,1,gradient,submitted,,3,3,wifi,full,100,900723,1784933455310,41238,183,111010,16605,6370,104906752,598
2026-07-24 22:50:56.268000+00:00,iPhone iPhone,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,3,4,breast_cancer,4294967297,114,0,1,gradient,submitted,,3,3,wifi,full,100,900793,1784933456170,47570,229,174840,47388,8767,105021440,
2026-07-24 22:50:56.774000+00:00,iPhone iPhone,b379008f-f450-4987-bba4-51517776290a,push,3,4,heart_disease,4294967297,60,0,1,gradient,submitted,,3,3,wifi,full,100,900811,1784933456680,20027,222,145581,23614,6876,105054208,
2026-07-24 22:50:58.402000+00:00,Lenovo TB328FU,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,workmanager,2,4,pima_diabetes,4294967297,153,0,1,gradient,submitted,,3,3,wifi,full,100,842044,1784933451121,42041,894,96132,16677,6304,127660032,
2026-07-24 22:50:59.029000+00:00,Lenovo TB328FU,8290562d-2ac2-4701-a08f-14f98f73dfa7,workmanager,2,4,breast_cancer,4294967297,114,0,1,gradient,submitted,,3,3,wifi,full,100,841581,1784933451997,89599,2119,123062,47461,8723,131317760,
2026-07-24 22:50:59.573000+00:00,Lenovo TB328FU,b379008f-f450-4987-bba4-51517776290a,workmanager,2,4,heart_disease,4294967297,59,0,1,gradient,submitted,,3,3,wifi,full,100,841202,1784933452540,40764,676,121120,23615,6876,131895296,
2026-07-24 22:51:55.707000+00:00,Lenovo TB328FU,5293ac2e-1915-4c3b-8f9d-5d7a5ccf62d1,push,2,4,pima_diabetes,,,,,,idle,,,,wifi,full,100,57341,1784933508462,20555,,,,,129937408,-6591
2026-07-24 22:51:56.071000+00:00,Lenovo TB328FU,8290562d-2ac2-4701-a08f-14f98f73dfa7,push,2,4,breast_cancer,,,,,,idle,,,,wifi,full,100,57055,1784933509052,30012,,,,,130199552,
2026-07-24 22:51:56.418000+00:00,Lenovo TB328FU,b379008f-f450-4987-bba4-51517776290a,push,2,4,heart_disease,,,,,,idle,,,,wifi,full,100,56858,1784933509398,20600,,,,,130834432,
