split_id,tree,depth,node_id,feature_idx,binned_gain,exact_gain,retention,n_samples_in_node
0,0,0,0,22,301.47171195,304.86032723,0.98888470,456
0,0,1,1,27,41.51436417,45.01901314,0.92215180,314
0,0,1,2,26,2.41105009,6.38724493,0.37747888,142
0,0,2,3,23,7.53556229,9.32957293,0.80770710,287
0,0,2,4,21,7.76235854,7.89802903,0.98282223,27
0,1,1,1,27,36.62688840,39.81116275,0.92001554,308
0,1,1,2,1,5.47656971,5.47657031,0.99999989,148
0,1,2,3,27,4.10565653,5.67428603,0.72355473,280
0,1,2,4,21,6.22033872,6.62894677,0.93836003,28
0,1,2,6,26,0.17601503,2.11064794,0.08339384,140
0,2,1,1,23,17.24470258,17.39831898,0.99117062,277
0,2,1,2,26,20.40296530,20.40296250,1.00000000,179
0,2,2,3,13,3.27093383,3.27093400,0.99999995,259
0,2,2,4,21,4.40891428,4.40891416,1.00000000,18
0,2,2,5,21,0.99809618,0.99809621,0.99999996,17
0,2,2,6,22,6.83169037,9.02964681,0.75658445,162
0,3,1,1,27,24.97942871,27.72402358,0.90100301,308
0,3,1,2,1,3.48444921,3.52130763,0.98953275,148
0,3,2,3,10,3.04330577,3.04330601,0.99999992,260
0,3,2,4,21,10.85885139,12.34797058,0.87940373,48
0,4,1,1,23,11.10665773,11.55717349,0.96101852,277
0,4,1,2,26,13.20501423,13.20501590,0.99999987,179
0,4,2,3,13,2.73876841,2.73876987,0.99999947,259
0,4,2,4,21,3.46129310,3.46129295,1.00000000,18
0,4,2,5,21,0.79027349,0.79027364,0.99999981,17
0,4,2,6,22,4.59038145,6.41296040,0.71579757,162
0,5,1,1,27,15.11656677,17.91561172,0.84376504,314
0,5,1,2,27,1.84166392,2.97724424,0.61858006,142
0,5,2,3,1,4.82085431,5.44741783,0.88497972,287
0,5,2,4,28,4.53836062,4.53836063,1.00000000,27
0,6,1,1,23,8.55428402,8.77292846,0.97507737,277
0,6,1,2,21,9.36704023,9.36704020,1.00000000,179
0,6,2,3,12,2.42444136,2.42444069,1.00000000,259
0,6,2,4,21,2.96010119,2.96010128,0.99999997,18
0,6,2,5,22,4.66489703,4.66489671,1.00000000,24
0,6,2,6,22,4.05354387,4.89872697,0.82746883,155
0,7,1,1,23,7.36331690,7.84107550,0.93906976,277
0,7,1,2,26,8.07899934,8.07899699,1.00000000,179
0,7,2,3,12,2.21899442,2.21899493,0.99999977,259
0,7,2,4,21,2.56063242,2.56063240,1.00000000,18
0,7,2,5,9,0.42992284,0.42992285,0.99999998,17
0,7,2,6,1,2.88630570,3.41468195,0.84526341,162
0,8,1,1,25,9.65484932,9.97610353,0.96779763,280
0,8,1,2,21,6.65335595,6.74379090,0.98658989,176
0,8,2,3,21,2.28264380,2.56290546,0.89064690,265
0,8,2,4,8,0.05281834,0.05281834,0.99999993,15
0,8,2,5,7,3.49086078,3.49086057,1.00000000,24
0,8,2,6,24,2.30613697,2.70574973,0.85230978,152
0,9,1,1,27,10.64254901,11.96640350,0.88936906,308
0,9,1,2,6,2.93387761,2.93387843,0.99999972,148
0,9,2,3,12,1.70187615,1.87614627,0.90711272,260
0,9,2,4,21,5.58806455,6.39701760,0.87354216,48
0,9,2,5,1,3.10451336,3.64554398,0.85159125,18
0,10,1,1,25,7.49179157,7.81845229,0.95821926,280
0,10,1,2,21,5.10509228,5.32540290,0.95863024,176
0,10,2,3,21,2.17129556,2.49014521,0.87195540,265
0,10,2,4,8,0.02646631,0.02646629,1.00000000,15
