split_id,tree,depth,node_id,feature_idx,binned_gain,exact_gain,retention,n_samples_in_node
0,0,0,0,0,8221.06730376,8221.06730376,1.00000000,56554
0,0,1,1,13,2443.96646056,2443.96646056,1.00000000,24677
0,0,1,2,13,1852.88934232,1852.88934232,1.00000000,31877
0,0,2,3,18,261.63994384,261.63994384,1.00000000,13801
0,0,2,4,18,482.14728077,482.14728077,1.00000000,10876
0,0,2,5,3,301.08032275,301.08032275,1.00000000,8546
0,0,2,6,3,416.90454266,430.65361202,0.96807395,23331
0,1,1,1,13,1805.25931542,1805.25932408,1.00000000,24677
0,1,1,2,13,1350.61618399,1350.61564844,1.00000000,31877
0,1,2,3,18,211.99963725,211.99962369,1.00000000,13801
0,1,2,4,18,402.12136529,402.12128626,1.00000000,10876
0,1,2,5,3,232.20257493,232.20254361,1.00000000,8546
0,1,2,6,3,337.67560020,349.84612347,0.96521178,23331
0,2,1,1,13,1378.73891587,1378.73917021,0.99999982,24677
0,2,1,2,13,997.54526385,997.54557229,0.99999969,31877
0,2,2,3,3,196.84745981,196.84745341,1.00000000,13801
0,2,2,4,3,370.19953188,379.93483676,0.97437638,10876
0,2,2,5,18,219.90394778,219.90394885,1.00000000,8546
0,2,2,6,1,332.29989448,332.29990366,0.99999997,23331
0,3,1,1,13,1072.73118608,1072.73102612,1.00000000,24677
0,3,1,2,13,781.16265025,781.16257386,1.00000000,31877
0,3,2,3,18,193.42429801,193.42423184,1.00000000,13801
0,3,2,4,13,354.93906177,354.93906032,1.00000000,10876
0,3,2,5,3,442.03260750,442.03259490,1.00000000,20229
0,3,2,6,3,109.76416411,112.47977683,0.97585688,11648
0,4,1,1,0,710.07823124,710.07823051,1.00000000,22347
0,4,1,2,1,882.59803234,882.59795203,1.00000000,34207
0,4,2,3,13,185.08490191,185.08490724,0.99999997,13801
0,4,2,4,1,206.28605784,206.28606323,0.99999997,8546
0,4,2,5,18,539.31392872,539.31397086,0.99999992,13197
0,4,2,6,3,262.09684787,286.08280960,0.91615728,21010
0,5,1,1,3,645.65561902,655.36263002,0.98518834,24677
0,5,1,2,13,532.33578850,532.33582930,0.99999992,31877
0,5,2,3,1,260.88939322,260.88939723,0.99999998,15400
0,5,2,4,18,321.70150540,321.70153443,0.99999991,9277
0,5,2,5,3,316.22664133,316.22670111,0.99999981,20229
0,5,2,6,3,79.23298670,86.04221035,0.92086182,11648
0,6,1,1,18,583.61998145,583.62010166,0.99999979,22347
0,6,1,2,18,578.04679356,578.04678315,1.00000000,34207
0,6,2,3,1,180.07989007,180.07991366,0.99999987,11151
0,6,2,4,3,268.08903802,268.08900954,1.00000000,11196
0,6,2,5,13,116.43138115,116.43138594,0.99999996,3840
0,6,2,6,3,396.11757165,422.87152309,0.93673267,30367
0,7,1,1,18,632.19349023,632.19342771,1.00000000,26602
0,7,1,2,3,432.46088245,432.46086892,1.00000000,29952
0,7,2,3,3,305.00904195,305.00904753,0.99999998,14308
0,7,2,4,3,247.99459971,252.83567383,0.98085288,12294
0,7,2,5,13,252.54907510,252.54905196,1.00000000,20210
0,7,2,6,16,58.44940581,58.44940217,1.00000000,9742
0,8,1,1,18,785.25837508,785.25833128,1.00000000,41145
0,8,1,2,3,120.46971437,132.10464062,0.91192644,15409
0,8,2,3,3,326.19542853,326.19540995,1.00000000,18742
0,8,2,4,3,326.64981713,335.49807779,0.97362649,22403
0,8,2,5,19,12.58075616,12.58075597,1.00000000,1164
0,8,2,6,18,67.78366440,67.78366356,1.00000000,14245
0,9,1,1,13,369.73036712,369.73035039,1.00000000,24677
0,9,1,2,16,283.38660129,283.38661288,0.99999996,31877
0,9,2,3,18,25.56910790,25.56910146,1.00000000,4897
0,9,2,4,13,242.04065783,242.04066947,0.99999995,19780
0,9,2,5,1,159.70144639,159.70147921,0.99999979,20876
0,9,2,6,1,49.59712690,49.59714370,0.99999966,11001
0,10,1,1,18,368.94145947,368.94143603,1.00000000,26602
0,10,1,2,3,266.30693174,267.67028419,0.99490660,29952
0,10,2,3,3,77.79167707,77.79168021,0.99999996,8488
0,10,2,4,3,265.40354989,265.40356399,0.99999995,18114
0,10,2,5,20,166.06246858,166.06245153,1.00000000,18612
0,10,2,6,18,48.89549994,48.89550518,0.99999989,11340
0,11,1,1,18,283.91125549,283.91121338,1.00000000,22347
0,11,1,2,18,241.82478908,241.82477132,1.00000000,34207
0,11,2,3,3,133.89907152,135.65403296,0.98706296,14037
0,11,2,4,17,93.21818544,93.21818531,1.00000000,8310
0,11,2,5,13,38.09653350,38.09653700,0.99999991,2394
0,11,2,6,10,196.78914026,196.78913534,1.00000000,31813
0,12,1,1,16,87.94823889,87.94823207,1.00000000,6545
0,12,1,2,18,366.67557069,366.67560380,0.99999991,50009
0,12,2,3,6,38.19905463,38.19904967,1.00000000,6299
0,12,2,4,6,10.13233974,10.13233953,1.00000000,246
0,12,2,5,13,106.77190640,106.77192344,0.99999984,9986
0,12,2,6,3,267.90916719,301.23817602,0.88935994,40023
0,13,1,1,3,380.35694440,405.50471438,0.93798403,48126
0,13,1,2,16,31.84498250,31.84498961,0.99999978,8428
0,13,2,3,13,178.31218183,178.31217549,1.00000000,24374
0,13,2,4,1,152.56154131,152.56154330,0.99999999,23752
0,13,2,5,3,24.87834049,24.87834112,0.99999997,4272
0,13,2,6,13,10.67620313,10.67620128,1.00000000,4156
0,14,1,1,13,264.21970007,264.21964679,1.00000000,42170
0,14,1,2,6,56.67821237,56.67820295,1.00000000,14384
0,14,2,3,18,37.75965601,37.75963930,1.00000000,6299
0,14,2,4,18,217.80823361,217.80823876,0.99999998,35871
0,14,2,5,3,61.72750159,61.72750074,1.00000000,10228
0,14,2,6,10,8.44957236,8.44957160,1.00000000,4156
1,0,0,0,0,8259.54843667,8259.54843667,1.00000000,56554
1,0,1,1,13,2390.42745467,2390.42745467,1.00000000,24718
1,0,1,2,13,1825.20211765,1825.20211765,1.00000000,31836
1,0,2,3,18,260.94601873,260.94601873,1.00000000,13832
1,0,2,4,18,502.07605030,502.07605030,1.00000000,10886
1,0,2,5,3,346.61358809,346.61358809,1.00000000,8540
1,0,2,6,3,430.19902722,441.37258974,0.97468451,23296
1,1,1,1,13,1765.72310112,1765.72262046,1.00000000,24718
1,1,1,2,13,1330.53268352,1330.53264302,1.00000000,31836
1,1,2,3,18,212.40667045,212.40663489,1.00000000,13832
1,1,2,4,18,392.98162368,392.98167559,0.99999987,10886
1,1,2,5,3,264.02593876,267.39367908,0.98740531,8540
1,1,2,6,3,339.80200783,341.85866784,0.99398389,23296
1,2,1,1,13,1348.20950706,1348.20905230,1.00000000,24718
1,2,1,2,13,982.82573114,982.82565027,1.00000000,31836
1,2,2,3,3,214.17972114,214.17971064,1.00000000,13832
1,2,2,4,3,371.58763427,375.31462577,0.99006969,10886
1,2,2,5,3,222.50552891,222.50549632,1.00000000,8540
1,2,2,6,1,341.36531717,341.36533508,0.99999995,23296
1,3,1,1,13,1049.02232301,1049.02246649,0.99999986,24718
1,3,1,2,13,784.05118897,784.05113932,1.00000000,31836
