split_id,tree,depth,node_id,feature_idx,binned_gain,exact_gain,retention,n_samples_in_node
0,0,0,0,12,67.53336038,67.53336271,0.99999997,238
0,0,1,1,11,19.74924905,19.74924954,0.99999998,135
0,0,1,2,2,9.81767392,9.81767446,0.99999995,103
0,0,2,3,9,4.72227696,4.72227715,0.99999996,93
0,0,2,4,2,8.45768516,8.45768551,0.99999996,42
0,0,2,5,11,4.11038623,4.11038649,0.99999994,34
0,0,2,6,9,2.97016754,2.97016790,0.99999988,69
0,1,1,1,11,15.45831683,15.45831555,1.00000000,135
0,1,1,2,2,7.22064187,7.22064118,1.00000000,103
0,1,2,3,9,3.82832684,3.82832682,1.00000000,93
0,1,2,4,2,6.73381119,6.73381222,0.99999985,42
0,1,2,5,11,3.35388797,3.35388760,1.00000000,34
0,1,2,6,9,2.09509735,2.09509618,1.00000000,69
0,2,1,1,11,12.35743102,12.35743005,1.00000000,135
0,2,1,2,11,6.24724619,6.24724651,0.99999995,103
0,2,2,3,9,3.18417575,3.18417502,1.00000000,93
0,2,2,4,2,5.39827449,5.39827369,1.00000000,42
0,2,2,5,8,5.53937074,5.53937107,0.99999994,46
0,3,1,1,11,10.01640473,10.01640428,1.00000000,135
0,3,1,2,2,4.95413986,4.95413865,1.00000000,103
0,3,2,3,9,2.69309498,2.69309444,1.00000000,93
0,3,2,4,1,4.97138120,4.97138136,0.99999997,42
0,3,2,5,7,2.66051860,2.66051851,1.00000000,34
0,3,2,6,9,1.84902533,1.84902533,1.00000000,69
0,4,1,1,12,6.83016032,6.83015977,1.00000000,124
0,4,1,2,11,6.78817496,6.78817735,0.99999965,114
0,4,2,3,11,3.16261807,3.16261822,0.99999995,90
0,4,2,4,7,2.19619026,2.19619074,0.99999978,34
0,4,2,5,7,4.29597753,5.00663251,0.85805729,51
0,4,2,6,1,0.25207029,0.25206999,1.00000000,63
0,5,1,1,11,6.95344767,6.95344840,0.99999990,135
0,5,1,2,11,4.04699546,4.04699539,1.00000000,103
0,5,2,3,9,2.33075939,2.33075949,0.99999996,93
0,5,2,4,1,3.51619658,3.51619693,0.99999990,42
0,5,2,5,8,3.71771739,3.71771698,1.00000000,46
0,5,2,6,3,0.01386142,0.01386150,0.99999456,57
0,6,1,1,12,4.64795147,4.64795174,0.99999994,124
0,6,1,2,11,4.27991509,4.27991632,0.99999971,114
0,6,2,3,11,2.34398758,2.34398752,1.00000000,90
0,6,2,4,7,1.71666314,1.71666344,0.99999982,34
0,6,2,5,3,3.29925561,3.79430826,0.86952756,51
0,6,2,6,9,0.33145342,0.33145355,0.99999961,63
0,7,1,1,0,3.98535655,3.98535656,1.00000000,124
0,7,1,2,11,3.52063916,3.52063917,1.00000000,114
0,7,2,3,3,1.34804574,1.67971102,0.80254623,72
0,7,2,4,0,3.17847157,3.75688245,0.84603966,52
0,7,2,5,7,2.98711507,3.52432505,0.84757082,51
0,7,2,6,1,0.41029291,0.41029295,0.99999990,63
0,8,1,1,0,4.43509161,4.43509156,1.00000000,135
0,8,1,2,9,2.46642316,2.97790685,0.82824053,103
0,8,2,3,7,2.06425651,2.13347799,0.96755463,74
0,8,2,4,2,2.50634572,2.50634550,1.00000000,61
0,8,2,5,3,2.52970315,2.52970300,1.00000000,37
0,8,2,6,7,1.20625437,1.20625419,1.00000000,66
0,9,1,1,11,4.08895962,4.08896012,0.99999988,135
0,9,1,2,11,2.44533768,2.44533782,0.99999994,103
0,9,2,3,0,2.21587234,2.21587278,0.99999980,93
0,9,2,4,1,2.67471000,2.67471000,1.00000000,42
0,9,2,5,8,2.50180774,2.50180796,0.99999991,46
0,9,2,6,0,0.39042566,0.39042560,1.00000000,57
0,10,1,1,9,2.84490107,3.87531617,0.73410812,124
0,10,1,2,9,2.22921333,2.58674433,0.86178340,114
0,10,2,3,12,2.26883336,2.26883338,0.99999999,112
0,10,2,4,3,0.24443569,0.24443566,1.00000000,12
0,10,2,5,3,2.48535688,2.48535684,1.00000000,45
0,10,2,6,3,1.50051658,1.96445983,0.76383165,69
0,11,1,1,12,4.45342821,4.45342888,0.99999985,139
0,11,1,2,10,2.39731274,2.39731297,0.99999991,99
0,11,2,3,9,2.53824782,2.53824815,0.99999987,98
0,11,2,4,9,2.45860113,3.16435530,0.77696747,41
0,11,2,5,1,2.88350569,2.88350574,0.99999998,38
0,11,2,6,9,0.97920590,0.97920596,0.99999994,61
0,12,1,1,0,2.31721150,2.31721082,1.00000000,124
0,12,1,2,6,2.08101447,2.08101456,0.99999996,114
0,12,2,3,7,1.55958110,1.86054287,0.83823981,72
0,12,2,4,0,2.75177165,3.29894380,0.83413717,52
0,12,2,5,3,1.77539377,1.77539372,1.00000000,53
0,12,2,6,0,0.53730391,0.96223152,0.55839359,61
0,13,1,1,12,3.61089267,3.61089241,1.00000000,139
0,13,1,2,0,2.21152796,2.21152801,0.99999997,99
0,13,2,3,9,2.11791498,2.11791496,1.00000000,98
0,13,2,4,9,2.00666631,2.74585419,0.73079857,41
0,13,2,5,0,2.38419379,2.62213663,0.90925612,73
0,13,2,6,1,2.22150071,2.22150051,1.00000000,26
0,14,1,1,0,2.94281431,2.94281446,0.99999995,161
0,14,1,2,4,1.34838703,1.55938926,0.86468919,77
0,14,2,3,3,1.91674889,1.91674899,0.99999995,88
0,14,2,4,0,3.07986216,4.87963276,0.63116679,73
0,14,2,5,4,1.12256754,1.12256766,0.99999990,20
0,14,2,6,9,1.16794515,1.45221033,0.80425344,57
1,0,0,0,2,58.27626645,58.27626839,0.99999997,238
1,0,1,1,11,8.55300422,8.55300436,0.99999998,124
1,0,1,2,12,21.47895230,21.47895317,0.99999996,114
1,0,2,3,9,3.78821425,3.78821441,0.99999996,94
1,0,2,4,10,4.09383176,4.09383193,0.99999996,30
