split_id,tree,depth,node_id,feature_idx,binned_gain,exact_gain,retention,n_samples_in_node
0,0,0,0,12,67.53336038,67.53336271,0.99999997,238
0,0,1,1,11,19.74924905,19.74924954,0.99999998,135
0,0,1,2,2,9.81767392,9.81767446,0.99999995,103
0,0,2,3,9,4.72227696,4.72227715,0.99999996,93
0,0,2,4,2,8.45768516,8.45768551,0.99999996,42
0,0,2,5,11,4.11038623,4.11038649,0.99999994,34
0,0,2,6,9,1.76887483,2.97016790,0.59554709,69
0,1,1,1,11,15.45831683,15.45831555,1.00000000,135
0,1,1,2,2,7.23897885,7.23897904,0.99999997,103
0,1,2,3,9,3.82832684,3.82832682,1.00000000,93
0,1,2,4,2,6.73381119,6.73381222,0.99999985,42
0,1,2,5,11,3.35388797,3.35388760,1.00000000,34
0,1,2,6,9,1.19445249,2.28720768,0.52223176,69
0,2,1,1,11,12.35743102,12.35743005,1.00000000,135
0,2,1,2,11,6.37395894,6.37395975,0.99999987,103
0,2,2,3,3,3.70984632,4.46050589,0.83170977,93
0,2,2,4,2,5.39827449,5.39827369,1.00000000,42
0,2,2,5,8,5.58174789,5.58174820,0.99999994,46
0,3,1,1,11,9.98529409,9.98529563,0.99999985,135
0,3,1,2,11,4.97162711,4.97162576,1.00000000,103
0,3,2,3,9,3.20639329,3.20639371,0.99999987,93
0,3,2,4,1,4.97138120,4.97138136,0.99999997,42
0,3,2,5,9,4.86404437,4.86404457,0.99999996,46
0,4,1,1,12,5.91690945,5.91691048,0.99999982,124
0,4,1,2,11,6.22793170,6.22793232,0.99999990,114
0,4,2,3,11,3.13677666,3.13677720,0.99999983,90
0,4,2,4,7,2.69192600,2.69192599,1.00000000,34
0,4,2,5,7,4.18307556,5.20370491,0.80386487,51
0,4,2,6,1,0.19076667,0.19076636,1.00000000,63
0,5,1,1,12,4.90445749,4.90445868,0.99999976,124
0,5,1,2,11,5.14757237,5.14757228,1.00000000,114
0,5,2,3,9,2.68583047,3.16194940,0.84942234,90
0,5,2,4,7,2.22280986,2.22280974,1.00000000,34
0,5,2,5,12,3.88702302,3.88702270,1.00000000,51
0,5,2,6,9,0.52166374,0.52166345,1.00000000,63
0,6,1,1,11,6.31614692,6.31614749,0.99999991,135
0,6,1,2,2,3.40370754,3.40370742,1.00000000,103
0,6,2,3,3,3.02114848,3.57003374,0.84625208,93
0,6,2,4,1,3.40301322,3.40301258,1.00000000,42
0,6,2,5,7,1.84030749,1.84030712,1.00000000,34
0,6,2,6,9,1.61708481,2.26256478,0.71471316,69
0,7,1,1,9,4.00357485,4.51251093,0.88721665,124
0,7,1,2,11,3.65460159,3.65460109,1.00000000,114
0,7,2,3,12,2.68793461,2.68793419,1.00000000,113
0,7,2,5,3,3.34721974,3.34722000,0.99999992,51
0,7,2,6,9,0.45106647,0.45106626,1.00000000,63
0,8,1,1,12,5.97486130,5.97486193,0.99999990,139
0,8,1,2,1,2.88099042,2.88098984,1.00000000,99
0,8,2,3,9,3.12765404,3.12765443,0.99999987,98
0,8,2,4,9,3.47529641,3.47529621,1.00000000,41
0,8,2,5,10,3.06793532,3.06793576,0.99999986,26
0,8,2,6,0,1.19317154,1.81835726,0.65618103,73
0,9,1,1,9,2.91692676,3.33767033,0.87394094,124
0,9,1,2,9,2.88654731,2.88654753,0.99999992,114
0,9,2,3,0,1.87924609,2.53784998,0.74048746,113
0,9,2,5,9,1.95292824,1.95292833,0.99999996,43
0,9,2,6,3,1.49397691,1.69492127,0.88144325,71
0,10,1,1,12,4.56062371,4.56062432,0.99999987,139
0,10,1,2,1,2.42831971,2.42831949,1.00000000,99
0,10,2,3,9,2.43560725,2.43560728,0.99999999,98
0,10,2,4,9,2.59276704,2.59276742,0.99999985,41
0,10,2,5,10,2.35493565,2.35493550,1.00000000,26
0,10,2,6,0,0.93901421,1.43685086,0.65352239,73
0,11,1,1,11,3.96992387,3.96992338,1.00000000,161
0,11,1,2,10,1.31424442,1.31424430,1.00000000,77
0,11,2,3,3,0.94903883,1.43912267,0.65945652,105
0,11,2,4,6,2.86090543,2.86090530,1.00000000,56
0,11,2,5,11,0.88914965,0.88914947,1.00000000,20
0,11,2,6,3,1.72828567,1.72828544,1.00000000,57
0,12,1,1,9,2.09038663,2.41286892,0.86634902,124
0,12,1,2,9,1.86322249,1.86322243,1.00000000,114
0,12,2,3,7,1.49432683,1.56028444,0.95772719,113
0,12,2,5,9,1.75398478,1.75398479,0.99999999,43
0,12,2,6,3,1.10587594,1.27017074,0.87065140,71
0,13,1,1,0,3.56539391,3.56539363,1.00000000,135
0,13,1,2,11,1.62390329,1.62390349,0.99999988,103
0,13,2,3,7,2.09892683,2.09892686,0.99999999,74
0,13,2,4,0,2.03094049,2.18469156,0.92962344,61
0,13,2,5,8,1.60358040,1.60358022,1.00000000,46
0,13,2,6,6,0.45499031,0.45499031,1.00000000,57
0,14,1,1,12,3.02481630,3.02481711,0.99999973,139
0,14,1,2,0,1.98873510,2.39322679,0.83098481,99
0,14,2,3,3,1.93886827,2.26784214,0.85493970,98
0,14,2,4,7,1.72418381,2.28635999,0.75411738,41
0,14,2,5,0,2.48104208,2.60456177,0.95257564,68
0,14,2,6,1,1.77637789,1.77637792,0.99999998,31
1,0,0,0,2,58.27626645,58.27626839,0.99999997,238
1,0,1,1,11,8.55300422,8.55300436,0.99999998,124
1,0,1,2,12,21.47895230,21.47895317,0.99999996,114
1,0,2,3,9,3.78821425,3.78821441,0.99999996,94
1,0,2,4,10,4.09383176,4.09383193,0.99999996,30
1,0,2,5,11,12.34407047,12.34407089,0.99999997,44
1,1,1,1,11,16.73247307,16.73247124,1.00000000,134
1,1,1,2,2,13.22625011,13.22625122,0.99999992,104
1,1,2,3,3,4.17742749,4.17742762,0.99999997,98
