split_id,tree,depth,node_id,feature_idx,binned_gain,exact_gain,retention,n_samples_in_node
0,0,0,0,1,97.97172400,103.42045539,0.94731476,614
0,0,1,1,7,31.99498245,31.99498264,0.99999999,434
0,0,1,2,5,12.32123550,13.47648770,0.91427646,180
0,0,2,3,5,6.93410808,9.79311416,0.70805956,268
0,0,2,4,5,14.62264411,14.62264447,0.99999998,166
0,0,2,5,0,4.21440451,4.21440460,0.99999998,49
0,0,2,6,6,1.39614889,2.01885826,0.69155369,131
0,1,1,1,7,18.65427177,18.92516806,0.98568592,393
0,1,1,2,5,13.71944952,14.87218464,0.92249053,221
0,1,2,3,5,4.29505206,5.62775639,0.76319083,208
0,1,2,4,1,13.24688970,13.24688907,1.00000000,185
0,1,2,5,7,4.50963363,4.50963396,0.99999993,60
0,1,2,6,6,3.16543363,4.50139736,0.70321133,161
0,2,1,1,7,15.27432560,15.58258180,0.98021790,393
0,2,1,2,5,9.83051754,10.82211931,0.90837268,221
0,2,2,3,5,3.59210987,6.78271949,0.52959729,249
0,2,2,4,5,9.53554692,9.53554774,0.99999991,144
0,2,2,5,1,4.01194540,7.09236203,0.56567127,60
0,2,2,6,6,2.14730339,3.28408095,0.65385215,161
0,3,1,1,7,16.76526988,16.76527171,0.99999989,434
0,3,1,2,5,4.18056550,4.89116762,0.85471728,180
0,3,2,3,5,4.96272450,8.55706928,0.57995610,268
0,3,2,4,5,8.86254353,8.86254304,1.00000000,166
0,3,2,5,0,2.93167194,2.93167143,1.00000000,49
0,3,2,6,1,0.19385983,3.67017537,0.05282032,131
0,4,1,1,5,4.28131733,4.94973259,0.86495932,226
0,4,1,2,7,12.62763391,14.22265017,0.88785379,388
0,4,2,3,6,2.84209303,3.68127010,0.77204143,186
0,4,2,4,0,1.66697694,1.66697713,0.99999989,40
0,4,2,5,1,7.70487144,10.57052068,0.72890179,185
0,4,2,6,5,4.11545038,6.48751172,0.63436500,203
0,5,1,1,5,3.63347374,4.26666400,0.85159594,226
0,5,1,2,5,9.98878935,11.08663482,0.90097577,388
0,5,2,3,6,2.40493328,3.25536132,0.73876078,186
0,5,2,4,0,1.38734092,1.38734091,1.00000000,40
0,5,2,5,1,5.61057091,6.33242915,0.88600611,66
0,5,2,6,7,5.30820691,6.15785431,0.86202217,322
0,6,1,1,5,11.06128921,11.81697418,0.93605089,434
0,6,1,2,5,2.51824825,3.02071471,0.83365974,180
0,6,2,3,2,0.25541087,0.25541086,1.00000000,113
0,6,2,4,6,9.66133257,10.05484444,0.96086346,321
0,6,2,5,0,2.11859840,2.11859853,0.99999994,49
0,6,2,6,6,0.96931393,1.66779173,0.58119603,131
0,7,1,1,4,3.28392795,3.28392810,0.99999996,160
0,7,1,2,7,10.60547056,10.61142544,0.99943882,454
0,7,2,3,5,1.61546603,1.61546637,0.99999979,154
0,7,2,5,5,7.27410922,9.95476116,0.73071660,171
0,7,2,6,1,3.01580447,5.28276162,0.57087650,283
0,8,1,1,4,2.86599657,2.86599664,0.99999998,160
0,8,1,2,7,8.02078100,8.22078598,0.97567082,454
0,8,2,3,5,1.41308971,1.41308980,0.99999994,154
0,8,2,5,5,5.97026339,8.54640727,0.69856996,171
0,8,2,6,5,3.09733758,4.58637177,0.67533504,283
0,9,1,1,5,7.99084003,8.80609678,0.90742133,434
0,9,1,2,1,2.23668981,6.41444381,0.34869583,180
0,9,2,3,2,0.25035208,0.25035224,0.99999934,113
0,9,2,4,6,6.88944457,7.31273385,0.94211614,321
0,9,2,5,6,2.30967307,3.20982077,0.71956450,116
0,9,2,6,7,1.91205274,2.31974648,0.82425073,64
0,10,1,1,4,2.42113141,2.42113120,1.00000000,160
0,10,1,2,7,5.88834500,6.22210778,0.94635857,454
0,10,2,3,7,1.20495014,1.20494997,1.00000000,154
