split_id,tree,depth,node_id,feature_idx,binned_gain,exact_gain,retention,n_samples_in_node
0,0,0,0,1,100.82584303,103.42045539,0.97491200,614
0,0,1,1,7,24.43330451,25.81650832,0.94642173,405
0,0,1,2,5,18.28670957,19.98676147,0.91494110,209
0,0,2,3,5,4.82128538,7.57058371,0.63684460,245
0,0,2,4,1,8.36329393,10.14843795,0.82409667,160
0,0,2,5,1,6.13763983,6.13763981,1.00000000,54
0,0,2,6,1,3.45813823,3.45813762,1.00000000,155
0,1,1,1,7,19.41703228,20.99047018,0.92504037,405
0,1,1,2,5,12.32327416,13.86563666,0.88876367,209
0,1,2,3,5,4.20859281,7.25335096,0.58022738,245
0,1,2,4,5,8.11150350,13.51838756,0.60003484,160
0,1,2,5,1,4.79733955,4.79733836,1.00000000,54
0,1,2,6,1,2.17897417,2.17897563,0.99999933,155
0,2,1,1,7,15.89083271,17.08380442,0.93016943,405
0,2,1,2,5,8.73390240,10.14531263,0.86088056,209
0,2,2,3,3,2.59706653,2.59706850,0.99999924,196
0,2,2,4,5,8.49817121,12.91727753,0.65789182,209
0,2,2,5,1,3.76621845,3.76621853,0.99999998,54
0,2,2,6,1,1.65274202,1.90382096,0.86811840,155
0,3,1,1,7,13.03656785,14.62888679,0.89115242,405
0,3,1,2,5,6.38983742,7.68597405,0.83136339,209
0,3,2,3,5,3.64099528,6.66140770,0.54658046,245
0,3,2,4,6,7.85032638,8.16160209,0.96186095,160
0,3,2,5,2,2.98300418,2.98300411,1.00000000,54
0,3,2,6,6,1.74974438,4.47954641,0.39060749,155
0,4,1,1,0,9.19156113,9.19156213,0.99999989,274
0,4,1,2,1,10.54361469,10.54361260,1.00000000,340
0,4,2,3,7,3.91504322,3.91504347,0.99999994,230
0,4,2,4,1,5.57496387,6.60357063,0.84423476,44
0,4,2,5,7,8.08708199,10.00139015,0.80859579,251
0,4,2,6,2,1.84005959,1.84005944,1.00000000,89
0,5,1,1,5,3.87514763,5.16457781,0.75033193,193
