dropout_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.813559,0.879630,0.792453
0.00,1,0.830508,0.891782,0.814815
0.00,2,0.728814,0.784722,0.703704
0.00,3,0.796610,0.891204,0.750000
0.00,4,0.915254,0.951389,0.897959
0.10,0,0.830508,0.884259,0.807692
0.10,1,0.864407,0.911458,0.851852
0.10,2,0.762712,0.821181,0.740741
0.10,3,0.796610,0.875579,0.760000
0.10,4,0.796610,0.920718,0.760000
0.20,0,0.830508,0.894676,0.800000
0.20,1,0.881356,0.906829,0.872727
0.20,2,0.779661,0.814236,0.754717
0.20,3,0.813559,0.885417,0.784314
0.20,4,0.932203,0.965278,0.923077
0.30,0,0.830508,0.890046,0.807692
0.30,1,0.864407,0.912616,0.857143
0.30,2,0.745763,0.829861,0.716981
0.30,3,0.813559,0.899306,0.775510
0.30,4,0.864407,0.934028,0.840000
0.40,0,0.847458,0.890046,0.830189
0.40,1,0.864407,0.941551,0.851852
0.40,2,0.762712,0.820602,0.750000
0.40,3,0.796610,0.877315,0.760000
0.40,4,0.847458,0.959491,0.816327
0.50,0,0.796610,0.895833,0.769231
0.50,1,0.847458,0.921296,0.823529
0.50,2,0.762712,0.821181,0.730769
0.50,3,0.813559,0.877315,0.775510
0.50,4,0.898305,0.956019,0.880000
0.60,0,0.796610,0.881944,0.769231
0.60,1,0.847458,0.920139,0.836364
0.60,2,0.762712,0.841435,0.740741
0.60,3,0.796610,0.888889,0.760000
0.60,4,0.898305,0.956019,0.884615
0.70,0,0.813559,0.872685,0.792453
0.70,1,0.813559,0.925926,0.800000
0.70,2,0.779661,0.853009,0.754717
0.70,3,0.813559,0.885417,0.775510
0.70,4,0.864407,0.960648,0.833333
0.80,0,0.796610,0.888889,0.760000
0.80,1,0.881356,0.947917,0.862745
0.80,2,0.745763,0.824074,0.705882
0.80,3,0.779661,0.880787,0.734694
0.80,4,0.796610,0.873843,0.760000
0.90,0,0.813559,0.876157,0.784314
0.90,1,0.898305,0.951389,0.888889
0.90,2,0.830508,0.869213,0.821429
0.90,3,0.762712,0.898148,0.708333
0.90,4,0.813559,0.894676,0.744186
