split_id,n_trees,accuracy,auc_roc,f1
0,1,0.813559,0.836806,0.755556
0,2,0.830508,0.836806,0.800000
0,3,0.830508,0.840278,0.807692
0,4,0.830508,0.846065,0.807692
0,5,0.830508,0.852431,0.807692
0,6,0.830508,0.858218,0.807692
0,7,0.830508,0.858218,0.807692
0,8,0.830508,0.872106,0.807692
0,9,0.830508,0.878472,0.807692
0,10,0.830508,0.878472,0.807692
0,11,0.830508,0.878472,0.807692
0,12,0.830508,0.879630,0.807692
0,13,0.830508,0.880787,0.807692
0,14,0.830508,0.878472,0.807692
0,15,0.813559,0.879630,0.792453
1,1,0.728814,0.898148,0.578947
1,2,0.728814,0.862269,0.666667
1,3,0.796610,0.893519,0.769231
1,4,0.847458,0.908565,0.830189
1,5,0.830508,0.915509,0.807692
1,6,0.830508,0.914352,0.807692
1,7,0.847458,0.907407,0.830189
1,8,0.847458,0.906250,0.830189
1,9,0.830508,0.902778,0.807692
1,10,0.813559,0.900463,0.784314
1,11,0.813559,0.899306,0.784314
1,12,0.830508,0.895255,0.807692
1,13,0.830508,0.892940,0.807692
1,14,0.813559,0.889468,0.792453
1,15,0.830508,0.891782,0.814815
2,1,0.728814,0.739583,0.636364
2,2,0.728814,0.739583,0.636364
2,3,0.711864,0.759259,0.679245
2,4,0.677966,0.751157,0.627451
2,5,0.745763,0.784722,0.716981
2,6,0.745763,0.782407,0.693878
2,7,0.745763,0.785301,0.727273
2,8,0.728814,0.787616,0.703704
2,9,0.762712,0.789931,0.730769
2,10,0.762712,0.799769,0.730769
2,11,0.728814,0.793981,0.703704
2,12,0.728814,0.784144,0.703704
2,13,0.728814,0.785301,0.703704
2,14,0.745763,0.794560,0.727273
2,15,0.728814,0.784722,0.703704
3,1,0.711864,0.814815,0.622222
3,2,0.779661,0.836227,0.734694
3,3,0.796610,0.835069,0.760000
3,4,0.813559,0.841435,0.775510
3,5,0.813559,0.846644,0.775510
3,6,0.796610,0.896412,0.750000
3,7,0.796610,0.892361,0.750000
3,8,0.796610,0.891204,0.750000
3,9,0.813559,0.892940,0.775510
3,10,0.830508,0.891782,0.791667
3,11,0.813559,0.890046,0.765957
3,12,0.796610,0.891782,0.750000
3,13,0.796610,0.891782,0.750000
3,14,0.779661,0.891204,0.734694
3,15,0.796610,0.891204,0.750000
4,1,0.694915,0.762153,0.500000
4,2,0.728814,0.771412,0.666667
4,3,0.762712,0.827546,0.695652
4,4,0.779661,0.891782,0.711111
4,5,0.813559,0.932870,0.755556
4,6,0.847458,0.928819,0.800000
4,7,0.813559,0.926505,0.765957
4,8,0.864407,0.940972,0.833333
4,9,0.881356,0.942130,0.862745
4,10,0.881356,0.945602,0.857143
4,11,0.881356,0.944444,0.857143
4,12,0.915254,0.952546,0.901961
4,13,0.932203,0.953704,0.920000
4,14,0.915254,0.950231,0.897959
4,15,0.915254,0.951389,0.897959
