split_id,n_trees,accuracy,auc_roc,f1
0,1,0.711864,0.714120,0.701754
0,2,0.762712,0.782986,0.681818
0,3,0.711864,0.782986,0.701754
0,4,0.796610,0.825231,0.769231
0,5,0.830508,0.836806,0.814815
0,6,0.796610,0.825231,0.769231
0,7,0.830508,0.836806,0.814815
0,8,0.830508,0.836806,0.814815
0,9,0.830508,0.841435,0.814815
0,10,0.796610,0.837963,0.777778
0,11,0.830508,0.848380,0.814815
0,12,0.830508,0.841435,0.814815
0,13,0.830508,0.866319,0.814815
0,14,0.830508,0.858218,0.814815
0,15,0.830508,0.848958,0.814815
1,1,0.542373,0.745370,0.000000
1,2,0.728814,0.853588,0.652174
1,3,0.881356,0.924190,0.872727
1,4,0.830508,0.921875,0.807692
1,5,0.881356,0.924190,0.872727
1,6,0.881356,0.924190,0.872727
1,7,0.881356,0.924190,0.872727
1,8,0.881356,0.920718,0.872727
1,9,0.881356,0.927662,0.872727
1,10,0.881356,0.940972,0.872727
1,11,0.898305,0.921296,0.888889
1,12,0.898305,0.927083,0.888889
1,13,0.881356,0.925926,0.872727
1,14,0.881356,0.938657,0.872727
1,15,0.881356,0.936343,0.872727
2,1,0.661017,0.655671,0.615385
2,2,0.745763,0.736690,0.680851
2,3,0.661017,0.736690,0.615385
2,4,0.745763,0.780671,0.680851
2,5,0.813559,0.809606,0.792453
2,6,0.745763,0.791088,0.693878
2,7,0.813559,0.798032,0.792453
2,8,0.745763,0.791088,0.693878
2,9,0.813559,0.800347,0.792453
2,10,0.779661,0.788773,0.763636
2,11,0.813559,0.798032,0.792453
2,12,0.813559,0.798032,0.792453
2,13,0.813559,0.798032,0.792453
2,14,0.813559,0.804977,0.792453
2,15,0.813559,0.815394,0.792453
3,1,0.745763,0.739583,0.705882
3,2,0.711864,0.806713,0.564103
3,3,0.779661,0.859954,0.723404
3,4,0.779661,0.849537,0.723404
3,5,0.830508,0.859954,0.800000
3,6,0.830508,0.859954,0.800000
3,7,0.830508,0.859954,0.800000
3,8,0.830508,0.859954,0.800000
3,9,0.830508,0.866898,0.800000
3,10,0.813559,0.864583,0.765957
3,11,0.830508,0.873843,0.800000
3,12,0.813559,0.866898,0.775510
3,13,0.830508,0.864583,0.800000
3,14,0.813559,0.864583,0.775510
3,15,0.830508,0.869792,0.791667
4,1,0.762712,0.758102,0.730769
4,2,0.762712,0.758102,0.730769
4,3,0.762712,0.887731,0.730769
4,4,0.847458,0.925347,0.808511
4,5,0.762712,0.925347,0.730769
4,6,0.847458,0.925347,0.808511
4,7,0.864407,0.933449,0.840000
4,8,0.864407,0.949653,0.840000
4,9,0.898305,0.954282,0.880000
4,10,0.864407,0.953125,0.840000
4,11,0.898305,0.955440,0.880000
4,12,0.881356,0.956597,0.862745
4,13,0.881356,0.951968,0.862745
4,14,0.881356,0.956597,0.862745
4,15,0.881356,0.964699,0.862745
