index,set
6,train
83,train
160,train
221,train
270,train
137,train
52,train
179,train
109,train
117,train
32,train
66,train
40,train
233,train
38,train
122,train
118,train
112,train
189,train
225,train
285,train
187,train
289,train
154,train
135,train
24,train
22,train
282,train
31,train
23,train
280,train
71,train
74,train
211,train
243,train
73,train
234,train
245,train
288,train
232,train
152,train
208,train
170,train
60,train
55,train
108,train
126,train
12,train
261,train
226,train
276,train
37,train
76,train
120,train
291,train
105,train
278,train
281,train
256,train
203,train
263,train
228,train
65,train
178,train
248,train
153,train
210,train
110,train
142,train
186,train
190,train
45,train
206,train
57,train
56,train
68,train
9,train
266,train
196,train
157,train
242,train
172,train
96,train
29,train
192,train
64,train
1,train
185,train
44,train
166,train
125,train
90,train
62,train
258,train
79,train
140,train
72,train
94,train
295,train
292,train
268,train
16,train
293,train
69,train
2,train
36,train
244,train
119,train
8,train
182,train
272,train
180,train
27,train
150,train
88,train
207,train
133,train
290,train
127,train
163,train
255,train
216,train
252,train
238,train
50,train
254,train
158,train
116,train
128,train
4,train
191,train
171,train
214,train
236,train
39,train
169,train
80,train
141,train
205,train
21,train
200,train
279,train
78,train
217,train
213,train
241,train
195,train
35,train
235,train
265,train
14,train
93,train
63,train
253,train
250,train
197,train
3,train
199,train
15,train
159,train
53,train
148,train
194,train
58,train
51,train
84,train
30,train
147,train
201,train
102,train
86,train
275,train
98,train
167,train
19,train
111,train
42,train
271,train
26,train
286,train
177,train
267,train
260,train
70,train
82,train
146,train
251,train
48,train
284,train
227,train
121,train
25,train
46,train
162,train
17,train
59,train
33,train
222,train
87,train
151,train
193,train
246,train
49,train
283,train
239,train
100,train
277,train
212,train
131,train
231,train
218,train
237,train
104,train
269,train
11,train
61,train
81,train
0,train
41,train
273,train
134,train
149,train
161,train
10,train
143,train
28,train
215,train
101,train
219,train
132,train
67,train
5,train
91,train
183,train
139,train
43,train
85,train
114,train
155,test
54,test
264,test
47,test
103,test
145,test
173,test
175,test
113,test
240,test
107,test
296,test
136,test
95,test
204,test
123,test
287,test
156,test
220,test
168,test
274,test
144,test
229,test
262,test
294,test
202,test
106,test
164,test
92,test
247,test
77,test
89,test
259,test
209,test
18,test
75,test
174,test
138,test
20,test
99,test
257,test
165,test
198,test
97,test
130,test
176,test
124,test
115,test
181,test
129,test
188,test
34,test
13,test
184,test
7,test
224,test
230,test
249,test
223,test
