split_id,tree,depth,direction,message_type,bytes,count
0,0,0,ClientToShareholder,CommittedStatsShare,194208,714
0,0,0,ShareholderToAggregator,Share,480,2
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,AggregatorBroadcast,BinConfiguration,28560,238
0,0,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,0,0,ShareholderToAggregator,Share,5440,2
0,0,0,AggregatorBroadcast,SplitDecision,19040,238
0,1,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,1,0,ShareholderToAggregator,Share,5440,2
0,1,0,AggregatorBroadcast,SplitDecision,19040,238
0,2,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,2,0,ShareholderToAggregator,Share,5440,2
0,2,0,AggregatorBroadcast,SplitDecision,19040,238
0,3,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,3,0,ShareholderToAggregator,Share,5440,2
0,3,0,AggregatorBroadcast,SplitDecision,19040,238
0,4,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,4,0,ShareholderToAggregator,Share,5440,2
0,4,0,AggregatorBroadcast,SplitDecision,19040,238
0,5,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,5,0,ShareholderToAggregator,Share,5440,2
0,5,0,AggregatorBroadcast,SplitDecision,19040,238
0,6,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,6,0,ShareholderToAggregator,Share,5440,2
0,6,0,AggregatorBroadcast,SplitDecision,19040,238
0,7,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,7,0,ShareholderToAggregator,Share,5440,2
0,7,0,AggregatorBroadcast,SplitDecision,19040,238
0,8,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,8,0,ShareholderToAggregator,Share,5440,2
0,8,0,AggregatorBroadcast,SplitDecision,19040,238
0,9,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,9,0,ShareholderToAggregator,Share,5440,2
0,9,0,AggregatorBroadcast,SplitDecision,19040,238
0,10,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,10,0,ShareholderToAggregator,Share,5440,2
0,10,0,AggregatorBroadcast,SplitDecision,19040,238
0,11,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,11,0,ShareholderToAggregator,Share,5440,2
0,11,0,AggregatorBroadcast,SplitDecision,19040,238
0,12,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,12,0,ShareholderToAggregator,Share,5440,2
0,12,0,AggregatorBroadcast,SplitDecision,19040,238
0,13,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,13,0,ShareholderToAggregator,Share,5440,2
0,13,0,AggregatorBroadcast,SplitDecision,19040,238
0,14,0,ClientToShareholder,CommittedGradientShare,1982064,714
0,14,0,ShareholderToAggregator,Share,5440,2
0,14,0,AggregatorBroadcast,SplitDecision,19040,238
1,0,0,ClientToShareholder,CommittedStatsShare,194208,714
1,0,0,ShareholderToAggregator,Share,480,2
1,0,0,AggregatorBroadcast,BinConfiguration,28560,238
