index,set
112,train
140,train
71,train
240,train
226,train
225,train
155,train
36,train
258,train
76,train
280,train
144,train
136,train
142,train
108,train
170,train
160,train
45,train
52,train
285,train
153,train
202,train
23,train
264,train
244,train
211,train
2,train
125,train
95,train
262,train
204,train
83,train
117,train
270,train
268,train
107,train
228,train
94,train
189,train
105,train
281,train
16,train
156,train
57,train
248,train
179,train
118,train
79,train
278,train
69,train
66,train
90,train
31,train
37,train
64,train
72,train
233,train
221,train
243,train
292,train
123,train
182,train
293,train
137,train
119,train
232,train
168,train
122,train
190,train
145,train
60,train
256,train
263,train
54,train
185,train
274,train
208,train
40,train
135,train
296,train
287,train
44,train
65,train
157,train
6,train
113,train
12,train
73,train
47,train
295,train
68,train
126,train
172,train
38,train
276,train
282,train
242,train
109,train
120,train
229,train
288,train
152,train
186,train
173,train
106,train
192,train
1,train
291,train
110,train
154,train
100,train
78,train
265,train
239,train
235,train
124,train
11,train
177,train
246,train
255,train
183,train
260,train
167,train
39,train
80,train
201,train
193,train
93,train
158,train
138,train
34,train
5,train
3,train
43,train
58,train
257,train
164,train
28,train
277,train
133,train
121,train
224,train
49,train
181,train
14,train
86,train
15,train
46,train
19,train
171,train
98,train
251,train
70,train
35,train
222,train
176,train
194,train
21,train
269,train
161,train
51,train
7,train
115,train
53,train
146,train
215,train
200,train
223,train
91,train
42,train
272,train
195,train
218,train
97,train
231,train
259,train
128,train
20,train
247,train
249,train
253,train
217,train
184,train
26,train
284,train
286,train
150,train
84,train
283,train
180,train
27,train
162,train
85,train
238,train
81,train
227,train
4,train
63,train
191,train
131,train
87,train
159,train
50,train
151,train
33,train
279,train
143,train
236,train
0,train
116,train
99,train
230,train
174,train
205,train
209,train
273,train
271,train
254,train
149,train
67,train
139,train
134,train
237,train
102,train
114,train
25,train
141,train
197,train
132,train
59,train
48,train
129,train
250,train
188,train
198,train
101,train
17,train
207,train
166,test
178,test
22,test
8,test
206,test
261,test
294,test
210,test
62,test
175,test
203,test
55,test
74,test
266,test
220,test
245,test
187,test
103,test
9,test
24,test
29,test
196,test
56,test
234,test
32,test
96,test
289,test
169,test
147,test
13,test
163,test
216,test
18,test
252,test
219,test
104,test
199,test
127,test
165,test
214,test
111,test
290,test
267,test
82,test
88,test
61,test
89,test
75,test
92,test
10,test
148,test
41,test
212,test
275,test
130,test
213,test
241,test
30,test
77,test
