split_id,n_trees,accuracy,auc_roc,f1
0,1,0.813559,0.832176,0.755556
0,2,0.830508,0.866898,0.800000
0,3,0.830508,0.881366,0.800000
0,4,0.830508,0.876736,0.800000
0,5,0.830508,0.879051,0.800000
0,6,0.847458,0.880787,0.830189
0,7,0.847458,0.886574,0.830189
0,8,0.813559,0.884838,0.784314
0,9,0.830508,0.887153,0.807692
0,10,0.813559,0.887153,0.792453
0,11,0.847458,0.892361,0.830189
0,12,0.830508,0.891204,0.814815
0,13,0.813559,0.895833,0.792453
0,14,0.847458,0.899306,0.830189
0,15,0.847458,0.894676,0.830189
1,1,0.745763,0.890625,0.615385
1,2,0.830508,0.890625,0.791667
1,3,0.813559,0.898148,0.784314
1,4,0.813559,0.901620,0.784314
1,5,0.847458,0.918403,0.823529
1,6,0.830508,0.919560,0.807692
1,7,0.830508,0.927662,0.807692
1,8,0.847458,0.923032,0.830189
1,9,0.847458,0.919560,0.830189
1,10,0.847458,0.913773,0.830189
1,11,0.864407,0.914931,0.851852
1,12,0.847458,0.917245,0.830189
1,13,0.830508,0.913773,0.807692
1,14,0.847458,0.915509,0.830189
1,15,0.830508,0.915509,0.807692
2,1,0.728814,0.754630,0.619048
2,2,0.796610,0.771412,0.739130
2,3,0.745763,0.794560,0.693878
2,4,0.728814,0.811921,0.680000
2,5,0.728814,0.806713,0.680000
2,6,0.694915,0.813079,0.653846
2,7,0.728814,0.798032,0.680000
2,8,0.728814,0.804977,0.692308
2,9,0.711864,0.808449,0.690909
2,10,0.711864,0.804977,0.679245
2,11,0.711864,0.808449,0.679245
2,12,0.711864,0.799190,0.679245
2,13,0.728814,0.800347,0.692308
2,14,0.694915,0.806134,0.666667
2,15,0.728814,0.810185,0.703704
3,1,0.796610,0.838542,0.739130
3,2,0.813559,0.856481,0.775510
3,3,0.830508,0.873264,0.800000
3,4,0.830508,0.876736,0.800000
3,5,0.796610,0.876736,0.760000
3,6,0.830508,0.878472,0.800000
3,7,0.830508,0.872685,0.800000
3,8,0.830508,0.888310,0.800000
3,9,0.830508,0.906250,0.800000
3,10,0.830508,0.901620,0.800000
3,11,0.813559,0.907407,0.784314
3,12,0.830508,0.910880,0.807692
3,13,0.796610,0.906250,0.769231
3,14,0.813559,0.905671,0.784314
3,15,0.830508,0.905671,0.807692
4,1,0.694915,0.786458,0.500000
4,2,0.728814,0.798611,0.652174
4,3,0.745763,0.822338,0.666667
4,4,0.779661,0.855324,0.711111
4,5,0.813559,0.890625,0.765957
4,6,0.847458,0.914352,0.816327
4,7,0.864407,0.934028,0.833333
4,8,0.881356,0.945602,0.851064
4,9,0.915254,0.964120,0.897959
4,10,0.881356,0.956019,0.862745
4,11,0.864407,0.950231,0.840000
4,12,0.864407,0.952546,0.840000
4,13,0.898305,0.954861,0.875000
4,14,0.881356,0.954861,0.857143
4,15,0.881356,0.953704,0.857143
