split_id,method,n_trees,accuracy,auc_roc,f1
0,xgb_matched,1,0.813559,0.836806,0.755556
0,xgb_matched,2,0.830508,0.836806,0.800000
0,xgb_matched,3,0.830508,0.847222,0.807692
0,xgb_matched,4,0.830508,0.847222,0.807692
0,xgb_matched,5,0.830508,0.846065,0.807692
0,xgb_matched,6,0.830508,0.861690,0.807692
0,xgb_matched,7,0.830508,0.865162,0.807692
0,xgb_matched,8,0.830508,0.862847,0.807692
0,xgb_matched,9,0.830508,0.866319,0.807692
0,xgb_matched,10,0.830508,0.879630,0.807692
0,xgb_matched,11,0.813559,0.883102,0.784314
0,xgb_matched,12,0.813559,0.883102,0.784314
0,xgb_matched,13,0.813559,0.880208,0.784314
0,xgb_matched,14,0.830508,0.882523,0.807692
0,xgb_matched,15,0.813559,0.875579,0.784314
0,xgb_default,1,0.830508,0.847222,0.807692
0,xgb_default,2,0.830508,0.871528,0.814815
0,xgb_default,3,0.813559,0.868634,0.800000
0,xgb_default,4,0.830508,0.870370,0.814815
0,xgb_default,5,0.830508,0.869213,0.814815
0,xgb_default,6,0.830508,0.871528,0.814815
0,xgb_default,7,0.813559,0.875000,0.800000
0,xgb_default,8,0.813559,0.866898,0.800000
0,xgb_default,9,0.830508,0.869213,0.814815
0,xgb_default,10,0.830508,0.870370,0.814815
0,xgb_default,11,0.830508,0.872685,0.814815
0,xgb_default,12,0.830508,0.870370,0.814815
0,xgb_default,13,0.830508,0.868056,0.814815
0,xgb_default,14,0.830508,0.865741,0.814815
0,xgb_default,15,0.830508,0.863426,0.814815
1,xgb_matched,1,0.728814,0.898148,0.578947
1,xgb_matched,2,0.728814,0.867477,0.666667
1,xgb_matched,3,0.830508,0.877894,0.814815
1,xgb_matched,4,0.830508,0.902778,0.807692
1,xgb_matched,5,0.864407,0.921296,0.851852
1,xgb_matched,6,0.864407,0.915509,0.851852
1,xgb_matched,7,0.864407,0.917824,0.851852
1,xgb_matched,8,0.864407,0.910880,0.851852
1,xgb_matched,9,0.864407,0.910301,0.851852
1,xgb_matched,10,0.847458,0.905671,0.836364
1,xgb_matched,11,0.796610,0.905671,0.769231
1,xgb_matched,12,0.830508,0.905671,0.814815
1,xgb_matched,13,0.813559,0.902199,0.792453
1,xgb_matched,14,0.796610,0.904514,0.769231
1,xgb_matched,15,0.813559,0.901042,0.792453
1,xgb_default,1,0.796610,0.880787,0.760000
1,xgb_default,2,0.745763,0.889468,0.716981
1,xgb_default,3,0.830508,0.898727,0.814815
1,xgb_default,4,0.847458,0.914931,0.830189
1,xgb_default,5,0.830508,0.909144,0.807692
1,xgb_default,6,0.813559,0.902199,0.792453
1,xgb_default,7,0.813559,0.885995,0.792453
1,xgb_default,8,0.813559,0.895833,0.784314
1,xgb_default,9,0.813559,0.890046,0.784314
1,xgb_default,10,0.813559,0.892361,0.792453
1,xgb_default,11,0.830508,0.893519,0.807692
1,xgb_default,12,0.847458,0.906250,0.830189
1,xgb_default,13,0.864407,0.912037,0.840000
1,xgb_default,14,0.847458,0.912037,0.816327
1,xgb_default,15,0.847458,0.910880,0.816327
2,xgb_matched,1,0.728814,0.739583,0.636364
2,xgb_matched,2,0.728814,0.745370,0.636364
2,xgb_matched,3,0.711864,0.743056,0.679245
2,xgb_matched,4,0.677966,0.734954,0.627451
2,xgb_matched,5,0.779661,0.784144,0.745098
2,xgb_matched,6,0.745763,0.784722,0.693878
2,xgb_matched,7,0.779661,0.791088,0.754717
2,xgb_matched,8,0.762712,0.784144,0.740741
2,xgb_matched,9,0.762712,0.789352,0.740741
2,xgb_matched,10,0.762712,0.787037,0.740741
2,xgb_matched,11,0.762712,0.790509,0.740741
2,xgb_matched,12,0.762712,0.792245,0.740741
2,xgb_matched,13,0.745763,0.788773,0.727273
2,xgb_matched,14,0.728814,0.784722,0.703704
2,xgb_matched,15,0.762712,0.793981,0.750000
2,xgb_default,1,0.694915,0.730324,0.640000
2,xgb_default,2,0.677966,0.725694,0.627451
2,xgb_default,3,0.661017,0.749421,0.666667
2,xgb_default,4,0.694915,0.762731,0.666667
2,xgb_default,5,0.661017,0.755208,0.655172
2,xgb_default,6,0.661017,0.756944,0.655172
2,xgb_default,7,0.694915,0.762153,0.689655
2,xgb_default,8,0.728814,0.763310,0.714286
2,xgb_default,9,0.677966,0.769097,0.677966
2,xgb_default,10,0.728814,0.777778,0.714286
2,xgb_default,11,0.728814,0.774306,0.714286
2,xgb_default,12,0.711864,0.770833,0.690909
2,xgb_default,13,0.728814,0.773148,0.714286
2,xgb_default,14,0.711864,0.771991,0.701754
2,xgb_default,15,0.728814,0.781250,0.724138
3,xgb_matched,1,0.694915,0.804977,0.608696
