split_id,method,accuracy,auc_roc,f1,n_train,n_test,n_features
0,xgb_matched,0.813559,0.875579,0.784314,238,59,13
0,xgb_default,0.830508,0.863426,0.814815,238,59,13
1,xgb_matched,0.813559,0.901042,0.792453,238,59,13
1,xgb_default,0.847458,0.910880,0.816327,238,59,13
2,xgb_matched,0.762712,0.793981,0.750000,238,59,13
2,xgb_default,0.728814,0.781250,0.724138,238,59,13
3,xgb_matched,0.796610,0.883681,0.760000,238,59,13
3,xgb_default,0.830508,0.892361,0.807692,238,59,13
4,xgb_matched,0.898305,0.942708,0.884615,238,59,13
4,xgb_default,0.779661,0.934028,0.745098,238,59,13
