dropout_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.798701,0.884537,0.699029
0.00,1,0.772727,0.826759,0.623656
0.00,2,0.766234,0.813148,0.625000
0.00,3,0.746753,0.856111,0.561798
0.00,4,0.779221,0.822222,0.660000
0.10,0,0.798701,0.884259,0.693069
0.10,1,0.753247,0.823889,0.568182
0.10,2,0.759740,0.807407,0.626263
0.10,3,0.759740,0.858519,0.584270
0.10,4,0.766234,0.829815,0.632653
0.20,0,0.818182,0.874815,0.730769
0.20,1,0.766234,0.824074,0.590909
0.20,2,0.759740,0.806389,0.610526
0.20,3,0.753247,0.864722,0.595745
0.20,4,0.798701,0.833704,0.680412
0.30,0,0.792208,0.879444,0.680000
0.30,1,0.746753,0.809259,0.580645
0.30,2,0.753247,0.805926,0.595745
0.30,3,0.779221,0.869815,0.653061
0.30,4,0.766234,0.822500,0.608696
0.40,0,0.779221,0.873611,0.666667
0.40,1,0.746753,0.812870,0.561798
0.40,2,0.746753,0.807315,0.597938
0.40,3,0.733766,0.855556,0.568421
0.40,4,0.766234,0.836204,0.625000
0.50,0,0.772727,0.880648,0.653465
0.50,1,0.740260,0.802778,0.534884
0.50,2,0.759740,0.802593,0.618557
0.50,3,0.785714,0.876296,0.659794
0.50,4,0.785714,0.831481,0.659794
0.60,0,0.798701,0.885185,0.680412
0.60,1,0.733766,0.824630,0.517647
0.60,2,0.759740,0.825278,0.602151
0.60,3,0.759740,0.868704,0.618557
0.60,4,0.785714,0.831759,0.652632
0.70,0,0.792208,0.865741,0.673469
0.70,1,0.733766,0.821574,0.517647
0.70,2,0.733766,0.793981,0.577320
0.70,3,0.746753,0.864815,0.589474
0.70,4,0.779221,0.839259,0.638298
0.80,0,0.779221,0.856296,0.660000
0.80,1,0.740260,0.810370,0.555556
0.80,2,0.746753,0.809537,0.606061
0.80,3,0.733766,0.837778,0.601942
0.80,4,0.792208,0.830093,0.652174
0.90,0,0.785714,0.878519,0.629213
0.90,1,0.759740,0.821389,0.574713
0.90,2,0.733766,0.787130,0.577320
0.90,3,0.759740,0.859537,0.593407
0.90,4,0.740260,0.815833,0.512195
