index,set
743,train
114,train
301,train
238,train
109,train
561,train
370,train
309,train
125,train
266,train
111,train
612,train
120,train
445,train
11,train
425,train
740,train
293,train
606,train
712,train
378,train
683,train
766,train
66,train
110,train
661,train
23,train
61,train
394,train
276,train
259,train
287,train
468,train
164,train
218,train
349,train
177,train
709,train
270,train
584,train
159,train
387,train
739,train
722,train
748,train
303,train
577,train
219,train
314,train
243,train
417,train
171,train
702,train
598,train
448,train
64,train
539,train
719,train
730,train
664,train
88,train
506,train
356,train
359,train
170,train
209,train
611,train
317,train
484,train
284,train
369,train
663,train
485,train
332,train
188,train
586,train
523,train
124,train
444,train
0,train
516,train
130,train
646,train
70,train
480,train
280,train
198,train
604,train
312,train
84,train
676,train
24,train
414,train
635,train
588,train
375,train
195,train
409,train
757,train
515,train
595,train
175,train
291,train
339,train
230,train
540,train
25,train
708,train
424,train
648,train
6,train
761,train
388,train
8,train
408,train
231,train
322,train
26,train
732,train
545,train
415,train
399,train
655,train
143,train
753,train
269,train
48,train
17,train
179,train
451,train
696,train
455,train
338,train
642,train
618,train
197,train
638,train
221,train
292,train
691,train
406,train
16,train
360,train
19,train
39,train
363,train
4,train
206,train
659,train
15,train
132,train
321,train
78,train
328,train
689,train
129,train
216,train
746,train
227,train
72,train
254,train
213,train
255,train
592,train
675,train
619,train
192,train
306,train
397,train
666,train
220,train
755,train
630,train
667,train
9,train
14,train
155,train
402,train
100,train
498,train
435,train
319,train
242,train
53,train
443,train
214,train
493,train
366,train
357,train
38,train
400,train
154,train
152,train
43,train
695,train
580,train
458,train
590,train
199,train
754,train
187,train
510,train
165,train
386,train
296,train
116,train
440,train
323,train
37,train
678,train
429,train
93,train
128,train
614,train
724,train
442,train
720,train
472,train
680,train
268,train
697,train
250,train
474,train
208,train
509,train
605,train
3,train
573,train
623,train
346,train
107,train
538,train
85,train
453,train
450,train
487,train
553,train
275,train
65,train
760,train
572,train
641,train
629,train
211,train
615,train
342,train
583,train
607,train
441,train
335,train
205,train
733,train
42,train
481,train
390,train
96,train
104,train
494,train
316,train
55,train
636,train
273,train
649,train
564,train
102,train
183,train
258,train
501,train
744,train
591,train
525,train
297,train
465,train
392,train
279,train
50,train
660,train
358,train
228,train
492,train
60,train
229,train
446,train
201,train
226,train
565,train
166,train
156,train
426,train
411,train
79,train
142,train
617,train
512,train
413,train
634,train
407,train
700,train
194,train
260,train
108,train
489,train
350,train
600,train
77,train
758,train
217,train
21,train
575,train
478,train
657,train
145,train
334,train
118,train
180,train
289,train
52,train
447,train
670,train
713,train
380,train
524,train
587,train
1,train
639,train
679,train
181,train
325,train
315,train
654,train
477,train
149,train
677,train
320,train
682,train
471,train
278,train
76,train
151,train
621,train
395,train
735,train
343,train
729,train
462,train
138,train
141,train
602,train
685,train
204,train
144,train
496,train
497,train
469,train
224,train
428,train
438,train
668,train
97,train
581,train
256,train
281,train
710,train
202,train
504,train
12,train
475,train
167,train
333,train
616,train
582,train
452,train
684,train
721,train
51,train
90,train
157,train
728,train
241,train
137,train
29,train
310,train
248,train
490,train
327,train
324,train
752,train
544,train
420,train
27,train
521,train
554,train
403,train
499,train
483,train
271,train
747,train
127,train
282,train
83,train
401,train
571,train
69,train
54,train
267,train
184,train
341,train
764,train
751,train
103,train
488,train
533,train
737,train
225,train
251,train
543,train
531,train
547,train
348,train
530,train
594,train
624,train
470,train
133,train
658,train
665,train
345,train
562,train
457,train
190,train
491,train
135,train
432,train
513,train
134,train
559,train
711,train
626,train
555,train
63,train
91,train
126,train
34,train
556,train
534,train
30,train
191,train
153,train
329,train
95,train
549,train
723,train
313,train
522,train
527,train
574,train
436,train
674,train
461,train
239,train
558,train
105,train
147,train
252,train
233,train
210,train
367,train
265,train
714,train
59,train
158,train
479,train
41,train
352,train
168,train
277,train
767,train
212,train
526,train
68,train
336,train
160,train
285,train
437,train
466,train
645,train
557,train
371,train
182,train
398,train
597,train
117,train
305,train
299,train
552,train
377,train
705,train
718,train
87,train
669,train
422,train
318,train
633,train
33,train
7,train
362,train
532,train
161,train
381,train
372,train
353,train
172,train
620,train
650,train
454,train
262,train
80,train
463,train
365,train
433,train
263,train
507,train
196,train
223,train
431,train
148,train
32,train
384,train
578,train
656,train
40,train
528,train
81,train
364,train
508,train
631,train
548,train
613,train
379,train
119,train
249,train
330,train
295,train
763,train
234,train
625,train
376,train
112,train
246,train
178,train
511,train
385,train
756,train
632,train
434,train
49,train
169,train
302,train
163,train
593,train
82,train
146,train
567,train
89,train
423,train
704,train
98,train
294,train
150,train
529,train
725,train
405,train
20,train
698,train
738,train
106,train
517,train
344,train
520,train
622,train
75,train
637,train
