split_id,n_trees,accuracy,auc_roc,f1
0,1,0.649351,0.775741,0.000000
0,2,0.649351,0.815648,0.000000
0,3,0.649351,0.827685,0.000000
0,4,0.753247,0.850370,0.500000
0,5,0.792208,0.844259,0.644444
0,6,0.779221,0.860463,0.630435
0,7,0.779221,0.858148,0.630435
0,8,0.785714,0.864167,0.645161
0,9,0.805195,0.866111,0.687500
0,10,0.805195,0.862778,0.687500
0,11,0.811688,0.867037,0.701031
0,12,0.811688,0.865741,0.701031
0,13,0.805195,0.873148,0.693878
0,14,0.798701,0.874630,0.686869
0,15,0.798701,0.873889,0.680412
1,1,0.649351,0.758981,0.000000
1,2,0.649351,0.757500,0.000000
1,3,0.707792,0.790833,0.285714
1,4,0.727273,0.793611,0.461538
1,5,0.727273,0.801759,0.533333
1,6,0.727273,0.803426,0.533333
1,7,0.727273,0.809815,0.533333
1,8,0.727273,0.817315,0.533333
1,9,0.727273,0.815185,0.533333
1,10,0.727273,0.820185,0.533333
1,11,0.727273,0.817222,0.533333
1,12,0.733766,0.820648,0.517647
1,13,0.733766,0.821481,0.517647
1,14,0.733766,0.823889,0.528736
1,15,0.733766,0.822037,0.528736
2,1,0.649351,0.760463,0.000000
2,2,0.649351,0.784074,0.000000
2,3,0.688312,0.792593,0.250000
2,4,0.701299,0.805463,0.378378
2,5,0.701299,0.790741,0.410256
2,6,0.707792,0.795463,0.430380
2,7,0.707792,0.794074,0.430380
2,8,0.714286,0.798704,0.450000
2,9,0.740260,0.803704,0.534884
2,10,0.746753,0.803889,0.551724
2,11,0.740260,0.804259,0.534884
2,12,0.746753,0.802778,0.551724
2,13,0.746753,0.805185,0.551724
2,14,0.746753,0.801759,0.580645
2,15,0.746753,0.800741,0.580645
3,1,0.649351,0.768148,0.000000
3,2,0.649351,0.803889,0.000000
3,3,0.701299,0.838148,0.281250
3,4,0.701299,0.835926,0.303030
3,5,0.701299,0.830926,0.303030
3,6,0.701299,0.832778,0.303030
3,7,0.746753,0.850833,0.480000
3,8,0.759740,0.855741,0.519481
3,9,0.759740,0.868241,0.519481
3,10,0.759740,0.863611,0.554217
3,11,0.766234,0.863056,0.581395
3,12,0.759740,0.866667,0.574713
3,13,0.779221,0.867963,0.622222
3,14,0.785714,0.863889,0.637363
3,15,0.779221,0.864815,0.622222
4,1,0.649351,0.721852,0.000000
4,2,0.649351,0.741204,0.000000
4,3,0.649351,0.760648,0.000000
4,4,0.746753,0.780000,0.465753
4,5,0.733766,0.778704,0.453333
4,6,0.759740,0.784259,0.531646
4,7,0.753247,0.800648,0.512821
4,8,0.759740,0.797500,0.531646
4,9,0.746753,0.805370,0.518519
4,10,0.772727,0.811296,0.597701
4,11,0.766234,0.822222,0.608696
4,12,0.759740,0.822778,0.602151
4,13,0.766234,0.824259,0.617021
4,14,0.766234,0.825000,0.625000
4,15,0.766234,0.826296,0.625000
