dropout_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.798701,0.884537,0.699029
0.00,1,0.772727,0.826759,0.623656
0.00,2,0.766234,0.813148,0.625000
0.00,3,0.746753,0.856111,0.561798
0.00,4,0.779221,0.822222,0.660000
0.10,0,0.798701,0.884259,0.693069
0.10,1,0.753247,0.823889,0.568182
0.10,2,0.759740,0.807407,0.626263
0.10,3,0.759740,0.858333,0.584270
0.10,4,0.766234,0.829815,0.632653
0.20,0,0.818182,0.875185,0.730769
0.20,1,0.766234,0.824259,0.590909
0.20,2,0.759740,0.806389,0.610526
0.20,3,0.753247,0.864722,0.595745
0.20,4,0.798701,0.833704,0.680412
0.30,0,0.792208,0.879444,0.680000
0.30,1,0.740260,0.809074,0.565217
0.30,2,0.759740,0.805185,0.610526
0.30,3,0.779221,0.869815,0.653061
0.30,4,0.766234,0.822500,0.608696
0.40,0,0.779221,0.873611,0.666667
0.40,1,0.746753,0.812870,0.561798
0.40,2,0.740260,0.808056,0.583333
0.40,3,0.740260,0.858148,0.583333
0.40,4,0.766234,0.836204,0.625000
0.50,0,0.772727,0.880833,0.653465
0.50,1,0.740260,0.802778,0.534884
0.50,2,0.753247,0.802593,0.604167
0.50,3,0.785714,0.876296,0.659794
0.50,4,0.785714,0.831667,0.659794
0.60,0,0.798701,0.887500,0.680412
0.60,1,0.727273,0.819722,0.500000
0.60,2,0.759740,0.823981,0.602151
0.60,3,0.759740,0.869630,0.618557
0.60,4,0.792208,0.836944,0.666667
0.70,0,0.805195,0.871667,0.693878
0.70,1,0.733766,0.821204,0.517647
0.70,2,0.746753,0.795556,0.580645
0.70,3,0.740260,0.866667,0.574468
0.70,4,0.779221,0.840000,0.638298
0.80,0,0.798701,0.855000,0.699029
0.80,1,0.740260,0.810926,0.555556
0.80,2,0.746753,0.809167,0.606061
0.80,3,0.733766,0.834444,0.601942
0.80,4,0.792208,0.829815,0.659574
0.90,0,0.766234,0.890370,0.560976
0.90,1,0.720779,0.796019,0.505747
0.90,2,0.707792,0.789352,0.516129
0.90,3,0.746753,0.865648,0.541176
0.90,4,0.759740,0.811574,0.574713
