split_id,n_trees,accuracy,auc_roc,f1
0,1,0.649351,0.802407,0.000000
0,2,0.649351,0.848333,0.000000
0,3,0.746753,0.853704,0.530120
0,4,0.746753,0.852037,0.530120
0,5,0.753247,0.866574,0.547619
0,6,0.798701,0.869722,0.659341
0,7,0.798701,0.867407,0.659341
0,8,0.805195,0.871204,0.680851
0,9,0.798701,0.875926,0.673684
0,10,0.805195,0.875000,0.693878
0,11,0.798701,0.875556,0.693069
0,12,0.798701,0.880741,0.693069
0,13,0.798701,0.886019,0.693069
0,14,0.798701,0.885093,0.699029
0,15,0.798701,0.884537,0.699029
1,1,0.649351,0.788333,0.000000
1,2,0.649351,0.803796,0.000000
1,3,0.668831,0.808426,0.163934
1,4,0.733766,0.809815,0.493827
1,5,0.740260,0.814444,0.545455
1,6,0.740260,0.813611,0.545455
1,7,0.733766,0.820556,0.539326
1,8,0.740260,0.819630,0.545455
1,9,0.746753,0.819074,0.561798
1,10,0.753247,0.822685,0.577778
1,11,0.759740,0.817685,0.593407
1,12,0.759740,0.815463,0.593407
1,13,0.759740,0.819352,0.602151
1,14,0.759740,0.822315,0.584270
1,15,0.772727,0.826759,0.623656
2,1,0.649351,0.796389,0.000000
2,2,0.649351,0.799537,0.000000
2,3,0.707792,0.794907,0.444444
2,4,0.733766,0.806111,0.493827
2,5,0.727273,0.810556,0.511628
2,6,0.740260,0.809815,0.545455
2,7,0.746753,0.807407,0.571429
2,8,0.746753,0.802500,0.571429
2,9,0.746753,0.801852,0.571429
2,10,0.746753,0.807407,0.571429
2,11,0.746753,0.805648,0.580645
2,12,0.759740,0.809259,0.610526
2,13,0.759740,0.808704,0.610526
2,14,0.766234,0.811019,0.625000
2,15,0.766234,0.813148,0.625000
3,1,0.649351,0.802315,0.000000
3,2,0.649351,0.823981,0.000000
3,3,0.701299,0.855648,0.281250
3,4,0.701299,0.850648,0.281250
3,5,0.707792,0.846389,0.328358
3,6,0.701299,0.844537,0.323529
3,7,0.720779,0.852500,0.441558
3,8,0.746753,0.858796,0.541176
3,9,0.753247,0.855648,0.558140
3,10,0.753247,0.855463,0.568182
3,11,0.753247,0.860463,0.577778
3,12,0.746753,0.855278,0.561798
3,13,0.746753,0.857130,0.561798
3,14,0.753247,0.854722,0.577778
3,15,0.746753,0.856111,0.561798
4,1,0.649351,0.764259,0.000000
4,2,0.649351,0.799167,0.000000
4,3,0.714286,0.792685,0.312500
4,4,0.740260,0.799537,0.459459
4,5,0.740260,0.801481,0.459459
4,6,0.740260,0.805556,0.473684
4,7,0.759740,0.811389,0.564706
4,8,0.766234,0.810463,0.590909
4,9,0.753247,0.813148,0.586957
4,10,0.772727,0.818241,0.639175
4,11,0.779221,0.818333,0.653061
4,12,0.779221,0.819537,0.653061
4,13,0.779221,0.818796,0.653061
4,14,0.779221,0.822778,0.660000
4,15,0.779221,0.822222,0.660000
