split_id,method,n_trees,accuracy,auc_roc,f1
0,xgb_matched,1,0.649351,0.825463,0.000000
0,xgb_matched,2,0.649351,0.839815,0.000000
0,xgb_matched,3,0.746753,0.866944,0.480000
0,xgb_matched,4,0.746753,0.865463,0.518519
0,xgb_matched,5,0.785714,0.873426,0.629213
0,xgb_matched,6,0.785714,0.876944,0.659794
0,xgb_matched,7,0.785714,0.880556,0.659794
0,xgb_matched,8,0.785714,0.880370,0.659794
0,xgb_matched,9,0.785714,0.875648,0.673267
0,xgb_matched,10,0.779221,0.879167,0.660000
0,xgb_matched,11,0.785714,0.876759,0.673267
0,xgb_matched,12,0.792208,0.877963,0.686275
0,xgb_matched,13,0.785714,0.876111,0.679612
0,xgb_matched,14,0.792208,0.875833,0.692308
0,xgb_matched,15,0.805195,0.879907,0.711538
0,xgb_default,1,0.649351,0.835556,0.000000
0,xgb_default,2,0.759740,0.861944,0.584270
0,xgb_default,3,0.759740,0.870093,0.602151
0,xgb_default,4,0.766234,0.866111,0.632653
0,xgb_default,5,0.766234,0.865370,0.625000
0,xgb_default,6,0.785714,0.868148,0.673267
0,xgb_default,7,0.772727,0.871667,0.646465
0,xgb_default,8,0.772727,0.875741,0.653465
0,xgb_default,9,0.785714,0.870926,0.673267
0,xgb_default,10,0.785714,0.868333,0.673267
0,xgb_default,11,0.759740,0.871111,0.633663
0,xgb_default,12,0.785714,0.874444,0.685714
0,xgb_default,13,0.785714,0.875741,0.685714
0,xgb_default,14,0.779221,0.875370,0.666667
0,xgb_default,15,0.766234,0.870185,0.660377
1,xgb_matched,1,0.649351,0.787315,0.000000
1,xgb_matched,2,0.649351,0.771944,0.000000
1,xgb_matched,3,0.694805,0.789352,0.338028
1,xgb_matched,4,0.694805,0.796389,0.338028
1,xgb_matched,5,0.694805,0.801759,0.338028
1,xgb_matched,6,0.694805,0.800093,0.338028
1,xgb_matched,7,0.720779,0.805463,0.481928
1,xgb_matched,8,0.720779,0.807037,0.481928
1,xgb_matched,9,0.714286,0.808148,0.476190
1,xgb_matched,10,0.714286,0.809630,0.476190
1,xgb_matched,11,0.733766,0.811481,0.528736
1,xgb_matched,12,0.746753,0.807685,0.561798
1,xgb_matched,13,0.733766,0.807407,0.539326
1,xgb_matched,14,0.746753,0.808981,0.571429
1,xgb_matched,15,0.733766,0.807037,0.549451
1,xgb_default,1,0.720779,0.817037,0.358209
1,xgb_default,2,0.746753,0.819537,0.541176
1,xgb_default,3,0.740260,0.824630,0.565217
1,xgb_default,4,0.746753,0.825000,0.580645
1,xgb_default,5,0.753247,0.826759,0.604167
1,xgb_default,6,0.759740,0.828148,0.626263
1,xgb_default,7,0.759740,0.831759,0.626263
1,xgb_default,8,0.772727,0.832222,0.631579
1,xgb_default,9,0.766234,0.825926,0.625000
1,xgb_default,10,0.766234,0.829259,0.625000
1,xgb_default,11,0.759740,0.827593,0.618557
1,xgb_default,12,0.746753,0.828519,0.606061
1,xgb_default,13,0.779221,0.833333,0.645833
1,xgb_default,14,0.785714,0.830556,0.659794
1,xgb_default,15,0.785714,0.831111,0.659794
2,xgb_matched,1,0.649351,0.768519,0.000000
2,xgb_matched,2,0.649351,0.763704,0.000000
2,xgb_matched,3,0.675325,0.783333,0.193548
2,xgb_matched,4,0.701299,0.785556,0.378378
2,xgb_matched,5,0.707792,0.791296,0.400000
2,xgb_matched,6,0.740260,0.790463,0.555556
2,xgb_matched,7,0.740260,0.797685,0.555556
2,xgb_matched,8,0.753247,0.802407,0.568182
2,xgb_matched,9,0.753247,0.801667,0.586957
2,xgb_matched,10,0.753247,0.806111,0.586957
2,xgb_matched,11,0.753247,0.808241,0.595745
2,xgb_matched,12,0.753247,0.811019,0.595745
2,xgb_matched,13,0.753247,0.807593,0.604167
2,xgb_matched,14,0.766234,0.811389,0.625000
2,xgb_matched,15,0.772727,0.815093,0.639175
2,xgb_default,1,0.681818,0.756574,0.268657
2,xgb_default,2,0.701299,0.783333,0.500000
2,xgb_default,3,0.733766,0.799630,0.601942
2,xgb_default,4,0.707792,0.804630,0.587156
2,xgb_default,5,0.714286,0.806389,0.584906
2,xgb_default,6,0.714286,0.807685,0.600000
2,xgb_default,7,0.740260,0.811389,0.636364
2,xgb_default,8,0.746753,0.814074,0.648649
2,xgb_default,9,0.740260,0.812778,0.636364
2,xgb_default,10,0.733766,0.813796,0.637168
2,xgb_default,11,0.733766,0.812500,0.637168
2,xgb_default,12,0.740260,0.811296,0.649123
2,xgb_default,13,0.733766,0.811481,0.643478
2,xgb_default,14,0.740260,0.811481,0.649123
2,xgb_default,15,0.733766,0.806481,0.643478
3,xgb_matched,1,0.649351,0.803148,0.000000
3,xgb_matched,2,0.649351,0.820833,0.000000
3,xgb_matched,3,0.688312,0.839259,0.225806
3,xgb_matched,4,0.694805,0.840741,0.276923
3,xgb_matched,5,0.746753,0.848426,0.506329
3,xgb_matched,6,0.746753,0.846111,0.518519
3,xgb_matched,7,0.746753,0.844630,0.518519
3,xgb_matched,8,0.753247,0.844352,0.558140
3,xgb_matched,9,0.753247,0.847685,0.577778
3,xgb_matched,10,0.753247,0.842500,0.577778
3,xgb_matched,11,0.759740,0.842130,0.584270
3,xgb_matched,12,0.753247,0.840185,0.586957
3,xgb_matched,13,0.759740,0.841944,0.610526
3,xgb_matched,14,0.759740,0.841296,0.602151
3,xgb_matched,15,0.746753,0.841944,0.571429
3,xgb_default,1,0.694805,0.807222,0.253968
3,xgb_default,2,0.727273,0.836574,0.475000
3,xgb_default,3,0.753247,0.851759,0.577778
3,xgb_default,4,0.759740,0.851944,0.593407
3,xgb_default,5,0.746753,0.856296,0.571429
3,xgb_default,6,0.759740,0.849444,0.626263
3,xgb_default,7,0.766234,0.845185,0.640000
3,xgb_default,8,0.759740,0.845741,0.626263
3,xgb_default,9,0.746753,0.849259,0.613861
3,xgb_default,10,0.753247,0.847222,0.627451
3,xgb_default,11,0.753247,0.849444,0.627451
3,xgb_default,12,0.746753,0.847222,0.613861
3,xgb_default,13,0.733766,0.846667,0.594059
3,xgb_default,14,0.759740,0.840370,0.647619
3,xgb_default,15,0.746753,0.833519,0.628571
4,xgb_matched,1,0.649351,0.750463,0.000000
4,xgb_matched,2,0.649351,0.776944,0.000000
4,xgb_matched,3,0.688312,0.782870,0.200000
4,xgb_matched,4,0.707792,0.800278,0.307692
4,xgb_matched,5,0.740260,0.802870,0.512195
4,xgb_matched,6,0.733766,0.802222,0.517647
4,xgb_matched,7,0.733766,0.809259,0.517647
4,xgb_matched,8,0.746753,0.808889,0.551724
4,xgb_matched,9,0.740260,0.810093,0.545455
4,xgb_matched,10,0.727273,0.811667,0.533333
4,xgb_matched,11,0.740260,0.813333,0.555556
4,xgb_matched,12,0.759740,0.816667,0.610526
4,xgb_matched,13,0.759740,0.818148,0.610526
4,xgb_matched,14,0.766234,0.823704,0.632653
4,xgb_matched,15,0.766234,0.830000,0.640000
4,xgb_default,1,0.714286,0.760648,0.371429
4,xgb_default,2,0.714286,0.769352,0.488372
4,xgb_default,3,0.740260,0.783056,0.555556
4,xgb_default,4,0.753247,0.794074,0.604167
4,xgb_default,5,0.759740,0.801944,0.626263
4,xgb_default,6,0.766234,0.802315,0.632653
4,xgb_default,7,0.759740,0.803889,0.633663
4,xgb_default,8,0.766234,0.811944,0.640000
4,xgb_default,9,0.772727,0.816759,0.653465
4,xgb_default,10,0.772727,0.813056,0.660194
4,xgb_default,11,0.759740,0.815278,0.633663
4,xgb_default,12,0.779221,0.818889,0.673077
4,xgb_default,13,0.772727,0.822037,0.653465
4,xgb_default,14,0.766234,0.819444,0.647059
4,xgb_default,15,0.766234,0.818519,0.647059
