split_id,method,accuracy,auc_roc,f1,n_train,n_test,n_features
0,xgb_matched,0.805195,0.879907,0.711538,614,154,8
0,xgb_default,0.766234,0.870185,0.660377,614,154,8
1,xgb_matched,0.733766,0.807037,0.549451,614,154,8
1,xgb_default,0.785714,0.831111,0.659794,614,154,8
2,xgb_matched,0.772727,0.815093,0.639175,614,154,8
2,xgb_default,0.733766,0.806481,0.643478,614,154,8
3,xgb_matched,0.746753,0.841944,0.571429,614,154,8
3,xgb_default,0.746753,0.833519,0.628571,614,154,8
4,xgb_matched,0.766234,0.830000,0.640000,614,154,8
4,xgb_default,0.766234,0.818519,0.647059,614,154,8
