share_loss_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.964602,0.981556,0.972222
0.00,1,0.973451,0.997988,0.979021
0.00,2,0.982301,0.976526,0.986111
0.00,3,0.973451,0.989269,0.978723
0.00,4,0.964602,0.979376,0.972222
0.10,0,0.964602,0.988934,0.972222
0.10,1,0.973451,0.996311,0.979021
0.10,2,0.982301,0.972837,0.986111
0.10,3,0.964602,0.988095,0.971831
0.10,4,0.955752,0.987928,0.965035
0.20,0,0.973451,0.988263,0.979310
0.20,1,0.982301,0.997988,0.986111
0.20,2,0.973451,0.976023,0.979021
0.20,3,0.955752,0.986922,0.965517
0.20,4,0.946903,0.992790,0.958904
0.30,0,0.964602,0.988934,0.972222
0.30,1,0.973451,0.997988,0.979310
0.30,2,0.973451,0.989437,0.979310
0.30,3,0.955752,0.983568,0.965517
0.30,4,0.955752,0.986083,0.965986
0.40,0,0.964602,0.989940,0.972222
0.40,1,0.973451,0.997653,0.979310
0.40,2,0.964602,0.962106,0.972603
0.40,3,0.938053,0.984574,0.951049
0.40,4,0.938053,0.987928,0.953020
0.50,0,0.946903,0.988263,0.958333
0.50,1,0.946903,0.995641,0.957746
0.50,2,0.982301,0.975184,0.986111
0.50,3,0.929204,0.979544,0.944444
0.50,4,0.920354,0.983568,0.939597
