stats_dropout_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.964602,0.981556,0.972222
0.00,1,0.973451,0.997988,0.979021
0.00,2,0.982301,0.976526,0.986111
0.00,3,0.973451,0.989269,0.978723
0.00,4,0.964602,0.979376,0.972222
0.10,0,0.973451,0.986586,0.979310
0.10,1,0.973451,0.995976,0.979021
0.10,2,0.982301,0.975855,0.986111
0.10,3,0.973451,0.983400,0.978723
0.10,4,0.964602,0.988095,0.972222
0.20,0,0.964602,0.989940,0.972222
0.20,1,0.929204,0.991952,0.944444
0.20,2,0.973451,0.973340,0.979310
0.20,3,0.973451,0.989437,0.979021
0.20,4,0.964602,0.979209,0.971831
0.30,0,0.982301,0.980718,0.986111
0.30,1,0.946903,0.994634,0.958333
0.30,2,0.973451,0.976023,0.979021
0.30,3,0.973451,0.983233,0.978723
0.30,4,0.964602,0.992622,0.971831
0.40,0,0.964602,0.979376,0.972222
0.40,1,0.964602,0.995641,0.972603
0.40,2,0.973451,0.975352,0.979021
0.40,3,0.964602,0.990610,0.971429
0.40,4,0.946903,0.986586,0.957746
0.50,0,0.946903,0.992622,0.958333
0.50,1,0.955752,0.994970,0.965517
0.50,2,0.964602,0.976526,0.972603
0.50,3,0.964602,0.983400,0.971429
0.50,4,0.955752,0.987592,0.965035
0.60,0,0.973451,0.981221,0.979021
0.60,1,0.946903,0.994299,0.957746
0.60,2,0.973451,0.985245,0.979310
0.60,3,0.964602,0.988263,0.971831
0.60,4,0.946903,0.992958,0.958333
0.70,0,0.964602,0.984239,0.972222
0.70,1,0.973451,0.995641,0.979021
0.70,2,0.973451,0.977197,0.979310
0.70,3,0.973451,0.981221,0.978723
0.70,4,0.929204,0.991616,0.945205
0.80,0,0.964602,0.988431,0.972222
0.80,1,0.955752,0.991616,0.965517
0.80,2,0.982301,0.974346,0.986111
0.80,3,0.955752,0.989940,0.965035
0.80,4,0.938053,0.980718,0.952381
0.90,0,0.973451,0.988431,0.979310
0.90,1,0.973451,0.996647,0.979310
0.90,2,0.982301,0.975855,0.986111
0.90,3,0.955752,0.983903,0.965517
0.90,4,0.938053,0.984239,0.951724
