share_loss_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.744801,0.820653,0.755556
0.00,1,0.739355,0.816465,0.752202
0.00,2,0.746074,0.822991,0.758217
0.00,3,0.739992,0.816433,0.750881
0.00,4,0.739072,0.814154,0.751532
0.10,0,0.742679,0.820059,0.753890
0.10,1,0.738223,0.816355,0.751861
0.10,2,0.747913,0.823852,0.760870
0.10,3,0.739426,0.816873,0.750879
0.10,4,0.742396,0.814462,0.756127
0.20,0,0.742609,0.819961,0.753472
0.20,1,0.738860,0.816015,0.752779
0.20,2,0.746287,0.822053,0.757979
0.20,3,0.739638,0.815615,0.752405
0.20,4,0.740204,0.813429,0.754823
0.30,0,0.742821,0.819951,0.753291
0.30,1,0.737657,0.815993,0.750823
0.30,2,0.746287,0.823447,0.756863
0.30,3,0.741689,0.816797,0.753177
0.30,4,0.737021,0.813682,0.751802
0.40,0,0.741618,0.819690,0.754453
0.40,1,0.737940,0.816034,0.750656
0.40,2,0.745933,0.822454,0.758440
0.40,3,0.741760,0.816621,0.753893
0.40,4,0.740062,0.814098,0.754558
0.50,0,0.741689,0.820698,0.753377
0.50,1,0.740840,0.816293,0.752097
0.50,2,0.746782,0.822658,0.758793
0.50,3,0.741972,0.817698,0.752544
0.50,4,0.737445,0.812608,0.751406
