index,set
56786,train
45941,train
42648,train
23331,train
67360,train
21208,train
51963,train
40916,train
23289,train
11404,train
59084,train
10653,train
31971,train
8922,train
2871,train
33965,train
46639,train
28544,train
42386,train
41404,train
43083,train
59082,train
20357,train
410,train
53276,train
7804,train
14554,train
27871,train
9435,train
59668,train
67418,train
58890,train
59076,train
54107,train
11600,train
38290,train
8311,train
68527,train
3248,train
64522,train
34479,train
21703,train
55351,train
3683,train
70553,train
59899,train
45223,train
59513,train
49134,train
45095,train
7187,train
33135,train
855,train
29851,train
19831,train
38549,train
30864,train
876,train
37994,train
66607,train
54873,train
14108,train
16440,train
10242,train
57085,train
60862,train
3053,train
16005,train
3968,train
48409,train
38940,train
69246,train
5057,train
52270,train
10327,train
57633,train
10132,train
59747,train
16026,train
13221,train
45972,train
3825,train
58002,train
59522,train
23132,train
57575,train
45411,train
19508,train
39363,train
27280,train
34700,train
13249,train
63031,train
8313,train
41862,train
5931,train
22680,train
66360,train
7939,train
15488,train
1332,train
4149,train
56686,train
69901,train
90,train
30794,train
53736,train
66778,train
9631,train
47339,train
12625,train
46852,train
51896,train
1364,train
51335,train
8727,train
5197,train
9827,train
60445,train
31091,train
39979,train
61516,train
21041,train
35940,train
30584,train
48297,train
36814,train
47835,train
12251,train
32051,train
44558,train
15530,train
47704,train
54801,train
6458,train
60021,train
5608,train
68456,train
30241,train
62497,train
62203,train
49641,train
65044,train
57598,train
53477,train
17735,train
32708,train
55471,train
60373,train
35430,train
3782,train
45953,train
25048,train
16510,train
4945,train
42600,train
56150,train
66798,train
48878,train
7063,train
19163,train
39472,train
9245,train
26246,train
61713,train
37025,train
22255,train
1967,train
58832,train
28984,train
34934,train
59079,train
53274,train
12647,train
8988,train
3379,train
21328,train
62619,train
49760,train
22830,train
32979,train
58928,train
26833,train
56050,train
30192,train
52752,train
52778,train
67579,train
52686,train
14718,train
10620,train
66762,train
67129,train
44049,train
42042,train
20043,train
41982,train
16935,train
69497,train
69091,train
14567,train
43119,train
50003,train
37545,train
16000,train
6354,train
13878,train
23335,train
14927,train
3482,train
13720,train
59867,train
38992,train
54550,train
66790,train
44380,train
12870,train
17703,train
47081,train
21284,train
36580,train
27652,train
16676,train
42504,train
45397,train
44601,train
28452,train
54296,train
37045,train
41659,train
50213,train
43390,train
8763,train
65445,train
16642,train
448,train
56143,train
60950,train
33524,train
65330,train
29140,train
50898,train
6037,train
54748,train
33203,train
32317,train
60011,train
22733,train
5411,train
31672,train
53335,train
53315,train
810,train
14785,train
3989,train
30288,train
46556,train
64193,train
7542,train
59964,train
26101,train
5448,train
25888,train
20138,train
40159,train
14463,train
54049,train
21269,train
977,train
51864,train
45501,train
68351,train
16843,train
64551,train
49650,train
49762,train
4910,train
40624,train
67382,train
21205,train
36941,train
4089,train
67784,train
38551,train
52063,train
36351,train
25760,train
21723,train
62077,train
37390,train
34197,train
18960,train
63240,train
29878,train
70570,train
28480,train
32497,train
35034,train
22224,train
46410,train
31706,train
23807,train
12531,train
58789,train
64460,train
24011,train
25709,train
46827,train
32079,train
16421,train
22474,train
47768,train
33933,train
20087,train
65682,train
67163,train
15826,train
46429,train
4883,train
7683,train
19982,train
53802,train
54541,train
41247,train
7101,train
16606,train
33305,train
2740,train
38819,train
18085,train
59415,train
68728,train
61267,train
22399,train
43702,train
10871,train
30270,train
21362,train
34496,train
6971,train
55652,train
40723,train
17282,train
59104,train
28029,train
18405,train
3877,train
15473,train
40579,train
70078,train
32779,train
53600,train
55188,train
1623,train
55301,train
65447,train
54874,train
65591,train
47967,train
69761,train
30233,train
7675,train
63117,train
49034,train
63684,train
8608,train
48267,train
35723,train
42863,train
53556,train
32388,train
37437,train
26911,train
64627,train
4201,train
11732,train
54622,train
23076,train
41058,train
19462,train
58897,train
68738,train
57327,train
61837,train
682,train
67592,train
44642,train
70125,train
39452,train
36099,train
8084,train
7543,train
20029,train
20102,train
22234,train
43323,train
40217,train
28840,train
23257,train
56667,train
68862,train
66125,train
57314,train
9865,train
32935,train
673,train
55580,train
6942,train
43686,train
4091,train
65680,train
54913,train
24155,train
458,train
22324,train
2762,train
20159,train
26784,train
47244,train
2099,train
61986,train
13762,train
53403,train
34882,train
48748,train
14829,train
23548,train
16165,train
46623,train
16045,train
24697,train
23045,train
26981,train
49180,train
45404,train
41032,train
3122,train
45582,train
789,train
44087,train
42141,train
33266,train
39031,train
22846,train
985,train
49746,train
944,train
31365,train
18786,train
1798,train
38534,train
57508,train
52831,train
19496,train
7275,train
63609,train
57669,train
38062,train
30890,train
904,train
69077,train
11788,train
66702,train
59428,train
66374,train
51911,train
67479,train
68224,train
48344,train
63799,train
28933,train
26650,train
47507,train
9176,train
56457,train
47887,train
34104,train
62076,train
39500,train
64836,train
66657,train
29745,train
35449,train
4666,train
43116,train
1362,train
33803,train
24286,train
6406,train
14576,train
24688,train
6049,train
40549,train
47560,train
52688,train
35061,train
39313,train
54454,train
43656,train
39121,train
3504,train
22723,train
57867,train
40616,train
64167,train
44184,train
35233,train
68316,train
24295,train
23479,train
50649,train
25105,train
64441,train
44843,train
11416,train
26475,train
5665,train
67980,train
28461,train
61390,train
15493,train
9864,train
40017,train
8861,train
69193,train
55682,train
55603,train
28762,train
46608,train
25232,train
5855,train
4749,train
15312,train
32630,train
24869,train
50810,train
63784,train
45413,train
12036,train
34967,train
3119,train
3169,train
47876,train
23604,train
49113,train
59548,train
38311,train
14929,train
58955,train
62724,train
63865,train
44438,train
51002,train
38322,train
65625,train
66031,train
15809,train
56535,train
50073,train
8060,train
42039,train
22269,train
29104,train
20435,train
18678,train
46463,train
33879,train
33801,train
7395,train
63592,train
49056,train
16283,train
57332,train
16346,train
61753,train
32803,train
32897,train
16766,train
36708,train
31520,train
46848,train
8716,train
8953,train
2680,train
8138,train
60522,train
21812,train
42211,train
46777,train
27196,train
47367,train
10290,train
59840,train
62917,train
27207,train
67646,train
46107,train
36083,train
34410,train
27787,train
36048,train
1417,train
19060,train
30319,train
58800,train
48097,train
290,train
28450,train
42982,train
66425,train
61721,train
37400,train
52213,train
31152,train
46928,train
16017,train
55912,train
40072,train
67464,train
36549,train
47719,train
36030,train
57352,train
24946,train
38583,train
13562,train
62428,train
28069,train
52621,train
15428,train
8096,train
40846,train
3460,train
59767,train
62656,train
4623,train
59300,train
29480,train
26270,train
40762,train
50979,train
30070,train
9831,train
1094,train
35649,train
41312,train
31956,train
39496,train
64036,train
26052,train
18631,train
56819,train
69546,train
9883,train
33272,train
50899,train
38397,train
26806,train
47660,train
16850,train
42875,train
34439,train
40411,train
46420,train
38653,train
5475,train
48755,train
10974,train
63295,train
15523,train
66350,train
13912,train
59107,train
40456,train
56496,train
7946,train
4856,train
59185,train
61978,train
15436,train
52257,train
30171,train
50884,train
6503,train
57719,train
3236,train
40439,train
50280,train
53200,train
16736,train
35221,train
13874,train
40231,train
40596,train
65746,train
22716,train
46240,train
58443,train
35965,train
43012,train
50627,train
32422,train
25210,train
2257,train
68731,train
56866,train
34676,train
64245,train
28156,train
6277,train
23349,train
34483,train
62982,train
10358,train
40705,train
65309,train
21440,train
22853,train
31423,train
56785,train
20783,train
48457,train
8643,train
16223,train
43058,train
7265,train
7853,train
38470,train
42509,train
36153,train
34901,train
36486,train
61044,train
67358,train
55004,train
12494,train
61576,train
61249,train
31477,train
45954,train
16091,train
51167,train
16975,train
70412,train
41271,train
26625,train
36388,train
70572,train
17808,train
62916,train
38738,train
6853,train
53092,train
56434,train
12131,train
16513,train
4947,train
20368,train
47661,train
5789,train
66338,train
34916,train
17204,train
25615,train
41831,train
65826,train
69715,train
19223,train
63541,train
53597,train
16147,train
60263,train
4543,train
60794,train
46344,train
13606,train
57081,train
24156,train
675,train
45386,train
61352,train
14089,train
58959,train
62669,train
59447,train
58155,train
29563,train
21597,train
27683,train
40776,train
18316,train
57623,train
18729,train
36106,train
67253,train
58486,train
19066,train
55467,train
17998,train
2613,train
11210,train
54676,train
9279,train
6170,train
31517,train
33220,train
39299,train
37150,train
69625,train
18879,train
11728,train
40514,train
68553,train
5334,train
3324,train
33736,train
5941,train
50859,train
11063,train
9907,train
30720,train
39028,train
973,train
27768,train
42204,train
29794,train
13951,train
24365,train
26474,train
70599,train
26373,train
68320,train
17444,train
6108,train
56594,train
56236,train
41362,train
68077,train
3526,train
9642,train
15265,train
2027,train
57784,train
16393,train
22623,train
11830,train
26160,train
61682,train
52730,train
8407,train
27285,train
8897,train
17494,train
47842,train
36419,train
62680,train
61737,train
64869,train
25847,train
5155,train
61219,train
66630,train
64133,train
26816,train
15676,train
7291,train
7667,train
16265,train
34594,train
46753,train
57338,train
37696,train
18913,train
32089,train
47694,train
35815,train
28521,train
65458,train
29718,train
37940,train
60310,train
6270,train
14310,train
63025,train
10226,train
12917,train
35196,train
12986,train
28184,train
1115,train
50441,train
39608,train
42182,train
2134,train
50689,train
37197,train
1670,train
8936,train
51137,train
6575,train
38403,train
67412,train
18649,train
43789,train
13500,train
40577,train
39447,train
16011,train
66218,train
66851,train
60664,train
63328,train
57243,train
13356,train
42950,train
26449,train
14233,train
20647,train
11621,train
68956,train
66400,train
1096,train
40710,train
39423,train
9721,train
26120,train
19833,train
56733,train
61002,train
12149,train
6060,train
25053,train
47715,train
66991,train
22656,train
69262,train
49264,train
41586,train
63957,train
32495,train
6862,train
29522,train
6476,train
26441,train
56379,train
10106,train
56431,train
17557,train
20473,train
64508,train
7501,train
18409,train
24470,train
26130,train
62093,train
46699,train
31880,train
50193,train
68244,train
38433,train
67218,train
2052,train
50386,train
60727,train
15431,train
40239,train
48278,train
14066,train
32939,train
35129,train
57240,train
5002,train
5878,train
22131,train
15559,train
258,train
50603,train
62824,train
40005,train
52842,train
30418,train
26134,train
63839,train
49406,train
11885,train
27596,train
50770,train
50819,train
52109,train
32358,train
19086,train
57300,train
35979,train
57021,train
34003,train
43705,train
48311,train
31123,train
53653,train
25364,train
50975,train
45370,train
53093,train
52208,train
57760,train
49142,train
53985,train
57249,train
29352,train
33478,train
29321,train
40531,train
37015,train
48932,train
47752,train
30598,train
35614,train
69895,train
39203,train
16890,train
57102,train
24255,train
70482,train
63454,train
4131,train
2059,train
36425,train
22110,train
41147,train
5089,train
33686,train
31341,train
19278,train
66231,train
31838,train
42979,train
44352,train
59209,train
26781,train
14923,train
45140,train
23847,train
37458,train
59697,train
897,train
7457,train
59117,train
7869,train
16456,train
34507,train
32338,train
41248,train
69507,train
46911,train
67353,train
62291,train
13054,train
32066,train
46932,train
60785,train
56041,train
45704,train
56268,train
54521,train
2642,train
19302,train
41441,train
16127,train
45675,train
44565,train
56545,train
39564,train
25092,train
6328,train
48566,train
70284,train
47260,train
49091,train
31833,train
39155,train
62046,train
21448,train
61829,train
47243,train
61826,train
5095,train
49483,train
40571,train
67550,train
57129,train
39791,train
58465,train
5640,train
33071,train
3479,train
66084,train
52940,train
63038,train
2055,train
45381,train
68190,train
23280,train
37771,train
29096,train
25415,train
26899,train
69017,train
63100,train
49133,train
17516,train
66118,train
17663,train
46861,train
66089,train
29562,train
24640,train
33958,train
18659,train
42350,train
39638,train
62074,train
48889,train
25993,train
13956,train
68323,train
45575,train
9359,train
18987,train
62521,train
27275,train
38183,train
50980,train
43768,train
43155,train
6753,train
48876,train
13827,train
40144,train
470,train
32600,train
31160,train
58607,train
19041,train
48949,train
68774,train
65117,train
49429,train
46748,train
8816,train
64506,train
59106,train
39793,train
10432,train
49993,train
1797,train
7255,train
36315,train
67466,train
47211,train
3369,train
13388,train
7714,train
12637,train
67835,train
34187,train
46760,train
41216,train
5295,train
69579,train
38984,train
40763,train
26587,train
39540,train
52781,train
50097,train
40664,train
44575,train
52341,train
7960,train
60276,train
67350,train
6173,train
40427,train
51975,train
10121,train
14078,train
10935,train
41984,train
17930,train
14155,train
43487,train
34747,train
43856,train
7832,train
38018,train
2623,train
14780,train
43837,train
11336,train
61546,train
62861,train
10552,train
64459,train
23724,train
25256,train
20718,train
254,train
18963,train
28536,train
13507,train
4694,train
44218,train
8853,train
44708,train
14419,train
48378,train
64734,train
20333,train
49465,train
27411,train
31112,train
38885,train
68620,train
39679,train
17106,train
64651,train
44341,train
61456,train
11507,train
39200,train
38354,train
57514,train
4818,train
47310,train
4453,train
23027,train
46539,train
19728,train
49581,train
69778,train
5924,train
38071,train
37873,train
25761,train
34679,train
22695,train
56985,train
11904,train
7951,train
40276,train
58073,train
66739,train
48843,train
32113,train
28997,train
50226,train
61041,train
16793,train
63274,train
13224,train
54582,train
25564,train
23494,train
37415,train
17880,train
39907,train
60694,train
42014,train
43901,train
29436,train
3787,train
43466,train
59708,train
35341,train
57183,train
63614,train
42145,train
16185,train
53832,train
36767,train
14964,train
12165,train
17709,train
43673,train
43425,train
59648,train
69270,train
33267,train
70246,train
59121,train
53799,train
63076,train
4522,train
19478,train
68618,train
21253,train
3491,train
2995,train
26536,train
49953,train
58260,train
25305,train
61749,train
52858,train
7472,train
63931,train
64723,train
22374,train
13268,train
2859,train
31697,train
17669,train
1283,train
41844,train
33391,train
