stats_dropout_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.744801,0.820653,0.755556
0.00,1,0.739355,0.816465,0.752202
0.00,2,0.746074,0.822991,0.758217
0.00,3,0.739992,0.816433,0.750881
0.00,4,0.739072,0.814154,0.751532
0.10,0,0.744801,0.820654,0.755556
0.10,1,0.739355,0.816465,0.752202
0.10,2,0.746074,0.822991,0.758217
0.10,3,0.739992,0.816433,0.750881
0.10,4,0.739072,0.814154,0.751532
0.20,0,0.744377,0.820380,0.757026
0.20,1,0.739426,0.816462,0.752286
0.20,2,0.746074,0.822991,0.758217
0.20,3,0.739992,0.816433,0.750881
0.20,4,0.739072,0.814153,0.751532
0.30,0,0.744023,0.821067,0.755556
0.30,1,0.739355,0.816467,0.752202
0.30,2,0.746074,0.822991,0.758217
0.30,3,0.739992,0.816435,0.750881
0.30,4,0.739072,0.814157,0.751532
0.40,0,0.743952,0.821364,0.755999
0.40,1,0.739355,0.816467,0.752202
0.40,2,0.746145,0.822968,0.758365
0.40,3,0.740062,0.816452,0.750831
0.40,4,0.739072,0.814154,0.751532
0.50,0,0.744801,0.820656,0.755556
0.50,1,0.739426,0.816461,0.752286
0.50,2,0.745791,0.822560,0.757588
0.50,3,0.739992,0.816430,0.750881
0.50,4,0.739072,0.814156,0.751532
0.60,0,0.744872,0.820798,0.756760
0.60,1,0.739001,0.817127,0.751649
0.60,2,0.746145,0.822969,0.758365
0.60,3,0.740062,0.816451,0.750831
0.60,4,0.738931,0.813928,0.752299
0.70,0,0.744731,0.820654,0.755471
0.70,1,0.739779,0.816777,0.752373
0.70,2,0.746287,0.822989,0.758532
0.70,3,0.740133,0.816111,0.749454
0.70,4,0.739072,0.814156,0.751532
0.80,0,0.744872,0.820799,0.756760
0.80,1,0.739001,0.816571,0.751549
0.80,2,0.746074,0.822991,0.758217
0.80,3,0.739496,0.816321,0.750626
0.80,4,0.740487,0.813634,0.754105
0.90,0,0.744023,0.821067,0.755556
0.90,1,0.739567,0.816773,0.752521
0.90,2,0.746640,0.823030,0.758267
0.90,3,0.740204,0.815992,0.750560
0.90,4,0.742467,0.814798,0.757121
