share_loss_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.813559,0.879630,0.792453
0.00,1,0.830508,0.891782,0.814815
0.00,2,0.728814,0.784722,0.703704
0.00,3,0.796610,0.891204,0.750000
0.00,4,0.915254,0.951389,0.897959
0.10,0,0.864407,0.891204,0.846154
0.10,1,0.813559,0.914931,0.807018
0.10,2,0.762712,0.799190,0.730769
0.10,3,0.796610,0.887153,0.760000
0.10,4,0.898305,0.950231,0.880000
0.20,0,0.830508,0.891204,0.807692
0.20,1,0.830508,0.903356,0.814815
0.20,2,0.779661,0.831019,0.754717
0.20,3,0.796610,0.905093,0.750000
0.20,4,0.881356,0.931713,0.857143
0.30,0,0.847458,0.878472,0.823529
0.30,1,0.847458,0.921875,0.816327
0.30,2,0.745763,0.834491,0.716981
0.30,3,0.813559,0.885417,0.784314
0.30,4,0.830508,0.939815,0.800000
0.40,0,0.813559,0.883102,0.792453
0.40,1,0.898305,0.940972,0.884615
0.40,2,0.762712,0.809606,0.730769
0.40,3,0.813559,0.880787,0.784314
0.40,4,0.881356,0.922454,0.857143
0.50,0,0.779661,0.877315,0.763636
0.50,1,0.796610,0.884259,0.777778
0.50,2,0.779661,0.832176,0.745098
0.50,3,0.796610,0.888889,0.739130
0.50,4,0.847458,0.921296,0.823529
