stats_dropout_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.813559,0.879630,0.792453
0.00,1,0.830508,0.891782,0.814815
0.00,2,0.728814,0.784722,0.703704
0.00,3,0.796610,0.891204,0.750000
0.00,4,0.915254,0.951389,0.897959
0.10,0,0.830508,0.883102,0.807692
0.10,1,0.847458,0.912037,0.830189
0.10,2,0.728814,0.784722,0.703704
0.10,3,0.779661,0.893519,0.734694
0.10,4,0.847458,0.946759,0.816327
0.20,0,0.830508,0.878472,0.807692
0.20,1,0.830508,0.902199,0.807692
0.20,2,0.728814,0.789931,0.703704
0.20,3,0.796610,0.910301,0.750000
0.20,4,0.864407,0.943287,0.840000
0.30,0,0.813559,0.880787,0.784314
0.30,1,0.847458,0.901042,0.830189
0.30,2,0.745763,0.779514,0.727273
0.30,3,0.796610,0.890625,0.760000
0.30,4,0.881356,0.951389,0.857143
0.40,0,0.830508,0.883102,0.807692
0.40,1,0.847458,0.910301,0.830189
0.40,2,0.728814,0.795139,0.703704
0.40,3,0.796610,0.899884,0.760000
0.40,4,0.864407,0.937500,0.833333
0.50,0,0.830508,0.883681,0.807692
0.50,1,0.864407,0.922454,0.851852
0.50,2,0.728814,0.799190,0.714286
0.50,3,0.779661,0.895833,0.734694
0.50,4,0.864407,0.942130,0.826087
0.60,0,0.796610,0.883681,0.769231
0.60,1,0.830508,0.897569,0.807692
0.60,2,0.728814,0.791667,0.692308
0.60,3,0.830508,0.890046,0.791667
0.60,4,0.830508,0.929398,0.800000
0.70,0,0.813559,0.876157,0.792453
0.70,1,0.830508,0.906829,0.821429
0.70,2,0.762712,0.787037,0.740741
0.70,3,0.779661,0.883102,0.734694
0.70,4,0.881356,0.935185,0.857143
0.80,0,0.813559,0.887153,0.792453
0.80,1,0.779661,0.883102,0.754717
0.80,2,0.711864,0.787037,0.679245
0.80,3,0.796610,0.872685,0.760000
0.80,4,0.847458,0.932870,0.823529
0.90,0,0.796610,0.887731,0.777778
0.90,1,0.864407,0.921875,0.840000
0.90,2,0.728814,0.788194,0.714286
0.90,3,0.779661,0.886574,0.734694
0.90,4,0.847458,0.927083,0.830189
