share_loss_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.798701,0.884537,0.699029
0.00,1,0.772727,0.826759,0.623656
0.00,2,0.766234,0.813148,0.625000
0.00,3,0.746753,0.856111,0.561798
0.00,4,0.779221,0.822222,0.660000
0.10,0,0.818182,0.885833,0.720000
0.10,1,0.759740,0.828426,0.584270
0.10,2,0.753247,0.810648,0.612245
0.10,3,0.759740,0.858241,0.618557
0.10,4,0.779221,0.830741,0.653061
0.20,0,0.805195,0.882222,0.693878
0.20,1,0.746753,0.828426,0.561798
0.20,2,0.746753,0.813056,0.606061
0.20,3,0.792208,0.865741,0.666667
0.20,4,0.772727,0.837685,0.646465
0.30,0,0.792208,0.879259,0.692308
0.30,1,0.740260,0.826852,0.555556
0.30,2,0.746753,0.813889,0.571429
0.30,3,0.792208,0.847963,0.680000
0.30,4,0.785714,0.837500,0.652632
0.40,0,0.818182,0.872500,0.725490
0.40,1,0.740260,0.808981,0.555556
0.40,2,0.759740,0.809444,0.584270
0.40,3,0.740260,0.851111,0.591837
0.40,4,0.779221,0.844537,0.630435
0.50,0,0.798701,0.857407,0.673684
0.50,1,0.746753,0.822315,0.561798
0.50,2,0.753247,0.790741,0.577778
0.50,3,0.753247,0.862222,0.604167
0.50,4,0.792208,0.825741,0.666667
