index,set
753,train
458,train
45,train
691,train
312,train
386,train
415,train
56,train
666,train
693,train
560,train
408,train
261,train
84,train
152,train
706,train
655,train
370,train
695,train
110,train
748,train
722,train
586,train
759,train
648,train
391,train
332,train
719,train
16,train
269,train
614,train
221,train
220,train
298,train
356,train
510,train
443,train
53,train
659,train
124,train
38,train
93,train
712,train
619,train
730,train
646,train
283,train
740,train
611,train
9,train
701,train
19,train
22,train
662,train
676,train
675,train
339,train
427,train
99,train
164,train
502,train
293,train
31,train
155,train
287,train
237,train
25,train
417,train
357,train
254,train
716,train
192,train
227,train
199,train
429,train
231,train
743,train
506,train
189,train
535,train
638,train
175,train
404,train
39,train
188,train
78,train
100,train
337,train
66,train
300,train
8,train
48,train
399,train
612,train
683,train
125,train
323,train
109,train
598,train
545,train
114,train
326,train
485,train
43,train
579,train
154,train
11,train
678,train
480,train
159,train
242,train
493,train
120,train
515,train
338,train
424,train
216,train
709,train
542,train
754,train
215,train
177,train
255,train
115,train
378,train
214,train
425,train
732,train
540,train
319,train
292,train
314,train
590,train
303,train
291,train
280,train
468,train
207,train
397,train
198,train
757,train
26,train
409,train
635,train
523,train
580,train
6,train
664,train
603,train
4,train
440,train
561,train
284,train
24,train
276,train
317,train
266,train
761,train
569,train
394,train
15,train
37,train
296,train
185,train
187,train
111,train
13,train
72,train
755,train
592,train
681,train
236,train
88,train
219,train
369,train
498,train
595,train
516,train
402,train
0,train
245,train
193,train
130,train
387,train
2,train
195,train
186,train
445,train
218,train
165,train
766,train
309,train
170,train
702,train
360,train
435,train
270,train
213,train
264,train
171,train
448,train
749,train
661,train
197,train
61,train
209,train
23,train
667,train
259,train
647,train
301,train
400,train
143,train
70,train
751,train
416,train
329,train
106,train
401,train
305,train
139,train
119,train
583,train
741,train
222,train
426,train
281,train
205,train
464,train
481,train
258,train
718,train
173,train
94,train
201,train
697,train
166,train
686,train
566,train
457,train
42,train
228,train
494,train
65,train
629,train
271,train
430,train
5,train
682,train
102,train
34,train
735,train
602,train
627,train
361,train
512,train
428,train
344,train
333,train
525,train
302,train
673,train
246,train
57,train
454,train
550,train
229,train
491,train
107,train
30,train
313,train
274,train
325,train
89,train
253,train
645,train
202,train
589,train
282,train
118,train
641,train
112,train
717,train
572,train
459,train
210,train
532,train
420,train
168,train
670,train
442,train
224,train
62,train
684,train
553,train
1,train
137,train
77,train
225,train
503,train
380,train
196,train
463,train
632,train
436,train
234,train
644,train
149,train
289,train
477,train
310,train
146,train
383,train
272,train
376,train
710,train
156,train
117,train
345,train
91,train
98,train
558,train
240,train
495,train
489,train
335,train
704,train
203,train
745,train
594,train
351,train
76,train
178,train
487,train
564,train
249,train
101,train
181,train
90,train
488,train
7,train
122,train
672,train
288,train
471,train
374,train
744,train
160,train
596,train
74,train
396,train
465,train
372,train
331,train
504,train
104,train
726,train
705,train
578,train
244,train
412,train
50,train
172,train
599,train
623,train
268,train
367,train
147,train
551,train
279,train
737,train
350,train
54,train
657,train
315,train
265,train
685,train
460,train
223,train
511,train
68,train
470,train
513,train
126,train
556,train
763,train
538,train
151,train
348,train
364,train
35,train
692,train
742,train
760,train
144,train
