stats_dropout_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.798701,0.884537,0.699029
0.00,1,0.772727,0.826759,0.623656
0.00,2,0.766234,0.813148,0.625000
0.00,3,0.746753,0.856111,0.561798
0.00,4,0.779221,0.822222,0.660000
0.10,0,0.792208,0.877315,0.692308
0.10,1,0.766234,0.833704,0.590909
0.10,2,0.753247,0.815278,0.604167
0.10,3,0.766234,0.871296,0.625000
0.10,4,0.759740,0.825463,0.618557
0.20,0,0.811688,0.865926,0.707071
0.20,1,0.766234,0.835648,0.608696
0.20,2,0.772727,0.821296,0.646465
0.20,3,0.772727,0.879259,0.623656
0.20,4,0.766234,0.816019,0.617021
0.30,0,0.792208,0.886574,0.686275
0.30,1,0.772727,0.835648,0.631579
0.30,2,0.740260,0.817870,0.583333
0.30,3,0.759740,0.867593,0.574713
0.30,4,0.753247,0.825556,0.620000
0.40,0,0.792208,0.887407,0.680000
0.40,1,0.746753,0.822500,0.561798
0.40,2,0.766234,0.810278,0.617021
0.40,3,0.785714,0.862870,0.645161
0.40,4,0.785714,0.832778,0.666667
0.50,0,0.798701,0.876296,0.686869
0.50,1,0.766234,0.831204,0.600000
0.50,2,0.753247,0.816852,0.586957
0.50,3,0.779221,0.868611,0.630435
0.50,4,0.740260,0.817685,0.591837
0.60,0,0.785714,0.884352,0.679612
0.60,1,0.753247,0.816667,0.586957
0.60,2,0.753247,0.814630,0.595745
0.60,3,0.759740,0.843704,0.593407
0.60,4,0.759740,0.826944,0.610526
0.70,0,0.818182,0.874722,0.720000
0.70,1,0.733766,0.819259,0.549451
0.70,2,0.759740,0.806667,0.610526
0.70,3,0.766234,0.868426,0.617021
0.70,4,0.766234,0.819074,0.617021
0.80,0,0.779221,0.892870,0.673077
0.80,1,0.753247,0.819722,0.595745
0.80,2,0.740260,0.817778,0.583333
0.80,3,0.753247,0.846944,0.604167
0.80,4,0.811688,0.836481,0.688172
0.90,0,0.805195,0.877037,0.705882
0.90,1,0.714286,0.803241,0.488372
0.90,2,0.740260,0.818889,0.615385
0.90,3,0.766234,0.864259,0.617021
0.90,4,0.759740,0.817315,0.626263
