split_id,n_trees,accuracy,auc_roc,f1
0,1,0.628319,0.951207,0.771739
0,2,0.911504,0.969819,0.934211
0,3,0.955752,0.982730,0.965986
0,4,0.955752,0.982730,0.965986
0,5,0.955752,0.983736,0.965986
0,6,0.964602,0.982897,0.972603
0,7,0.973451,0.983233,0.979310
0,8,0.964602,0.983903,0.972222
0,9,0.964602,0.983065,0.972222
0,10,0.973451,0.982730,0.979310
0,11,0.973451,0.982730,0.979310
0,12,0.964602,0.981891,0.972222
0,13,0.964602,0.981388,0.972222
0,14,0.964602,0.981724,0.972222
0,15,0.964602,0.981556,0.972222
1,1,0.628319,0.981388,0.771739
1,2,0.929204,0.994970,0.946667
1,3,0.946903,0.994970,0.959459
1,4,0.964602,0.995473,0.972603
1,5,0.955752,0.995976,0.965517
1,6,0.946903,0.997317,0.958333
1,7,0.955752,0.997317,0.965517
1,8,0.955752,0.997317,0.965035
1,9,0.955752,0.997317,0.965517
1,10,0.964602,0.997317,0.971831
1,11,0.964602,0.998323,0.971831
1,12,0.964602,0.997988,0.972222
1,13,0.973451,0.997988,0.979021
1,14,0.964602,0.997988,0.972222
1,15,0.973451,0.997988,0.979021
2,1,0.628319,0.970993,0.771739
2,2,0.911504,0.973340,0.934211
2,3,0.946903,0.973340,0.959459
2,4,0.982301,0.972837,0.986111
2,5,0.982301,0.970825,0.986111
2,6,0.982301,0.970825,0.986111
2,7,0.982301,0.979041,0.986111
2,8,0.982301,0.977700,0.986111
2,9,0.982301,0.976190,0.986111
2,10,0.982301,0.975855,0.986111
2,11,0.982301,0.976861,0.986111
2,12,0.982301,0.976526,0.986111
2,13,0.982301,0.977197,0.986111
2,14,0.982301,0.976861,0.986111
2,15,0.982301,0.976526,0.986111
3,1,0.628319,0.960094,0.771739
3,2,0.920354,0.973340,0.939597
3,3,0.911504,0.978035,0.931507
3,4,0.920354,0.978203,0.937931
3,5,0.946903,0.978873,0.957746
3,6,0.955752,0.981388,0.964539
3,7,0.973451,0.980382,0.978723
3,8,0.964602,0.980047,0.971429
3,9,0.973451,0.981053,0.978723
3,10,0.964602,0.979712,0.971429
3,11,0.973451,0.987089,0.978723
3,12,0.973451,0.986922,0.978723
3,13,0.973451,0.988598,0.978723
3,14,0.973451,0.988263,0.978723
3,15,0.973451,0.989269,0.978723
4,1,0.628319,0.968813,0.771739
4,2,0.884956,0.972166,0.916129
4,3,0.929204,0.966801,0.946667
4,4,0.920354,0.978203,0.938776
4,5,0.946903,0.980047,0.958904
4,6,0.946903,0.979376,0.958333
4,7,0.946903,0.979376,0.958333
4,8,0.955752,0.980047,0.965035
4,9,0.955752,0.979544,0.965035
4,10,0.955752,0.979544,0.965035
4,11,0.955752,0.979544,0.965035
4,12,0.964602,0.979879,0.972222
4,13,0.955752,0.979879,0.965035
4,14,0.964602,0.979376,0.972222
4,15,0.964602,0.979376,0.972222
