index,set
532,train
157,train
299,train
247,train
423,train
148,train
428,train
98,train
439,train
440,train
530,train
520,train
165,train
494,train
251,train
278,train
457,train
114,train
240,train
542,train
183,train
495,train
540,train
275,train
472,train
136,train
232,train
534,train
140,train
454,train
364,train
537,train
285,train
545,train
505,train
125,train
550,train
306,train
348,train
475,train
268,train
367,train
394,train
46,train
442,train
445,train
292,train
110,train
398,train
133,train
209,train
355,train
437,train
491,train
349,train
191,train
206,train
502,train
243,train
478,train
490,train
92,train
142,train
222,train
344,train
482,train
286,train
284,train
455,train
226,train
249,train
80,train
52,train
526,train
192,train
234,train
431,train
103,train
522,train
304,train
49,train
467,train
303,train
345,train
246,train
298,train
340,train
425,train
61,train
217,train
290,train
287,train
360,train
527,train
403,train
124,train
471,train
347,train
74,train
143,train
228,train
524,train
19,train
235,train
500,train
334,train
458,train
187,train
204,train
178,train
102,train
356,train
381,train
331,train
374,train
58,train
147,train
359,train
407,train
325,train
310,train
528,train
456,train
20,train
231,train
79,train
443,train
150,train
332,train
301,train
511,train
544,train
560,train
386,train
305,train
176,train
399,train
375,train
271,train
513,train
486,train
163,train
358,train
448,train
294,train
346,train
90,train
50,train
104,train
55,train
476,train
361,train
116,train
313,train
390,train
276,train
96,train
59,train
421,train
465,train
466,train
152,train
81,train
227,train
418,train
376,train
221,train
548,train
554,train
556,train
422,train
166,train
151,train
357,train
120,train
380,train
326,train
293,train
447,train
48,train
549,train
208,train
269,train
327,train
397,train
538,train
320,train
481,train
484,train
106,train
211,train
518,train
273,train
295,train
555,train
248,train
413,train
480,train
410,train
477,train
112,train
406,train
322,train
270,train
159,train
158,train
541,train
396,train
107,train
109,train
173,train
216,train
174,train
515,train
496,train
84,train
238,train
424,train
289,train
354,train
336,train
224,train
63,train
405,train
519,train
308,train
426,train
568,train
66,train
130,train
401,train
507,train
314,train
93,train
469,train
558,train
546,train
175,train
508,train
318,train
316,train
288,train
341,train
453,train
153,train
296,train
185,train
525,train
279,train
113,train
473,train
139,train
547,train
154,train
504,train
510,train
497,train
71,train
420,train
188,train
474,train
307,train
384,train
245,train
559,train
309,train
416,train
488,train
450,train
553,train
464,train
342,train
115,train
485,train
37,train
242,train
200,train
412,train
266,train
137,train
409,train
402,train
377,train
128,train
557,train
333,train
7,train
26,train
18,train
94,train
492,train
280,train
184,train
498,train
6,train
283,train
499,train
197,train
91,train
54,train
255,train
190,train
214,train
451,train
4,train
134,train
43,train
297,train
3,train
82,train
44,train
70,train
400,train
351,train
509,train
78,train
329,train
414,train
30,train
223,train
135,train
17,train
461,train
99,train
32,train
317,train
514,train
127,train
24,train
379,train
47,train
430,train
108,train
258,train
177,train
244,train
198,train
182,train
343,train
31,train
122,train
57,train
564,train
23,train
479,train
196,train
563,train
172,train
194,train
446,train
449,train
36,train
254,train
372,train
86,train
501,train
56,train
536,train
119,train
15,train
435,train
53,train
219,train
164,train
369,train
27,train
566,train
8,train
521,train
41,train
253,train
330,train
62,train
512,train
321,train
408,train
105,train
13,train
250,train
16,train
239,train
517,train
487,train
180,train
567,train
33,train
141,train
274,train
167,train
132,train
365,train
237,train
565,train
444,train
205,train
14,train
171,train
87,train
389,train
193,train
460,train
129,train
328,train
300,train
9,train
73,train
432,train
393,train
42,train
138,train
131,train
373,train
100,train
366,train
392,train
10,train
353,train
201,train
562,train
213,train
77,train
199,train
126,train
25,train
212,train
35,train
11,train
1,train
118,train
168,train
230,train
22,train
121,train
218,train
256,train
85,train
156,train
257,train
162,train
503,train
468,train
2,train
29,train
186,train
72,train
339,train
441,train
75,train
117,train
95,train
265,train
335,train
535,train
252,train
28,train
12,train
429,test
371,test
383,test
493,test
88,test
378,test
160,test
291,test
523,test
76,test
89,test
551,test
543,test
111,test
483,test
350,test
404,test
225,test
462,test
169,test
552,test
419,test
21,test
463,test
452,test
470,test
101,test
362,test
68,test
51,test
60,test
179,test
311,test
97,test
195,test
149,test
170,test
324,test
67,test
267,test
312,test
69,test
382,test
220,test
123,test
561,test
281,test
395,test
155,test
387,test
529,test
315,test
438,test
531,test
391,test
415,test
427,test
411,test
145,test
388,test
459,test
144,test
363,test
241,test
434,test
189,test
319,test
539,test
506,test
338,test
436,test
34,test
38,test
40,test
45,test
302,test
233,test
262,test
259,test
202,test
236,test
207,test
272,test
210,test
385,test
263,test
215,test
368,test
146,test
5,test
277,test
39,test
533,test
64,test
433,test
489,test
229,test
181,test
203,test
282,test
83,test
352,test
516,test
260,test
261,test
417,test
0,test
161,test
65,test
264,test
323,test
370,test
337,test
