index,set
21557,train
39699,train
54359,train
33188,train
2870,train
51722,train
43385,train
39217,train
2708,train
37197,train
60917,train
13299,train
8337,train
65318,train
39680,train
50191,train
57989,train
15349,train
7508,train
16325,train
54972,train
59440,train
41861,train
56043,train
44981,train
44081,train
65856,train
37443,train
54920,train
49368,train
68917,train
29674,train
31793,train
49837,train
52515,train
25584,train
8601,train
56843,train
59852,train
17236,train
16424,train
33318,train
26955,train
64538,train
58966,train
41974,train
61852,train
21875,train
30723,train
58937,train
38488,train
64543,train
29809,train
63908,train
19344,train
50864,train
33510,train
43060,train
45737,train
25558,train
34997,train
58827,train
14906,train
10697,train
5089,train
14131,train
14668,train
2476,train
18590,train
59845,train
4459,train
8289,train
16528,train
57727,train
58809,train
53714,train
37151,train
61409,train
68723,train
26807,train
57504,train
34365,train
1713,train
11294,train
50421,train
52182,train
49407,train
28699,train
55553,train
50299,train
11973,train
26744,train
17787,train
37467,train
15889,train
64007,train
3141,train
15645,train
59663,train
27672,train
21744,train
39969,train
11143,train
37901,train
57268,train
29689,train
65926,train
26196,train
11486,train
18132,train
65017,train
52643,train
4206,train
8228,train
44563,train
61749,train
64645,train
11138,train
49606,train
65170,train
52644,train
50567,train
7066,train
22509,train
45918,train
65583,train
61240,train
29628,train
45165,train
6853,train
1283,train
33803,train
50553,train
23502,train
64742,train
45607,train
26252,train
66787,train
14099,train
62178,train
21257,train
60271,train
49334,train
758,train
41555,train
62613,train
65625,train
42316,train
22231,train
10647,train
32980,train
10980,train
4903,train
57971,train
35569,train
11893,train
31372,train
23469,train
57153,train
27413,train
70553,train
30381,train
46207,train
16034,train
41966,train
40487,train
45922,train
59659,train
46863,train
3082,train
52040,train
30815,train
61268,train
43239,train
42310,train
67004,train
7925,train
46300,train
61413,train
24660,train
38512,train
17018,train
12991,train
30458,train
34525,train
47445,train
115,train
25411,train
16465,train
63141,train
2562,train
37533,train
9511,train
30241,train
26480,train
2848,train
45231,train
65236,train
25340,train
38855,train
35510,train
52446,train
4917,train
13140,train
12435,train
9572,train
52537,train
61615,train
6254,train
5901,train
46170,train
63055,train
7213,train
17121,train
49907,train
8980,train
4932,train
4688,train
42996,train
69833,train
68506,train
32887,train
28033,train
5571,train
14441,train
27679,train
37825,train
18413,train
13157,train
11381,train
2882,train
32456,train
55955,train
32640,train
61645,train
52306,train
45391,train
4619,train
62839,train
13162,train
67167,train
65185,train
52686,train
31786,train
31099,train
55682,train
55604,train
14052,train
56294,train
57240,train
69684,train
36688,train
23348,train
63904,train
65875,train
31459,train
15215,train
22464,train
62627,train
70465,train
6343,train
22840,train
24012,train
10873,train
60065,train
72,train
57406,train
4436,train
14133,train
27773,train
38877,train
58447,train
58286,train
61280,train
69437,train
4526,train
25325,train
18516,train
11503,train
20206,train
37737,train
46453,train
48319,train
24050,train
58465,train
52857,train
57737,train
34187,train
61743,train
18767,train
52730,train
44537,train
66854,train
49796,train
19060,train
23352,train
37977,train
58433,train
62139,train
27921,train
16756,train
32207,train
24254,train
16485,train
37766,train
27606,train
20907,train
23315,train
48602,train
69339,train
2678,train
6275,train
56739,train
24585,train
48003,train
47461,train
21457,train
36504,train
11023,train
7780,train
35493,train
32375,train
68280,train
15846,train
65497,train
16696,train
11854,train
26302,train
20562,train
66502,train
53246,train
4979,train
70129,train
10234,train
33586,train
28186,train
20478,train
26437,train
68631,train
24543,train
63067,train
4328,train
58421,train
2257,train
12526,train
52090,train
35368,train
67356,train
47585,train
10122,train
59642,train
50053,train
21740,train
52081,train
9500,train
4631,train
16834,train
67676,train
32945,train
61914,train
10565,train
38759,train
49162,train
59020,train
8396,train
41341,train
43069,train
34893,train
9825,train
47440,train
16306,train
33295,train
54082,train
55357,train
13701,train
65087,train
68088,train
657,train
10448,train
60758,train
49191,train
28472,train
36672,train
58111,train
17839,train
21756,train
6328,train
21662,train
55808,train
41732,train
48339,train
25660,train
21747,train
6468,train
70284,train
60824,train
2380,train
43879,train
25170,train
67059,train
54599,train
13355,train
36282,train
37361,train
2704,train
41997,train
42402,train
38648,train
23381,train
36917,train
69474,train
25534,train
63128,train
59185,train
32073,train
67544,train
52825,train
45850,train
27664,train
5573,train
67574,train
4316,train
29368,train
52053,train
70380,train
58073,train
56993,train
36811,train
5229,train
59540,train
56130,train
39796,train
63108,train
32727,train
34017,train
41505,train
43018,train
30623,train
22873,train
26674,train
41623,train
15161,train
35664,train
10703,train
15136,train
14159,train
68437,train
28315,train
43614,train
21387,train
31944,train
47242,train
24817,train
25415,train
1230,train
29967,train
70022,train
64580,train
35916,train
38279,train
48824,train
10109,train
57885,train
6913,train
37003,train
11416,train
2948,train
28261,train
20517,train
41235,train
33138,train
24863,train
66616,train
489,train
35495,train
56119,train
40411,train
67834,train
27132,train
3350,train
17288,train
43154,train
38682,train
19607,train
35274,train
16779,train
48372,train
43916,train
7831,train
46053,train
44949,train
5064,train
16835,train
1040,train
5665,train
18517,train
3059,train
20332,train
42094,train
5427,train
9567,train
64071,train
30966,train
33537,train
10391,train
28983,train
45909,train
55798,train
55386,train
10336,train
2947,train
18275,train
16625,train
54858,train
62773,train
3994,train
18665,train
14283,train
17993,train
48337,train
13785,train
47841,train
46894,train
44575,train
36542,train
11334,train
32101,train
5210,train
21782,train
22443,train
48010,train
2906,train
23115,train
12706,train
54071,train
25533,train
44966,train
46182,train
35747,train
10193,train
69179,train
11487,train
14155,train
58712,train
39717,train
