index,set
56187,train
33698,train
388,train
54646,train
35638,train
24164,train
12734,train
23828,train
21131,train
26335,train
6478,train
41979,train
46150,train
50531,train
58421,train
61576,train
27423,train
36112,train
29439,train
60905,train
28219,train
63227,train
14855,train
22777,train
69549,train
37138,train
18908,train
16043,train
10437,train
6146,train
33814,train
19378,train
16395,train
30604,train
795,train
46390,train
10961,train
26273,train
24845,train
44193,train
3589,train
39133,train
54009,train
49312,train
43605,train
9683,train
45906,train
56071,train
37720,train
43543,train
38784,train
25182,train
27445,train
11797,train
56573,train
57215,train
67500,train
17028,train
4159,train
54121,train
36968,train
16716,train
12913,train
48936,train
26242,train
13115,train
15085,train
64611,train
65819,train
65096,train
36230,train
11221,train
20829,train
30157,train
61184,train
28391,train
41296,train
15173,train
31231,train
65664,train
50796,train
18947,train
41393,train
63358,train
18676,train
15043,train
64210,train
33757,train
68763,train
64415,train
5156,train
54107,train
59322,train
44961,train
56570,train
59305,train
46022,train
26787,train
12285,train
59583,train
51804,train
23866,train
58615,train
47053,train
69650,train
28118,train
788,train
28781,train
10974,train
20948,train
43988,train
41247,train
11970,train
52270,train
49726,train
21033,train
22935,train
70481,train
46141,train
45842,train
54370,train
42828,train
35189,train
16914,train
25656,train
60397,train
18073,train
68464,train
12634,train
36726,train
35727,train
53923,train
31175,train
32101,train
41181,train
45090,train
50494,train
1919,train
52957,train
39784,train
33949,train
28487,train
17036,train
6882,train
69894,train
22552,train
16923,train
15918,train
10698,train
18869,train
21056,train
57522,train
62684,train
21421,train
49447,train
23379,train
13212,train
64788,train
28305,train
38433,train
5516,train
68575,train
7019,train
5274,train
4274,train
60200,train
15172,train
38016,train
3293,train
47406,train
10327,train
68588,train
54284,train
50599,train
44344,train
65676,train
13592,train
67759,train
47993,train
17049,train
50764,train
48682,train
49411,train
48504,train
22655,train
15869,train
46436,train
38975,train
18358,train
26310,train
44598,train
37063,train
38260,train
53669,train
45024,train
39145,train
67679,train
19956,train
54071,train
51598,train
3059,train
4071,train
7630,train
15233,train
40816,train
9014,train
7686,train
22969,train
18174,train
39839,train
65198,train
55319,train
66603,train
30918,train
8773,train
21875,train
57401,train
56631,train
38294,train
16890,train
41819,train
25348,train
37402,train
69502,train
17831,train
7187,train
39689,train
43457,train
56476,train
64678,train
45323,train
32993,train
27786,train
44804,train
68133,train
32014,train
20329,train
21598,train
41325,train
66400,train
54016,train
26780,train
45770,train
42334,train
14532,train
36533,train
32131,train
53106,train
34144,train
69000,train
46308,train
59018,train
58658,train
41340,train
35570,train
1707,train
1925,train
33077,train
42537,train
7151,train
43982,train
31684,train
56277,train
36022,train
2297,train
43526,train
44714,train
45795,train
55036,train
40223,train
22508,train
53666,train
57227,train
44655,train
15827,train
13509,train
66937,train
9182,train
27778,train
5684,train
25532,train
55145,train
35778,train
22972,train
37744,train
20251,train
30523,train
67046,train
69687,train
63944,train
31365,train
1916,train
49278,train
14339,train
32505,train
15614,train
20535,train
27829,train
33067,train
4574,train
62487,train
18068,train
40897,train
36688,train
18860,train
10222,train
34863,train
40485,train
7756,train
52107,train
52818,train
2690,train
44539,train
18967,train
45201,train
31317,train
43747,train
48865,train
8229,train
20353,train
26655,train
38461,train
63807,train
50963,train
70301,train
2592,train
43879,train
58957,train
63730,train
37075,train
59627,train
23512,train
60239,train
56665,train
32643,train
11088,train
20769,train
43134,train
24909,train
4871,train
25141,train
4371,train
51519,train
43928,train
2446,train
27137,train
17839,train
48018,train
68261,train
51399,train
6201,train
59468,train
46680,train
51310,train
23522,train
45241,train
9426,train
35453,train
59282,train
18446,train
62020,train
18764,train
50582,train
50211,train
20739,train
47291,train
6292,train
44186,train
39756,train
22471,train
61513,train
41498,train
3692,train
10249,train
18925,train
21581,train
59066,train
11779,train
35933,train
29435,train
26734,train
18361,train
40184,train
68330,train
21694,train
68008,train
66422,train
47202,train
66409,train
8346,train
42700,train
53721,train
12986,train
67973,train
46915,train
39991,train
841,train
1666,train
44235,train
66010,train
18420,train
15432,train
34944,train
18323,train
24733,train
40365,train
3954,train
57443,train
47660,train
64305,train
28977,train
38080,train
58232,train
67610,train
19242,train
65319,train
41711,train
22698,train
18437,train
17439,train
18261,train
14334,train
49408,train
66873,train
39796,train
52410,train
70325,train
63846,train
67329,train
24694,train
54921,train
19502,train
23007,train
54673,train
32727,train
4359,train
38574,train
12706,train
18807,train
9750,train
7359,train
44237,train
64508,train
199,train
23470,train
30451,train
37805,train
28671,train
3721,train
29690,train
31259,train
14362,train
33919,train
22308,train
2607,train
36875,train
48552,train
3301,train
46764,train
62449,train
44897,train
4334,train
63869,train
49088,train
69768,train
42635,train
67901,train
6411,train
9649,train
60149,train
12999,train
41284,train
40094,train
3158,train
21706,train
44810,train
12090,train
16036,train
2708,train
63922,train
48344,train
21479,train
52076,train
22873,train
32600,train
36774,train
51150,train
43163,train
23876,train
10153,train
15588,train
28049,train
60923,train
66862,train
61226,train
52103,train
55527,train
60591,train
3907,train
37927,train
37166,train
12196,train
66236,train
3383,train
64557,train
37432,train
33071,train
50705,train
19989,train
7398,train
30718,train
66310,train
31142,train
43745,train
55585,train
51095,train
51145,train
5801,train
14785,train
1259,train
19204,train
45572,train
25150,train
16276,train
37457,train
12754,train
53649,train
61410,train
24533,train
25332,train
19953,train
59008,train
11233,train
44212,train
14831,train
43,train
27013,train
64826,train
30789,train
20526,train
29993,train
22747,train
9715,train
55188,train
33435,train
