index,set
112,train
294,train
31,train
190,train
140,train
144,train
196,train
24,train
293,train
108,train
256,train
110,train
208,train
228,train
37,train
109,train
9,train
79,train
170,train
282,train
68,train
204,train
261,train
226,train
157,train
8,train
142,train
242,train
178,train
56,train
83,train
270,train
57,train
119,train
62,train
135,train
2,train
44,train
175,train
225,train
72,train
118,train
125,train
55,train
66,train
156,train
90,train
64,train
232,train
233,train
38,train
69,train
155,train
288,train
105,train
29,train
229,train
107,train
187,train
186,train
258,train
295,train
245,train
291,train
60,train
210,train
106,train
52,train
74,train
126,train
47,train
173,train
22,train
240,train
172,train
117,train
12,train
179,train
32,train
36,train
73,train
160,train
274,train
292,train
206,train
76,train
123,train
137,train
248,train
45,train
120,train
243,train
203,train
40,train
16,train
296,train
211,train
152,train
154,train
189,train
166,train
122,train
192,train
202,train
278,train
153,train
244,train
145,train
136,train
95,train
162,train
151,train
235,train
171,train
255,train
93,train
284,train
271,train
247,train
148,train
21,train
219,train
131,train
277,train
75,train
15,train
11,train
265,train
13,train
43,train
251,train
188,train
128,train
34,train
212,train
169,train
223,train
14,train
227,train
58,train
286,train
28,train
139,train
174,train
111,train
272,train
46,train
92,train
209,train
18,train
121,train
181,train
81,train
53,train
127,train
132,train
80,train
158,train
230,train
290,train
5,train
199,train
88,train
231,train
70,train
147,train
0,train
205,train
130,train
59,train
17,train
61,train
33,train
249,train
239,train
177,train
98,train
27,train
87,train
143,train
89,train
253,train
86,train
167,train
99,train
146,train
26,train
50,train
191,train
41,train
124,train
161,train
104,train
138,train
260,train
259,train
149,train
101,train
100,train
216,train
97,train
42,train
283,train
237,train
102,train
25,train
114,train
91,train
49,train
63,train
39,train
222,train
238,train
7,train
275,train
207,train
159,train
215,train
133,train
150,train
246,train
269,train
85,train
184,train
279,train
115,train
198,train
194,train
267,train
19,train
165,train
254,train
213,train
141,train
20,train
3,train
217,train
134,train
1,test
285,test
287,test
54,test
94,test
6,test
221,test
96,test
262,test
264,test
71,test
234,test
182,test
185,test
168,test
220,test
65,test
266,test
289,test
103,test
268,test
281,test
23,test
276,test
263,test
113,test
280,test
201,test
67,test
78,test
250,test
273,test
82,test
236,test
48,test
176,test
257,test
51,test
164,test
35,test
30,test
77,test
197,test
129,test
200,test
252,test
10,test
195,test
214,test
183,test
224,test
4,test
180,test
218,test
116,test
163,test
193,test
84,test
241,test
