index,set
646,train
695,train
722,train
689,train
179,train
638,train
451,train
177,train
586,train
308,train
739,train
238,train
445,train
619,train
443,train
502,train
740,train
706,train
198,train
402,train
319,train
712,train
186,train
730,train
88,train
748,train
749,train
72,train
165,train
213,train
663,train
323,train
357,train
120,train
125,train
306,train
419,train
231,train
444,train
314,train
355,train
219,train
159,train
298,train
237,train
170,train
545,train
588,train
435,train
366,train
759,train
220,train
143,train
235,train
414,train
540,train
56,train
332,train
590,train
647,train
8,train
750,train
754,train
388,train
115,train
661,train
155,train
264,train
546,train
743,train
25,train
541,train
242,train
259,train
664,train
312,train
378,train
485,train
70,train
171,train
283,train
516,train
284,train
369,train
363,train
683,train
291,train
322,train
48,train
15,train
199,train
243,train
300,train
732,train
100,train
359,train
408,train
11,train
111,train
406,train
523,train
317,train
400,train
506,train
716,train
23,train
270,train
386,train
370,train
579,train
195,train
666,train
132,train
269,train
539,train
39,train
175,train
293,train
193,train
0,train
301,train
114,train
493,train
676,train
236,train
255,train
227,train
99,train
560,train
612,train
480,train
595,train
17,train
185,train
577,train
678,train
458,train
424,train
254,train
715,train
2,train
296,train
45,train
753,train
188,train
484,train
404,train
510,train
719,train
152,train
630,train
409,train
221,train
662,train
598,train
339,train
766,train
417,train
209,train
569,train
757,train
394,train
535,train
66,train
13,train
109,train
16,train
303,train
580,train
129,train
429,train
642,train
356,train
78,train
19,train
708,train
604,train
655,train
192,train
53,train
292,train
701,train
603,train
280,train
515,train
691,train
164,train
709,train
214,train
189,train
561,train
130,train
611,train
468,train
391,train
755,train
9,train
128,train
261,train
337,train
476,train
659,train
415,train
448,train
498,train
675,train
110,train
266,train
399,train
349,train
397,train
326,train
321,train
693,train
145,train
710,train
277,train
5,train
262,train
71,train
222,train
377,train
183,train
490,train
275,train
371,train
741,train
75,train
452,train
102,train
191,train
628,train
467,train
246,train
559,train
724,train
42,train
123,train
640,train
669,train
687,train
290,train
217,train
150,train
530,train
265,train
329,train
101,train
650,train
509,train
756,train
697,train
654,train
51,train
106,train
553,train
343,train
433,train
686,train
271,train
384,train
151,train
297,train
656,train
304,train
158,train
652,train
178,train
257,train
91,train
278,train
305,train
526,train
492,train
108,train
390,train
600,train
634,train
405,train
529,train
672,train
12,train
224,train
562,train
234,train
166,train
380,train
431,train
203,train
229,train
472,train
747,train
610,train
762,train
426,train
456,train
331,train
585,train
310,train
528,train
320,train
347,train
87,train
141,train
223,train
316,train
139,train
537,train
705,train
721,train
733,train
735,train
167,train
597,train
463,train
372,train
473,train
58,train
29,train
294,train
68,train
499,train
92,train
684,train
521,train
423,train
169,train
422,train
649,train
351,train
318,train
240,train
103,train
621,train
428,train
392,train
