dataset,depth,threshold,hide_path,total_tx,total_rx,submit_tx,submit_rx,n_rounds
heart_disease,1,2,false,202600,46616,180122,38548,16
heart_disease,1,2,true,203293,46723,180241,38548,16
heart_disease,2,2,false,400909,98678,356178,85604,31
heart_disease,2,2,true,537185,98725,492694,85651,31
heart_disease,3,2,false,599573,187432,531261,167965,46
heart_disease,3,2,true,1148463,187517,1079532,167966,46
heart_disease,4,2,false,805069,331634,706984,303844,61
heart_disease,4,2,true,2306355,331873,2207484,303884,61
heart_disease,5,2,false,1019808,503143,883149,465735,76
heart_disease,5,2,true,4239054,503464,4103900,466255,76
heart_disease,6,2,false,1241185,635289,1058797,588274,91
heart_disease,6,2,true,7036395,635838,6854045,589037,91
pima_diabetes,1,2,false,150558,37789,127447,30163,16
pima_diabetes,1,2,true,150981,37879,127740,30276,16
pima_diabetes,2,2,false,295272,81881,250313,69204,31
pima_diabetes,2,2,true,378896,81424,335380,69114,31
pima_diabetes,3,2,false,441309,159169,373964,140602,46
pima_diabetes,3,2,true,780143,159338,712178,140664,46
pima_diabetes,4,2,false,594780,310760,497102,283451,61
pima_diabetes,4,2,true,1512705,310740,1415623,283514,61
pima_diabetes,5,2,false,755870,544131,619166,504798,76
pima_diabetes,5,2,true,2849693,544277,2713102,505005,76
pima_diabetes,6,2,false,931713,870534,742825,816705,91
pima_diabetes,6,2,true,4957676,870762,4768449,816909,91
breast_cancer,1,2,false,382478,76507,359431,66484,16
breast_cancer,1,2,true,382336,76400,359746,66461,16
breast_cancer,2,2,false,757593,156649,713603,141783,31
breast_cancer,2,2,true,1072164,156519,1028842,141783,31
breast_cancer,3,2,false,1135508,265713,1068050,244976,46
breast_cancer,3,2,true,2399977,265882,2332273,245145,46
breast_cancer,4,2,false,1518916,400968,1421400,372994,61
breast_cancer,4,2,true,4764189,400733,4668322,373130,61
breast_cancer,5,2,false,1905666,522479,1775776,487984,76
breast_cancer,5,2,true,8230940,522801,8100889,487963,76
breast_cancer,6,2,false,2218238,610218,2059141,570070,88
breast_cancer,6,2,true,11349783,610711,11189823,570340,88
cdc_diabetes,1,2,false,288301,60676,264592,51528,16
cdc_diabetes,1,2,true,288398,60536,264651,51413,16
cdc_diabetes,2,2,false,567763,125527,523940,111739,31
cdc_diabetes,2,2,true,790187,125898,744732,111760,31
cdc_diabetes,3,2,false,854011,227619,784137,207086,46
cdc_diabetes,3,2,true,1738869,227643,1669575,207093,46
cdc_diabetes,4,2,false,1145214,415534,1043788,385316,61
cdc_diabetes,4,2,true,3578734,415111,3480647,385405,61
cdc_diabetes,5,2,false,1444254,802568,1302690,757183,76
cdc_diabetes,5,2,true,7206023,803315,7063863,757624,76
cdc_diabetes,6,2,false,1769784,1628108,1561625,1554779,91
cdc_diabetes,6,2,true,14404868,1629476,14194689,1556194,91
heart_disease,3,3,false,935698,197317,867385,177822,46
heart_disease,3,3,true,1847820,197566,1779828,178109,46
pima_diabetes,3,3,false,672129,169416,604044,150585,46
pima_diabetes,3,3,true,1237654,169635,1168978,150863,46
breast_cancer,3,3,false,1830382,276278,1760883,255016,46
breast_cancer,3,3,true,3935449,276511,3866748,255346,46
cdc_diabetes,3,3,false,1359593,238046,1288161,217146,46
cdc_diabetes,3,3,true,2832954,237719,2763418,217035,46
